# label : secret experiment #1893
# x : time signal
#y3 y5 y2 time y1 y4
0.172 0.31 0.3335 0.01 0.2342 0.2997
0.3007 0.6051 0.6266 0.02 0.486 0.5671
0.4552 0.9384 0.9611 0.03 0.7831 0.911
0.5706 1.1119 1.1757 0.04 0.9323 1.0721
0.7737 1.2882 1.663 0.05 1.155 1.4818
0.8688 1.5439 1.9371 0.06 1.3211 1.5073
0.9726 1.53 1.9631 0.07 1.6151 1.8024
1.1208 1.6755 1.9482 0.08 1.7365 1.678
1.2371 1.5447 2.2207 0.09 1.7746 1.703
1.4761 1.5027 2.5612 0.1 2.1845 1.7781
1.4394 1.578 2.5335 0.11 1.9262 1.8079
1.4956 1.4243 2.1747 0.12 2.3201 1.6293
1.5919 1.3084 2.2124 0.13 2.3247 1.4592
1.6265 1.1301 2.0035 0.14 2.3741 1.3196
1.8848 1.0048 2.099 0.15 2.0287 1.1431
1.7027 0.8222 1.8419 0.16 2.0591 0.9801
1.7607 0.6817 1.7616 0.17 2.2957 0.7452
2.0862 0.5912 1.3857 0.18 2.1607 0.6353
1.826 0.4446 1.1878 0.19 2.0921 0.4188
1.9638 0.4128 1.0535 0.2 2.0317 0.2886
2.1081 0.4776 0.8212 0.21 1.7042 0.1721
1.8241 0.5857 0.6368 0.22 1.6559 0.0528
1.8649 0.6935 0.4011 0.23 1.3364 -0.019
1.8136 0.8815 0.2212 0.24 1.1594 -0.0605
1.9522 1.023 0.0416 0.25 0.9951 -0.0734
1.6643 1.3385 -0.1038 0.26 0.8049 -0.038
1.8784 1.4854 -0.2218 0.27 0.6372 0.0141
1.608 1.7729 -0.2662 0.28 0.5011 0.0973
1.7393 2.0648 -0.3542 0.29 0.3375 0.2072
1.6586 2.2961 -0.3298 0.3 0.1657 0.2986
1.4413 2.2939 -0.363 0.31 -0.0067 0.3932
1.3541 2.5152 -0.2866 0.32 -0.1703 0.5276
1.3444 2.8265 -0.2283 0.33 -0.301 0.6448
1.3086 2.7369 -0.1265 0.34 -0.46 0.6889
1.2314 3.1714 -0.0208 0.35 -0.58 0.848
1.1711 2.7195 0.1064 0.36 -0.6688 0.8154
1.0001 3.1421 0.2635 0.37 -0.6713 0.8889
0.9258 2.8932 0.3604 0.38 -0.7791 0.7218
0.9227 2.7742 0.5653 0.39 -0.8178 0.7061
0.9261 2.5811 0.7017 0.4 -0.7772 0.5614
0.8352 2.3294 0.8553 0.41 -0.7855 0.4503
0.9411 2.0285 0.8719 0.42 -0.7839 0.2796
0.8546 1.902 1.141 0.43 -0.6373 0.1162
0.8912 1.6122 1.0313 0.44 -0.5941 -0.0945
0.7588 1.3139 1.2083 0.45 -0.5768 -0.3441
0.7955 1.2718 1.3005 0.46 -0.4307 -0.5396
0.8629 1.0971 1.1767 0.47 -0.3454 -0.7456
0.898 0.9198 1.2244 0.48 -0.1903 -0.9411
1.0261 0.769 1.129 0.49 -0.0616 -1.1682
0.8951 0.7321 1.2787 0.5 0.0702 -1.256
1.0536 0.833 1.0653 0.51 0.2097 -1.3041
1.0006 0.8727 0.9731 0.52 0.3939 -1.5239
1.2812 0.899 1.0711 0.53 0.5192 -1.6085
1.2572 1.1493 0.9065 0.54 0.6241 -1.4804
1.3371 1.3777 0.7962 0.55 0.8593 -1.2597
1.5084 1.4116 0.6761 0.56 0.9617 -1.3717
1.3928 1.6206 0.6987 0.57 1.1182 -1.075
1.6225 1.6787 0.5778 0.58 1.1307 -0.83
1.6483 1.9717 0.5225 0.59 1.4229 -0.6502
1.908 1.9695 0.4842 0.6 1.369 -0.3945
1.7042 2.0255 0.4406 0.61 1.6238 -0.0825
2.1014 2.1067 0.3533 0.62 1.6583 0.2224
1.861 2.2695 0.3767 0.63 1.8668 0.5331
2.1662 2.0725 0.3775 0.64 1.9363 0.7356
2.284 2.063 0.4419 0.65 1.6682 1.0636
2.0478 1.8929 0.4597 0.66 1.9891 1.4579
