# label : secret experiment #2903
# y : intensity
#y3 y2 y1 time
0.4605 0.1791 0.311 0.01
0.8821 0.364 0.6719 0.02
1.2201 0.5833 0.9112 0.03
1.4021 0.6883 1.1866 0.04
1.149 0.8685 1.4201 0.05
1.138 0.987 1.7392 0.06
0.9236 1.1373 1.6993 0.07
0.5447 1.3033 1.6159 0.08
0.184 1.4182 1.8944 0.09
-0.0584 1.4905 1.7569 0.1
-0.1894 1.7505 1.6087 0.11
-0.2021 1.8662 1.4819 0.12
-0.0592 1.8518 1.4548 0.13
0.234 1.7985 1.273 0.14
0.6256 2.0501 1.0364 0.15
0.9713 2.2202 0.8331 0.16
1.4497 1.9285 0.5749 0.17
1.9831 2.2182 0.4361 0.18
1.943 2.0289 0.3024 0.19
2.2251 2.0133 0.1582 0.2
2.2347 2.0745 0.0469 0.21
1.7397 2.1044 -0.0124 0.22
1.5311 1.7216 -0.0316 0.23
1.1878 1.7077 -0.0207 0.24
0.733 1.5774 0.0327 0.25
0.4339 1.6183 0.1135 0.26
0.2487 1.4448 0.2092 0.27
0.2155 1.2838 0.3506 0.28
0.3376 1.2542 0.4741 0.29
0.623 1.0749 0.5996 0.3
0.9782 0.8736 0.6625 0.31
1.3364 0.7457 0.8198 0.32
1.8201 0.581 0.8071 0.33
2.1101 0.4104 0.8685 0.34
2.1676 0.2431 0.79 0.35
2.09 0.0919 0.9018 0.36
1.8951 -0.049 0.7532 0.37
1.4686 -0.1798 0.664 0.38
1.209 -0.3149 0.4736 0.39
0.8425 -0.4846 0.254 0.4
0.3793 -0.5408 0.0175 0.41
0.0428 -0.6076 -0.226 0.42
-0.1498 -0.7149 -0.4277 0.43
-0.213 -0.9043 -0.7492 0.44
-0.1232 -0.8777 -0.9547 0.45
0.1029 -0.9813 -1.2025 0.46
0.3747 -1.0362 -1.1698 0.47
0.705 -1.1595 -1.4736 0.48
1.1331 -1.0352 -1.4225 0.49
1.3956 -1.1292 -1.4547 0.5
1.4632 -1.0367 -1.5223 0.51
1.2151 -1.008 -1.4066 0.52
1.0888 -1.1103 -1.1598 0.53
0.722 -0.9267 -1.029 0.54
0.3564 -1.0595 -0.7548 0.55
-0.0857 -0.8651 -0.5009 0.56
-0.5158 -0.8359 -0.1986 0.57
-0.7542 -0.7265 0.1236 0.58
-1.0327 -0.6444 0.4311 0.59
-1.0015 -0.5193 0.6964 0.6
-0.9112 -0.5093 1.0704 0.61
-0.6699 -0.3799 1.3669 0.62
-0.2925 -0.2259 1.6789 0.63
0.0328 -0.1431 1.6686 0.64
0.3311 -0.0223 1.6833 0.65
0.5823 0.0935 1.9609 0.66
0.7073 0.2139 2.0359 0.67
0.6493 0.3134 2.0433 0.68
0.448 0.4656 1.7538 0.69
0.1205 0.5705 1.9923 0.7
-0.2371 0.6792 1.5377 0.71
-0.6328 0.7986 1.4176 0.72
-0.9847 0.854 1.4506 0.73
-1.3525 0.9895 1.1314 0.74
-1.2678 1.0297 1.1683 0.75
-1.382 1.0751 0.8501 0.76
-1.018 1.0248 0.8134 0.77
-0.8517 1.2819 0.7557 0.78
-0.4346 1.1956 0.6728 0.79
0.0078 1.3635 0.6338 0.8
0.3477 1.2007 0.6986 0.81
0.6583 1.1954 0.7486 0.82
0.7553 1.3545 0.801 0.83
0.7059 1.2716 0.9158 0.84
0.6255 1.2438 1.0836 0.85
0.3319 1.1867 1.0662 0.86
0.0016 1.377 1.2914 0.87
-0.3624 1.2497 1.3628 0.88
-0.5834 1.1381 1.4041 0.89
-0.7358 1.2503 1.5056 0.9
-0.8266 1.2482 1.6276 0.91
-0.6446 1.0933 1.8053 0.92
-0.4501 1.1227 1.6648 0.93
-0.0584 1.1544 1.6417 0.94
0.3857 0.9255 1.5671 0.95
0.924 0.918 1.4627 0.96
1.2476 0.8592 1.1831 0.97
1.546 0.8435 0.9597 0.98
1.7553 0.9253 0.704 0.99
1.5742 0.8193 0.4354 1.0
1.5488 0.8735 0.1418 1.01
1.3092 0.7913 -0.1229 1.02
0.8431 0.8182 -0.4064 1.03
0.6268 0.7301 -0.6188 1.04
0.3666 0.6875 -0.8097 1.05
0.2258 0.6459 -0.9436 1.06
0.2224 0.6964 -1.0385 1.07
0.3432 0.6807 -1.0888 1.08
0.669 0.6989 -1.1221 1.09
1.0782 0.79 -1.2059 1.1
1.6003 0.8041 -0.9577 1.11
2.0852 0.8434 -0.8309 1.12
2.4669 0.8777 -0.6575 1.13
2.5667 0.8947 -0.4011 1.14
2.6513 0.9205 -0.1165 1.15
2.6528 0.8871 0.1915 1.16
2.5913 0.8604 0.4327 1.17
2.2244 0.9306 0.7543 1.18
1.6041 0.9574 1.0498 1.19
1.2684 0.9765 1.3728 1.2
1.0356 1.0392 1.6281 1.21
0.9734 1.1963 1.6362 1.22
0.959 1.0766 1.6688 1.23
1.0186 1.0747 1.8377 1.24
