# label : detector calibration 16. 07. 2015
# y : intensity
#time y4 y5 y3 y1 y2
0.01 0.3129 0.1734 0.2407 0.4663 0.4963
0.02 0.6555 0.3168 0.5393 0.7836 0.9282
0.03 0.9706 0.4682 0.6751 1.0753 1.1155
0.04 1.092 0.5918 0.8754 1.1515 1.4172
0.05 1.406 0.8435 1.0886 0.8912 1.6507
0.06 1.4967 1.0153 1.3807 0.5783 1.5347
0.07 1.8625 0.9748 1.3046 0.1962 1.3971
0.08 1.8472 1.2176 1.438 -0.182 1.0978
0.09 1.6975 1.2651 1.4057 -0.5039 0.896
0.1 1.944 1.4307 1.3396 -0.6783 0.7381
0.11 1.7098 1.4205 1.4249 -0.7447 0.4359
0.12 1.6374 1.4757 1.2721 -0.451 0.2857
0.13 1.6055 1.4466 1.27 -0.0999 0.2423
0.14 1.5696 1.4067 1.0873 0.3675 0.2777
0.15 1.498 1.4292 0.8381 0.796 0.4179
0.16 1.2925 1.1771 0.7865 1.2446 0.6351
0.17 0.9447 1.2133 0.6157 1.5348 1.0451
0.18 0.7899 1.064 0.4686 1.5252 1.2592
0.19 0.5784 1.0866 0.3348 1.2818 1.677
0.2 0.3127 0.8804 0.2607 0.9748 1.9946
0.21 0.134 0.9434 0.1869 0.594 2.0537
0.22 -0.0358 0.7215 0.1618 0.2017 2.234
0.23 -0.1827 0.6244 0.1884 -0.1351 2.0649
0.24 -0.2911 0.5394 0.2483 -0.3457 1.9349
0.25 -0.4385 0.4208 0.2868 -0.3377 1.4498
0.26 -0.514 0.3185 0.46 -0.1422 1.1947
0.27 -0.5363 0.2261 0.6653 0.2322 0.8297
0.28 -0.5524 0.1612 0.8267 0.6494 0.3605
0.29 -0.4963 0.1009 1.0657 1.1697 -0.0447
0.3 -0.4277 0.0441 1.2585 1.5072 -0.3699
0.31 -0.3447 0.0117 1.3483 1.7989 -0.494
0.32 -0.2701 -0.0044 1.6285 1.8981 -0.5991
0.33 -0.1697 -0.003 1.9661 1.7534 -0.545
0.34 -0.0749 0.018 1.9415 1.2847 -0.4168
0.35 0.0234 0.0568 2.465 0.9816 -0.189
0.36 0.1101 0.1166 2.4573 0.6386 0.0852
0.37 0.1871 0.1726 2.686 0.2087 0.39
0.38 0.2747 0.2641 2.9288 0.0214 0.5617
0.39 0.299 0.3671 2.7314 -0.0017 0.7899
0.4 0.3098 0.532 2.6079 0.1742 0.8701
0.41 0.2987 0.6421 2.5218 0.4817 0.7267
0.42 0.2875 0.7695 2.7518 1.0294 0.5491
0.43 0.2187 0.8707 2.5559 1.5226 0.315
0.44 0.1664 1.09 2.2631 1.9532 0.0114
0.45 0.0701 1.2091 1.9621 2.1229 -0.3149
0.46 -0.0476 1.4623 1.788 2.1401 -0.7017
0.47 -0.1759 1.6203 1.8255 2.0325 -0.9677
0.48 -0.2812 1.6271 1.6511 1.6662 -1.1318
