# y : intensity
# x : time signal
#time y1 y4 y3 y2
0.01 0.5981 0.2087 0.231 0.2721
0.02 1.0274 0.4354 0.4359 0.4755
0.03 1.4451 0.5585 0.6265 0.8351
0.04 1.9057 0.8397 0.871 1.1094
0.05 2.0695 0.9475 1.0495 1.2002
0.06 2.2097 1.2789 1.1784 1.3436
0.07 1.8889 1.3441 1.3531 1.5298
0.08 1.6722 1.4185 1.5489 1.8719
0.09 1.3858 1.8734 1.84 1.8012
0.1 0.9057 1.9797 1.834 2.054
0.11 0.4964 1.9874 2.0967 2.4073
0.12 0.0553 2.1992 2.0966 2.2097
0.13 -0.3859 2.0193 2.0428 2.3443
0.14 -0.6763 2.2387 2.2623 2.4907
0.15 -1.1097 2.3479 2.3643 2.3044
0.16 -1.2516 2.6407 2.0972 2.0679
0.17 -1.2399 2.456 2.2672 2.2826
0.18 -1.0334 2.5868 2.3532 2.0099
0.19 -0.8826 2.626 2.3711 2.1669
0.2 -0.6294 2.7632 2.0471 1.7772
0.21 -0.3103 2.5049 2.23 1.9509
0.22 0.0991 2.3646 2.1226 1.6041
0.23 0.5182 2.6885 2.2829 1.4003
0.24 0.8643 2.6532 2.0367 1.2689
0.25 1.0268 2.6236 2.0653 1.0802
0.26 1.2821 2.4973 1.9681 0.923
0.27 1.6326 2.2207 1.5705 0.8216
0.28 1.6076 2.2753 1.6925 0.6281
0.29 1.5656 2.0674 1.4599 0.6135
0.3 1.4434 2.0903 1.5663 0.4072
0.31 1.4334 2.0094 1.431 0.295
0.32 1.1523 1.7402 1.4001 0.2335
0.33 0.8949 1.6217 1.0956 0.1234
0.34 0.8006 1.5349 1.0423 0.0712
0.35 0.669 1.2649 1.1244 0.0223
0.36 0.5721 1.323 1.0075 -0.0074
0.37 0.5449 1.0415 1.0299 -0.0201
0.38 0.5056 0.9358 0.9469 -0.0121
0.39 0.5615 0.8325 0.9379 0.0076
0.4 0.6457 0.6709 0.9472 0.0483
0.41 0.7697 0.5719 1.0098 0.0875
0.42 0.7797 0.5506 1.0327 0.153
0.43 0.8774 0.4531 0.9129 0.221
0.44 1.0456 0.3137 1.0554 0.3077
0.45 0.9107 0.2091 0.9682 0.4046
0.46 0.8876 0.1438 1.0207 0.4771
0.47 0.8813 0.0706 1.0689 0.5182
0.48 0.7538 0.0087 1.2009 0.6884
0.49 0.5699 -0.0484 1.3017 0.73
0.5 0.3741 -0.1014 1.3716 0.8041
0.51 0.2971 -0.1348 1.2549 0.7607
0.52 0.1722 -0.174 1.395 0.8375
0.53 0.1545 -0.1782 1.5464 0.9594
0.54 0.1897 -0.2079 1.4745 0.9323
0.55 0.3147 -0.2342 1.5642 0.9433
0.56 0.5394 -0.2171 1.6259 1.0107
0.57 0.7142 -0.226 1.6727 0.9551
0.58 1.1427 -0.1904 1.6253 0.8823
0.59 1.5052 -0.1835 1.541 0.8291
0.6 1.7676 -0.188 1.5006 0.7615
0.61 2.1776 -0.1686 1.3888 0.8228
0.62 2.208 -0.1356 1.5782 0.6773
0.63 2.4892 -0.1004 1.4818 0.6344
0.64 2.4198 -0.0925 1.2626 0.5114
0.65 2.5936 -0.0566 1.1048 0.4808
0.66 2.0805 -0.0353 1.1085 0.3882
0.67 2.1509 -0.0165 0.9088 0.2741
0.68 1.6187 0.0033 0.808 0.1862
0.69 1.1421 0.0204 0.6208 0.13
0.7 0.7299 0.029 0.4589 0.0567
0.71 0.1914 0.0419 0.3187 0.0073
0.72 -0.2119 0.0461 0.1408 -0.0335
0.73 -0.5673 0.0381 -0.0496 -0.0714
0.74 -0.8211 0.0339 -0.2363 -0.0857
0.75 -0.8585 0.0183 -0.4942 -0.0862
0.76 -0.8794 -0.0026 -0.6539 -0.0576
0.77 -0.7588 -0.0283 -0.8834 -0.0318
0.78 -0.438 -0.0665 -1.1721 0.0201
0.79 0.0022 -0.1068 -1.1856 0.0805
0.8 0.5143 -0.1545 -1.4994 0.1636
0.81 1.0837 -0.2097 -1.7423 0.2584
0.82 1.6652 -0.2725 -1.7791 0.3802
0.83 2.0341 -0.3102 -1.8154 0.4338
0.84 2.2259 -0.3611 -2.0979 0.5501
0.85 2.475 -0.4821 -2.2968 0.6812
