# y : intensity
#y2 y3 time y5 y4 y1
0.6158 0.2227 0.01 0.4639 0.2483 0.4658
0.9103 0.4655 0.02 0.9766 0.4844 0.8047
1.1078 0.6335 0.03 1.0362 0.7521 0.9618
0.7916 0.9388 0.04 1.2323 1.0043 1.1813
0.3746 1.0863 0.05 0.9573 1.0569 1.0768
-0.1531 1.3308 0.06 0.5817 1.2133 0.6555
-0.6344 1.4486 0.07 0.1513 1.321 0.3106
-0.7059 1.6255 0.08 -0.2434 1.1877 -0.0534
-0.5539 1.7881 0.09 -0.5123 1.1303 -0.3546
-0.0994 1.9325 0.1 -0.5512 1.1596 -0.5576
0.4834 1.8 0.11 -0.42 1.0516 -0.6019
1.1619 1.837 0.12 -0.0536 0.8929 -0.4626
1.348 1.9693 0.13 0.3998 0.7149 -0.189
1.4253 1.8061 0.14 0.9749 0.5194 0.195
0.9816 1.7575 0.15 1.3791 0.3025 0.6863
0.5779 1.639 0.16 1.6361 0.1095 1.1162
0.0519 1.5964 0.17 1.6367 -0.0364 1.46
-0.2891 1.4728 0.18 1.55 -0.1703 1.5437
-0.3863 1.4136 0.19 1.174 -0.2583 1.4402
-0.136 1.2937 0.2 0.8338 -0.2488 1.2445
0.3575 1.1332 0.21 0.3977 -0.2689 0.9675
1.0198 1.0544 0.22 0.0543 -0.179 0.633
1.466 0.9686 0.23 -0.0753 -0.0755 0.2307
1.7559 0.7079 0.24 0.0148 0.0851 -0.0584
1.5672 0.5826 0.25 0.3163 0.2875 -0.2141
1.412 0.4239 0.26 0.7761 0.4522 -0.1637
0.8025 0.3026 0.27 1.2165 0.7629 0.0472
0.2253 0.174 0.28 1.7732 0.9772 0.4461
-0.0705 0.0513 0.29 2.1556 1.3608 0.7971
-0.0551 -0.0549 0.3 2.2905 1.3622 1.1697
0.273 -0.1268 0.31 2.1658 1.5755 1.5589
0.9006 -0.1952 0.32 1.6445 1.6916 2.08
1.3136 -0.2683 0.33 1.2571 2.1108 1.8194
1.691 -0.323 0.34 0.8038 2.1815 1.8469
1.9881 -0.3305 0.35 0.4859 2.1351 1.5054
2.0272 -0.311 0.36 0.2443 1.9508 1.3359
1.3912 -0.2968 0.37 0.2691 2.1746 0.7725
0.8118 -0.2896 0.38 0.5285 1.9544 0.4727
0.4117 -0.2251 0.39 0.8843 1.6363 0.2359
0.1502 -0.193 0.4 1.2466 1.7236 0.196
0.2388 -0.1188 0.41 1.912 1.2598 0.3051
0.5817 -0.0386 0.42 2.2198 1.1422 0.63
1.0906 0.0374 0.43 2.3062 0.9922 0.9766
1.6694 0.1163 0.44 2.2253 0.8527 1.4583
2.1384 0.1992 0.45 2.0621 0.6684 1.7201
2.1178 0.2335 0.46 1.5236 0.4844 2.3693
