# label : detector calibration 16. 11. 2015
# x : time signal
#y4 time y3 y5 y2 y1
0.392 0.01 0.3521 0.2226 0.4366 0.7632
0.7022 0.02 0.6557 0.4379 0.781 1.2809
1.053 0.03 1.003 0.6434 0.9946 0.9664
1.2587 0.04 1.2751 0.8471 1.1679 0.3476
1.5132 0.05 1.2909 1.0623 1.0144 -0.2664
1.6967 0.06 1.1664 1.2524 0.798 -0.446
1.8576 0.07 1.0519 1.3394 0.4473 -0.0945
1.8728 0.08 0.8973 1.5389 0.0405 0.6506
2.1673 0.09 0.5701 1.5505 -0.3205 1.3204
2.1468 0.1 0.2608 1.6069 -0.5528 1.8753
1.869 0.11 0.0134 1.7634 -0.5619 1.7422
1.653 0.12 -0.1929 1.9574 -0.4605 0.9893
1.4601 0.13 -0.3486 2.1709 -0.2037 0.288
1.2139 0.14 -0.3458 2.0127 0.2015 0.0266
0.9941 0.15 -0.2533 2.0076 0.6051 0.348
0.6094 0.16 -0.0724 2.1707 0.9787 1.0725
0.2242 0.17 0.1953 2.359 1.5047 1.7423
-0.1222 0.18 0.5044 2.087 1.8008 2.0882
-0.4176 0.19 0.9477 2.2462 1.561 1.7169
-0.7165 0.2 1.2989 2.3604 1.6293 1.1477
-1.0954 0.21 1.673 2.177 1.2736 0.4609
-1.4259 0.22 1.8531 2.236 0.8568 0.108
-1.6509 0.23 1.926 2.2052 0.5169 0.4096
-1.5579 0.24 2.215 2.1185 0.1561 0.9602
-1.711 0.25 2.1672 2.0658 -0.0396 1.6012
-1.8489 0.26 1.8056 1.7666 -0.0722 1.9224
-1.859 0.27 1.4531 1.828 0.0646 1.6721
-1.6088 0.28 1.2242 1.77 0.3706 0.9749
-1.6327 0.29 0.9689 1.4932 0.7047 0.1215
-1.3069 0.3 0.6754 1.453 1.2615 -0.2184
-1.1278 0.31 0.5637 1.3271 1.6959 -0.0163
-0.7324 0.32 0.4365 1.1526 1.8609 0.6128
-0.392 0.33 0.3613 0.9648 2.1439 1.3266
-0.0269 0.34 0.4693 0.9587 2.1448 1.5681
0.3314 0.35 0.7189 0.8041 1.8991 1.1881
0.6643 0.36 0.9023 0.705 1.6388 0.3481
1.0372 0.37 1.2577 0.5955 1.2121 -0.3998
1.3082 0.38 1.6455 0.4631 0.8233 -0.8169
1.5929 0.39 1.7947 0.4172 0.5654 -0.5658
2.0307 0.4 2.4037 0.3356 0.3533 0.0033
2.1399 0.41 2.2611 0.2201 0.3803 0.6416
2.218 0.42 2.7965 0.1665 0.5128 0.823
2.2633 0.43 2.4575 0.1026 0.8435 0.512
2.4487 0.44 2.7569 0.065 1.2338 -0.2114
2.0886 0.45 2.1529 0.0288 1.7021 -1.0238
2.1044 0.46 2.2456 0.002 2.1935 -1.4504
1.7532 0.47 1.6638 -0.0128 2.3434 -1.0414
1.5914 0.48 1.4299 -0.0178 2.5925 -0.4748
1.2949 0.49 1.2829 -0.0144 2.665 0.1822
0.994 0.5 0.8876 0.0001 2.2218 0.4571
0.7443 0.51 0.7947 0.0254 1.7965 0.1504
0.392 0.52 0.8885 0.0524 1.4002 -0.5338
0.0094 0.53 0.8743 0.0919 1.208 -1.3189
-0.2998 0.54 1.1796 0.1357 0.7583 -1.5739
-0.6968 0.55 1.3353 0.1809 0.6331 -1.2367
-0.8811 0.56 1.6223 0.2584 0.6962 -0.5903
-1.1026 0.57 2.006 0.295 0.8962 0.0829
-1.4835 0.58 2.2741 0.3659 1.3026 0.4024
-1.4111 0.59 2.7318 0.4407 1.4773 0.1752
-1.5106 0.6 2.6008 0.5228 1.9538 -0.4334
-1.6066 0.61 2.6233 0.5182 2.2406 -1.0971
-1.5772 0.62 2.8903 0.6871 2.9149 -1.4194
-1.3487 0.63 2.4764 0.7517 2.8987 -1.0301
-1.1846 0.64 2.7015 0.7089 2.7506 -0.3405
-0.9392 0.65 2.0134 0.7876 2.3724 0.4394
-0.7579 0.66 1.9543 0.8577 2.0392 0.7982
-0.4436 0.67 1.4176 0.8549 1.5375 0.6502
-0.0636 0.68 1.316 1.0021 1.1184 0.0261
0.2926 0.69 1.118 0.9641 0.8929 -0.5908
0.6982 0.7 0.9466 1.0165 0.7256 -0.8948
1.0377 0.71 0.8745 0.9904 0.8244 -0.4669
