# y : intensity
#y4 time y5 y2 y1 y3
0.1947 0.01 0.3207 0.2826 0.2467 0.1882
0.3922 0.02 0.6686 0.5179 0.5081 0.424
0.5558 0.03 0.9735 0.8023 0.7503 0.6295
0.7626 0.04 1.0614 0.9783 0.9597 0.755
0.8456 0.05 1.2922 1.3866 0.9599 1.0063
1.0684 0.06 1.2137 1.3944 1.1125 1.022
1.128 0.07 1.3861 1.6002 1.2587 1.1944
1.4911 0.08 1.1637 1.6525 1.2991 1.5022
1.5058 0.09 1.0155 1.8678 1.1171 1.4668
1.4386 0.1 0.8077 1.8479 0.9663 1.6424
1.8406 0.11 0.5534 1.7317 0.8221 1.7999
1.9016 0.12 0.3452 1.9224 0.6618 1.7507
1.9547 0.13 0.1385 1.6093 0.5403 1.9727
1.9066 0.14 -0.0249 1.5081 0.3769 1.9307
1.6766 0.15 -0.1323 1.527 0.1401 2.0606
2.0123 0.16 -0.1529 1.3733 -0.0314 2.1142
1.9554 0.17 -0.093 1.2514 -0.2083 2.0495
1.9999 0.18 0.0311 1.1418 -0.3065 1.9553
1.8497 0.19 0.2183 0.9855 -0.4107 2.2448
1.7466 0.2 0.5482 0.9274 -0.422 2.0512
1.6343 0.21 0.7943 0.81 -0.3828 2.0172
1.686 0.22 1.047 0.7127 -0.3267 1.9021
1.4198 0.23 1.3733 0.6159 -0.2038 1.9517
1.3972 0.24 1.8527 0.6056 -0.0229 1.956
1.3866 0.25 2.1392 0.6132 0.1937 1.689
1.1718 0.26 2.0145 0.7402 0.4054 1.5605
1.1373 0.27 2.2567 0.7771 0.6143 1.4892
1.0709 0.28 2.2593 0.8507 0.9045 1.4205
1.1434 0.29 2.1082 0.9995 1.2766 1.3226
1.0764 0.3 2.1443 1.1894 1.4023 1.2988
0.8488 0.31 1.8478 1.4908 1.5475 1.2385
0.9011 0.32 1.4235 1.4798 1.9152 1.1938
0.7665 0.33 1.1655 1.7066 1.9262 1.2538
0.9092 0.34 1.0117 1.9597 2.0438 1.0193
0.8839 0.35 0.7025 1.9584 1.9728 1.0051
0.8998 0.36 0.539 2.0701 2.0071 1.0346
0.8573 0.37 0.3476 2.1301 1.9618 1.0372
0.8268 0.38 0.3423 2.5162 1.6035 1.0483
0.854 0.39 0.319 2.295 1.5044 0.9493
1.0916 0.4 0.3883 2.5031 1.3003 1.0173
1.1748 0.41 0.5827 2.3686 1.089 0.9758
1.058 0.42 0.8505 2.3455 0.9201 0.9005
1.2211 0.43 0.997 2.1171 0.8085 1.0434
1.508 0.44 1.4578 1.8007 0.5993 0.9993
1.4968 0.45 1.4834 1.6797 0.3973 1.2303
