#CandyMountain NPP, unit 9
#date;fha;ao;bc
1994-09-18;1.368;-7.873;5.431
1994-09-19;1.367;-7.862;5.426
1994-09-20;1.366;-7.853;5.411
1994-09-21;1.365;-7.844;5.401
1994-09-22;1.364;-7.838;5.395
1994-09-23;1.363;-7.835;5.382
1994-09-24;1.362;-7.829;5.374
1994-09-25;1.361;-7.825;5.36
1994-09-26;1.36;-7.821;5.354
1994-09-27;1.359;-7.819;5.34
1994-09-28;1.359;-7.814;5.332
1994-09-29;1.358;-7.808;5.324
1994-09-30;1.357;-7.805;5.31
1994-10-01;1.356;-7.801;5.296
1994-10-02;1.355;-7.797;5.284
1994-10-03;1.353;-7.793;5.27
1994-10-04;1.352;-7.787;5.257
1994-10-05;1.351;-7.783;5.249
1994-10-06;1.35;-7.781;5.243
1994-10-07;1.349;-7.779;5.232
1994-10-08;1.347;-7.775;5.225
1994-10-09;1.347;-7.77;5.213
1994-10-10;1.345;-7.767;5.2
1994-10-11;1.344;-7.762;5.19
1994-10-12;1.343;-7.758;5.184
1994-10-13;1.342;-7.753;5.175
1994-10-14;1.341;-7.75;5.162
1994-10-15;1.341;-7.745;5.149
1994-10-16;1.339;-7.742;5.142
1994-10-17;1.338;-7.738;5.132
1994-10-18;1.337;-7.735;5.124
1994-10-19;1.336;-7.732;5.113
1994-10-20;1.335;-7.728;5.099
1994-10-21;1.333;-7.723;5.094
1994-10-22;1.333;-7.719;5.088
1994-10-23;1.332;-7.717;5.082
1994-10-24;1.331;-7.712;5.067
1994-10-25;1.329;-7.71;5.053
1994-10-26;1.329;-7.706;5.048
1994-10-27;1.328;-7.702;5.042
1994-10-28;1.327;-7.699;5.035
1994-10-29;1.326;-7.694;5.025
1994-10-30;1.325;-7.691;5.013
1994-10-31;1.323;-7.689;5.003
1994-11-01;1.322;-7.685;4.99
1994-11-02;1.321;-7.681;4.98
1994-11-03;1.32;-7.679;4.974
1994-11-04;1.319;-7.677;4.969
1994-11-05;1.318;-7.673;4.957
1994-11-06;1.318;-7.669;4.948
1994-11-07;1.316;-7.667;4.941
1994-11-08;1.315;-7.662;4.932
1994-11-09;1.315;-7.659;4.919
1994-11-10;1.313;-7.655;4.905
1994-11-11;1.313;-7.653;4.898
1994-11-12;1.311;-7.649;4.891
1994-11-13;1.311;-7.646;4.879
1994-11-14;1.309;-7.644;4.868
1994-11-15;1.308;-7.641;4.853
1994-11-16;1.306;-7.639;4.84
1994-11-17;1.306;-7.636;4.834
1994-11-18;1.305;-7.633;4.825
1994-11-19;1.303;-7.631;4.82
1994-11-20;1.302;-7.628;4.812
1994-11-21;1.301;-7.624;4.801
1994-11-22;1.3;-7.621;4.788
1994-11-23;1.298;-7.619;4.774
1994-11-24;1.298;-7.616;4.767
1994-11-25;1.297;-7.614;4.755
1994-11-26;1.295;-7.612;4.744
1994-11-27;1.294;-7.61;4.731
1994-11-28;1.293;-7.607;4.723
1994-11-29;1.291;-7.605;4.715
1994-11-30;1.29;-7.603;4.71
1994-12-01;1.289;-7.601;4.703
1994-12-02;1.288;-7.598;4.697
1994-12-03;1.287;-7.596;4.689
1994-12-04;1.286;-7.594;4.68
1994-12-05;1.285;-7.592;4.675
1994-12-06;1.284;-7.59;4.661
1994-12-07;1.283;-7.588;4.656
1994-12-08;1.282;-7.586;4.641
1994-12-09;1.281;-7.584;4.631
1994-12-10;1.281;-7.581;4.623
1994-12-11;1.28;-7.579;4.612
1994-12-12;1.279;-7.577;4.6
1994-12-13;1.278;-7.575;4.591
1994-12-14;1.278;-7.572;4.581
1994-12-15;1.277;-7.569;4.568
1994-12-16;1.276;-7.567;4.557
1994-12-17;1.274;-7.564;4.552
1994-12-18;1.273;-7.561;4.544
1994-12-19;1.273;-7.558;4.535
1994-12-20;1.272;-7.555;4.526
1994-12-21;1.271;-7.553;4.516
1994-12-22;1.27;-7.551;4.505
1994-12-23;1.269;-7.549;4.491
1994-12-24;1.268;-7.546;4.482
1994-12-25;1.267;-7.543;4.473
1994-12-26;1.265;-7.541;4.468
1994-12-27;1.264;-7.537;4.455
1994-12-28;1.263;-7.536;4.447
1994-12-29;1.262;-7.533;4.436
1994-12-30;1.261;-7.53;4.428
1994-12-31;1.26;-7.528;4.423
1995-01-01;1.259;-7.527;4.414
1995-01-02;1.258;-7.526;4.399
1995-01-03;1.257;-7.523;4.393
1995-01-04;1.256;-7.52;4.387
1995-01-05;1.255;-7.517;4.38
1995-01-06;1.254;-7.515;4.37
1995-01-07;1.253;-7.513;4.361
1995-01-08;1.252;-7.51;4.354
1995-01-09;1.251;-7.508;4.343
1995-01-10;1.249;-7.505;4.334
1995-01-11;1.248;-7.501;4.32
1995-01-12;1.247;-7.5;4.307
1995-01-13;1.245;-7.499;4.3
1995-01-14;1.244;-7.495;4.288
1995-01-15;1.243;-7.494;4.281
1995-01-16;1.243;-7.491;4.275
1995-01-17;1.241;-7.49;4.265
1995-01-18;1.24;-7.487;4.26
1995-01-19;1.239;-7.484;4.249
1995-01-20;1.238;-7.482;4.238
1995-01-21;1.237;-7.481;4.23
1995-01-22;1.236;-7.479;4.217
1995-01-23;1.235;-7.476;4.206
1995-01-24;1.234;-7.474;4.193
1995-01-25;1.233;-7.471;4.183
1995-01-26;1.232;-7.469;4.173
1995-01-27;1.231;-7.468;4.162
1995-01-28;1.23;-7.465;4.15
1995-01-29;1.229;-7.462;4.144
1995-01-30;1.227;-7.46;4.135
1995-01-31;1.227;-7.457;4.126
1995-02-01;1.226;-7.455;4.115
1995-02-02;1.225;-7.453;4.1
1995-02-03;1.224;-7.451;4.094
1995-02-04;1.223;-7.448;4.089
1995-02-05;1.222;-7.446;4.078
1995-02-06;1.221;-7.443;4.065
1995-02-07;1.22;-7.442;4.05
1995-02-08;1.219;-7.44;4.044
1995-02-09;1.218;-7.437;4.03
1995-02-10;1.217;-7.436;4.019
1995-02-11;1.216;-7.434;4.009
1995-02-12;1.215;-7.432;4.0
1995-02-13;1.214;-7.429;3.99
1995-02-14;1.213;-7.427;3.983
1995-02-15;1.212;-7.426;3.976
1995-02-16;1.21;-7.425;3.968
1995-02-17;1.209;-7.423;3.957
1995-02-18;1.208;-7.422;3.946
1995-02-19;1.208;-7.419;3.936
1995-02-20;1.206;-7.418;3.922
1995-02-21;1.205;-7.416;3.915
1995-02-22;1.205;-7.414;3.901
1995-02-23;1.204;-7.412;3.886
1995-02-24;1.202;-7.41;3.881
1995-02-25;1.201;-7.407;3.875
1995-02-26;1.2;-7.406;3.867
1995-02-27;1.199;-7.405;3.852
1995-02-28;1.198;-7.404;3.844
1995-03-01;1.198;-7.401;3.836
1995-03-02;1.197;-7.4;3.825
1995-03-03;1.196;-7.399;3.819
1995-03-04;1.195;-7.396;3.807
1995-03-05;1.193;-7.394;3.8
1995-03-06;1.193;-7.391;3.792
1995-03-07;1.192;-7.389;3.784
1995-03-08;1.191;-7.388;3.775
1995-03-09;1.19;-7.386;3.763
1995-03-10;1.19;-7.384;3.75
1995-03-11;1.189;-7.382;3.735
1995-03-12;1.188;-7.381;3.725
1995-03-13;1.187;-7.38;3.718
