#Disneyland NPP, unit 12
#date;bc;fha;ao
1980-03-18;6.708;1.396;-7.481
1980-03-19;6.702;1.395;-7.466
1980-03-20;6.689;1.394;-7.459
1980-03-21;6.683;1.393;-7.452
1980-03-22;6.669;1.392;-7.444
1980-03-23;6.661;1.391;-7.44
1980-03-24;6.65;1.39;-7.432
1980-03-25;6.641;1.389;-7.424
1980-03-26;6.629;1.388;-7.42
1980-03-27;6.616;1.387;-7.416
1980-03-28;6.602;1.386;-7.411
1980-03-29;6.592;1.384;-7.405
1980-03-30;6.585;1.383;-7.402
1980-03-31;6.578;1.383;-7.396
1980-04-01;6.565;1.382;-7.39
1980-04-02;6.557;1.381;-7.386
1980-04-03;6.544;1.38;-7.383
1980-04-04;6.53;1.379;-7.379
1980-04-05;6.517;1.378;-7.373
1980-04-06;6.505;1.377;-7.371
1980-04-07;6.494;1.376;-7.367
1980-04-08;6.485;1.375;-7.363
1980-04-09;6.476;1.374;-7.361
1980-04-10;6.466;1.373;-7.356
1980-04-11;6.452;1.372;-7.35
1980-04-12;6.443;1.371;-7.346
1980-04-13;6.43;1.37;-7.344
1980-04-14;6.417;1.368;-7.338
1980-04-15;6.407;1.367;-7.336
1980-04-16;6.395;1.366;-7.333
1980-04-17;6.387;1.364;-7.328
1980-04-18;6.376;1.363;-7.324
1980-04-19;6.366;1.362;-7.32
1980-04-20;6.361;1.36;-7.316
1980-04-21;6.35;1.359;-7.311
1980-04-22;6.336;1.358;-7.306
1980-04-23;6.323;1.357;-7.301
1980-04-24;6.316;1.356;-7.296
1980-04-25;6.303;1.355;-7.294
1980-04-26;6.297;1.354;-7.289
1980-04-27;6.287;1.352;-7.287
1980-04-28;6.277;1.352;-7.282
1980-04-29;6.267;1.351;-7.279
1980-04-30;6.262;1.349;-7.275
1980-05-01;6.248;1.348;-7.273
1980-05-02;6.236;1.347;-7.27
1980-05-03;6.224;1.346;-7.268
1980-05-04;6.211;1.345;-7.264
1980-05-05;6.202;1.343;-7.261
1980-05-06;6.189;1.342;-7.258
1980-05-07;6.18;1.341;-7.255
1980-05-08;6.166;1.34;-7.252
1980-05-09;6.158;1.339;-7.25
1980-05-10;6.147;1.339;-7.248
1980-05-11;6.135;1.338;-7.245
1980-05-12;6.124;1.337;-7.242
1980-05-13;6.119;1.336;-7.237
1980-05-14;6.105;1.335;-7.234
1980-05-15;6.091;1.334;-7.23
1980-05-16;6.083;1.334;-7.228
1980-05-17;6.071;1.333;-7.226
1980-05-18;6.062;1.332;-7.225
1980-05-19;6.051;1.331;-7.223
1980-05-20;6.042;1.33;-7.22
1980-05-21;6.036;1.329;-7.218
1980-05-22;6.025;1.328;-7.216
1980-05-23;6.012;1.327;-7.212
1980-05-24;6.0;1.326;-7.209
1980-05-25;5.993;1.325;-7.205
1980-05-26;5.984;1.324;-7.203
1980-05-27;5.972;1.323;-7.199
1980-05-28;5.961;1.322;-7.197
1980-05-29;5.948;1.321;-7.193
1980-05-30;5.938;1.32;-7.19
1980-05-31;5.926;1.319;-7.188
1980-06-01;5.919;1.318;-7.186
1980-06-02;5.911;1.317;-7.182
1980-06-03;5.903;1.316;-7.178
1980-06-04;5.89;1.315;-7.176
1980-06-05;5.876;1.314;-7.172
1980-06-06;5.863;1.313;-7.17
1980-06-07;5.857;1.312;-7.168
1980-06-08;5.842;1.311;-7.165
1980-06-09;5.835;1.31;-7.162
1980-06-10;5.829;1.309;-7.16
1980-06-11;5.822;1.308;-7.157
1980-06-12;5.815;1.307;-7.154
1980-06-13;5.807;1.306;-7.153
1980-06-14;5.792;1.305;-7.151
1980-06-15;5.781;1.304;-7.147
1980-06-16;5.766;1.303;-7.145
1980-06-17;5.761;1.302;-7.143
1980-06-18;5.754;1.301;-7.139
1980-06-19;5.742;1.299;-7.136
1980-06-20;5.728;1.298;-7.133
1980-06-21;5.721;1.297;-7.131
1980-06-22;5.706;1.296;-7.129
1980-06-23;5.693;1.296;-7.126
1980-06-24;5.681;1.295;-7.122
1980-06-25;5.669;1.294;-7.12
1980-06-26;5.658;1.293;-7.119
1980-06-27;5.647;1.292;-7.117
1980-06-28;5.64;1.291;-7.115
1980-06-29;5.633;1.29;-7.114
1980-06-30;5.622;1.288;-7.11
1980-07-01;5.612;1.288;-7.108
1980-07-02;5.601;1.286;-7.105
1980-07-03;5.593;1.285;-7.103
1980-07-04;5.58;1.284;-7.1
1980-07-05;5.574;1.283;-7.098
1980-07-06;5.564;1.282;-7.096
1980-07-07;5.556;1.281;-7.092
1980-07-08;5.55;1.28;-7.089
1980-07-09;5.541;1.279;-7.085
1980-07-10;5.531;1.278;-7.083
1980-07-11;5.523;1.277;-7.081
1980-07-12;5.514;1.276;-7.078
1980-07-13;5.501;1.275;-7.077
1980-07-14;5.493;1.274;-7.075
1980-07-15;5.482;1.274;-7.072
1980-07-16;5.471;1.273;-7.069
1980-07-17;5.465;1.271;-7.067
1980-07-18;5.459;1.27;-7.066
1980-07-19;5.447;1.269;-7.063
1980-07-20;5.435;1.268;-7.061
1980-07-21;5.425;1.268;-7.059
1980-07-22;5.415;1.266;-7.056
1980-07-23;5.407;1.265;-7.053
1980-07-24;5.399;1.264;-7.052
1980-07-25;5.389;1.263;-7.05
1980-07-26;5.383;1.262;-7.047
1980-07-27;5.372;1.261;-7.043
1980-07-28;5.363;1.26;-7.041
1980-07-29;5.353;1.259;-7.039
1980-07-30;5.347;1.258;-7.036
1980-07-31;5.337;1.257;-7.033
1980-08-01;5.331;1.256;-7.032
1980-08-02;5.321;1.255;-7.031
1980-08-03;5.313;1.254;-7.029
1980-08-04;5.301;1.253;-7.026
1980-08-05;5.289;1.252;-7.023
1980-08-06;5.28;1.251;-7.02
1980-08-07;5.272;1.25;-7.019
1980-08-08;5.266;1.249;-7.016
1980-08-09;5.252;1.247;-7.013
1980-08-10;5.239;1.247;-7.01
1980-08-11;5.227;1.246;-7.008
1980-08-12;5.213;1.244;-7.005
1980-08-13;5.201;1.244;-7.002
1980-08-14;5.188;1.242;-6.999
1980-08-15;5.177;1.242;-6.996
1980-08-16;5.169;1.24;-6.994
1980-08-17;5.162;1.239;-6.993
1980-08-18;5.148;1.239;-6.99
1980-08-19;5.142;1.237;-6.988
1980-08-20;5.136;1.236;-6.987
1980-08-21;5.121;1.235;-6.985
1980-08-22;5.108;1.234;-6.983
1980-08-23;5.094;1.234;-6.981
1980-08-24;5.088;1.233;-6.979
1980-08-25;5.077;1.231;-6.977
1980-08-26;5.068;1.231;-6.975
1980-08-27;5.058;1.229;-6.972
1980-08-28;5.044;1.228;-6.97
1980-08-29;5.036;1.227;-6.969
1980-08-30;5.031;1.226;-6.966
1980-08-31;5.02;1.226;-6.965
1980-09-01;5.013;1.225;-6.962
1980-09-02;5.006;1.223;-6.96
1980-09-03;4.998;1.222;-6.957
1980-09-04;4.987;1.222;-6.955
1980-09-05;4.972;1.22;-6.952
1980-09-06;4.963;1.22;-6.95
1980-09-07;4.956;1.219;-6.948
1980-09-08;4.943;1.218;-6.946
1980-09-09;4.93;1.217;-6.944
1980-09-10;4.924;1.216;-6.942
1980-09-11;4.916;1.215;-6.94
1980-09-12;4.908;1.215;-6.938
1980-09-13;4.901;1.214;-6.936
1980-09-14;4.895;1.213;-6.933
1980-09-15;4.885;1.212;-6.931
1980-09-16;4.874;1.211;-6.929
1980-09-17;4.864;1.21;-6.926
1980-09-18;4.855;1.208;-6.925
