#Atlantis NPP, unit 16
#date;ao;fha;bc
1994-10-19;-6.709;1.387;6.781
1994-10-20;-6.696;1.386;6.773
1994-10-21;-6.685;1.385;6.761
1994-10-22;-6.68;1.384;6.755
1994-10-23;-6.673;1.383;6.746
1994-10-24;-6.667;1.382;6.733
1994-10-25;-6.662;1.381;6.724
1994-10-26;-6.658;1.38;6.71
1994-10-27;-6.654;1.379;6.697
1994-10-28;-6.647;1.379;6.689
1994-10-29;-6.644;1.378;6.681
1994-10-30;-6.641;1.376;6.675
1994-10-31;-6.634;1.375;6.663
1994-11-01;-6.63;1.374;6.648
1994-11-02;-6.626;1.373;6.633
1994-11-03;-6.622;1.372;6.62
1994-11-04;-6.619;1.372;6.612
1994-11-05;-6.613;1.37;6.603
1994-11-06;-6.607;1.37;6.59
1994-11-07;-6.605;1.369;6.575
1994-11-08;-6.602;1.367;6.565
1994-11-09;-6.599;1.366;6.552
1994-11-10;-6.594;1.365;6.54
1994-11-11;-6.588;1.364;6.529
1994-11-12;-6.585;1.363;6.516
1994-11-13;-6.58;1.362;6.503
1994-11-14;-6.575;1.361;6.498
1994-11-15;-6.572;1.36;6.489
1994-11-16;-6.567;1.359;6.482
1994-11-17;-6.564;1.358;6.47
1994-11-18;-6.559;1.357;6.459
1994-11-19;-6.557;1.356;6.446
1994-11-20;-6.552;1.355;6.436
1994-11-21;-6.549;1.354;6.429
1994-11-22;-6.547;1.353;6.416
1994-11-23;-6.543;1.352;6.403
1994-11-24;-6.54;1.351;6.397
1994-11-25;-6.536;1.35;6.39
1994-11-26;-6.532;1.349;6.382
1994-11-27;-6.528;1.348;6.37
1994-11-28;-6.526;1.347;6.359
1994-11-29;-6.524;1.346;6.349
1994-11-30;-6.52;1.345;6.339
1994-12-01;-6.516;1.344;6.324
1994-12-02;-6.513;1.343;6.31
1994-12-03;-6.511;1.342;6.298
1994-12-04;-6.508;1.341;6.292
1994-12-05;-6.503;1.34;6.279
1994-12-06;-6.5;1.339;6.271
1994-12-07;-6.497;1.337;6.258
1994-12-08;-6.494;1.336;6.246
1994-12-09;-6.49;1.335;6.234
1994-12-10;-6.486;1.334;6.228
1994-12-11;-6.483;1.333;6.221
1994-12-12;-6.481;1.333;6.211
1994-12-13;-6.477;1.331;6.206
1994-12-14;-6.474;1.33;6.193
1994-12-15;-6.472;1.329;6.182
1994-12-16;-6.469;1.328;6.17
1994-12-17;-6.466;1.328;6.16
1994-12-18;-6.462;1.326;6.151
1994-12-19;-6.459;1.325;6.14
1994-12-20;-6.457;1.325;6.132
1994-12-21;-6.454;1.324;6.121
1994-12-22;-6.452;1.322;6.106
1994-12-23;-6.448;1.322;6.098
1994-12-24;-6.445;1.32;6.092
1994-12-25;-6.443;1.319;6.087
1994-12-26;-6.441;1.318;6.078
1994-12-27;-6.438;1.318;6.064
1994-12-28;-6.434;1.316;6.051
1994-12-29;-6.432;1.316;6.045
1994-12-30;-6.429;1.315;6.04
1994-12-31;-6.426;1.314;6.029
1995-01-01;-6.423;1.313;6.023
1995-01-02;-6.419;1.312;6.017
1995-01-03;-6.416;1.311;6.007
1995-01-04;-6.414;1.31;6.0
1995-01-05;-6.411;1.31;5.995
1995-01-06;-6.409;1.309;5.983
1995-01-07;-6.407;1.308;5.968
1995-01-08;-6.403;1.307;5.961
1995-01-09;-6.401;1.306;5.953
1995-01-10;-6.398;1.305;5.946
1995-01-11;-6.395;1.303;5.936
1995-01-12;-6.393;1.303;5.928
1995-01-13;-6.391;1.302;5.922
1995-01-14;-6.39;1.301;5.909
1995-01-15;-6.387;1.3;5.897
1995-01-16;-6.384;1.299;5.883
1995-01-17;-6.382;1.298;5.871
1995-01-18;-6.38;1.296;5.861
1995-01-19;-6.376;1.295;5.852
1995-01-20;-6.374;1.294;5.841
1995-01-21;-6.371;1.293;5.835
1995-01-22;-6.368;1.292;5.823
1995-01-23;-6.367;1.291;5.816
1995-01-24;-6.365;1.29;5.806
1995-01-25;-6.363;1.289;5.8
1995-01-26;-6.361;1.288;5.786
1995-01-27;-6.357;1.287;5.772
1995-01-28;-6.355;1.286;5.76
1995-01-29;-6.352;1.286;5.747
1995-01-30;-6.348;1.284;5.735
1995-01-31;-6.345;1.283;5.721
1995-02-01;-6.343;1.282;5.714
1995-02-02;-6.341;1.281;5.706
1995-02-03;-6.338;1.28;5.7
1995-02-04;-6.336;1.279;5.689
1995-02-05;-6.334;1.278;5.683
