# label : secret experiment #3760
# x : elapsed time
# y : intensity
#y2 y5 time y3 y6 y4 y1
0.161 0.7952 0.01 0.3901 0.5221 0.5717 0.4794
0.3792 1.0402 0.02 0.8156 0.9783 1.0659 0.9669
0.5517 0.7303 0.03 1.009 1.1139 1.1569 1.2161
0.7403 0.1243 0.04 1.2034 0.836 0.9988 1.1304
0.8297 -0.5135 0.05 1.5396 0.5092 0.5307 0.8782
0.8982 -0.768 0.06 1.4894 -0.0465 0.0911 0.4684
1.1475 -0.3672 0.07 1.227 -0.5324 -0.339 0.0456
1.3071 0.4213 0.08 1.0371 -0.6378 -0.6468 -0.328
1.3824 1.2426 0.09 0.9881 -0.6367 -0.5552 -0.5216
1.3875 1.369 0.1 0.633 -0.2294 -0.2182 -0.4849
1.3172 1.0272 0.11 0.4128 0.3554 0.3078 -0.2323
1.4204 0.3478 0.12 0.2206 0.9821 0.8866 0.2083
1.4427 -0.2502 0.13 0.1362 1.4139 1.4778 0.7107
1.3817 -0.4296 0.14 0.1402 1.4499 1.6203 1.247
1.4148 0.045 0.15 0.2539 1.2016 1.5637 1.5295
1.5178 0.7881 0.16 0.449 0.9016 1.3369 1.6402
1.3046 1.5848 0.17 0.7871 0.37 0.7707 1.5627
1.285 1.5828 0.18 1.1143 -0.0936 0.2391 1.2991
1.2226 1.2082 0.19 1.6296 -0.3013 -0.0681 0.851
1.239 0.6027 0.2 1.8395 -0.2751 -0.141 0.4583
1.0523 -0.0195 0.21 2.4333 0.0774 0.0906 0.1531
0.9423 -0.0888 0.22 2.5874 0.6188 0.5198 -0.0156
0.9605 0.445 0.23 2.5412 1.2206 1.253 0.0504
0.8232 1.1407 0.24 2.4318 1.6377 1.7489 0.3328
0.6617 2.0606 0.25 2.6607 1.7259 1.8578 0.8122
0.5731 1.7882 0.26 2.1768 1.5823 2.1838 1.3824
0.5831 1.6348 0.27 2.2301 1.3703 1.6676 1.9288
0.4291 0.8281 0.28 1.8569 0.7864 1.4583 1.9309
0.3684 0.2382 0.29 1.5791 0.2775 0.7693 2.3022
0.335 0.2423 0.3 1.1271 0.0038 0.4669 2.0888
0.303 0.7639 0.31 0.9639 0.0289 0.2796 1.4689
0.257 1.6524 0.32 0.8299 0.375 0.4038 1.1412
0.2383 2.1184 0.33 0.7521 0.8781 0.7841 0.754
0.2898 2.2552 0.34 0.7855 1.4462 1.3616 0.3485
0.3147 1.757 0.35 1.0514 1.9175 1.7691 0.2428
0.3744 0.9141 0.36 1.1854 2.1292 2.3049 0.3772
0.4117 0.431 0.37 1.4551 2.1565 2.6022 0.6045
0.4976 0.5269 0.38 1.8123 1.7253 2.3759 1.1374
0.5995 1.1484 0.39 2.1178 1.0001 1.8092 1.5102
0.6621 2.1072 0.4 2.1974 0.5646 1.2265 1.8855
0.8448 2.2412 0.41 2.6911 0.279 0.8565 2.225
0.9669 2.3453 0.42 2.5266 0.2637 0.5719 2.2146
1.0816 1.9071 0.43 2.5704 0.5739 0.6711 2.1538
1.2319 1.0178 0.44 2.2325 0.9632 0.8969 1.6958
1.5296 0.5661 0.45 2.1019 1.7542 1.3901 1.1347
1.4314 0.7785 0.46 1.7133 2.2187 2.1188 0.6289
1.6556 1.4875 0.47 1.361 2.4637 2.3329 0.3153
1.8613 2.1641 0.48 0.9472 2.0887 2.6026 0.2125
2.0498 2.748 0.49 0.5742 1.7065 2.5366 0.3361
2.0103 2.5634 0.5 0.2621 1.2246 2.2619 0.7533
2.4041 1.8725 0.51 0.1086 0.8928 1.743 1.0834
2.5683 1.2371 0.52 0.0636 0.4722 1.1621 1.7304
2.4034 0.7045 0.53 0.0973 0.415 0.7815 1.8401
2.5528 0.9798 0.54 0.2253 0.6325 0.71 2.2202
2.6294 1.793 0.55 0.5124 1.2499 0.9824 2.0643
2.7073 2.4843 0.56 0.8026 1.7252 1.5174 1.7312
2.6911 3.0147 0.57 0.9705 2.2728 1.8861 1.1673
2.6496 2.7205 0.58 1.139 2.3786 2.3228 0.7688
2.6413 2.0121 0.59 1.5301 2.4021 2.938 0.3001
2.8313 1.2304 0.6 1.3756 1.8765 2.5051 0.0069
2.9885 0.9483 0.61 1.4037 1.3557 2.4568 -0.0556
2.9075 1.2187 0.62 1.2625 0.9658 1.8206 0.1241
2.4508 1.9997 0.63 1.1904 0.5878 1.6178 0.4554
2.4636 2.4158 0.64 0.7969 0.5221 1.0616 0.8249
2.5715 3.0717 0.65 0.4633 0.7718 0.8888 1.3868
2.6107 2.8508 0.66 0.0531 1.1641 0.9383 1.6969
2.3731 1.7797 0.67 -0.2867 1.8817 1.2188 1.6622
2.2921 1.218 0.68 -0.6221 2.1858 1.6932 1.6877
1.8689 0.9397 0.69 -0.9001 2.4175 2.5115 1.2261
1.9789 1.2067 0.7 -1.0642 2.6235 2.5142 0.7013
1.7551 2.2023 0.71 -0.9781 2.1323 2.6255 0.2038
1.536 2.5654 0.72 -0.9736 1.5357 2.5792 -0.2294
1.4339 2.8776 0.73 -0.7484 0.9309 2.2411 -0.4272
1.3044 2.6124 0.74 -0.4617 0.6954 1.7643 -0.5058
1.2663 1.842 0.75 -0.1998 0.4671 1.1276 -0.2764
1.1033 1.088 0.76 0.1077 0.708 0.871 0.1128
1.042 0.9916 0.77 0.385 1.2308 0.8243 0.62
1.0346 1.2445 0.78 0.5911 1.6408 1.0024 0.932
1.0897 2.1423 0.79 0.6503 2.0324 1.6267 1.1997
0.9731 2.7087 0.8 0.641 2.4283 2.0987 1.1429
1.0367 2.8826 0.81 0.4964 2.649 2.2143 1.0612
1.0588 2.4206 0.82 0.3186 2.1338 2.5357 0.6268
0.9952 1.597 0.83 0.0355 1.695 2.6613 0.1546
0.9817 0.9743 0.84 -0.3104 0.9133 2.0486 -0.3337
1.1629 0.9266 0.85 -0.5758 0.6308 1.5873 -0.6809
1.1565 1.4163 0.86 -0.9881 0.4217 1.1785 -0.9701
1.411 2.2116 0.87 -1.2233 0.6112 0.64 -0.9004
1.4127 2.942 0.88 -1.4013 0.9635 0.5134 -0.6254
1.414 2.6427 0.89 -1.4064 1.5345 0.6686 -0.1988
1.6523 2.269 0.9 -1.3813 1.9304 1.0843 0.274
1.6384 1.5262 0.91 -1.1487 2.2912 1.6107 0.6148
1.935 0.8686 0.92 -0.8953 2.1559 2.0045 0.9387
2.0673 0.7935 0.93 -0.635 2.0063 2.5438 0.8723
1.9227 1.4072 0.94 -0.2569 1.523 2.2866 0.647
2.4002 1.947 0.95 0.0953 0.9946 2.1138 0.2018
2.2158 2.8931 0.96 0.4138 0.4297 1.7054 -0.311
2.4455 2.3951 0.97 0.6559 0.2781 1.0592 -0.7113
2.5427 2.0945 0.98 0.6896 0.4101 0.5217 -1.1985
2.3518 1.3698 0.99 0.6686 0.7593 0.27 -1.2079
2.6057 0.6705 1.0 0.6418 1.3615 0.3383 -1.1251
2.4946 0.7421 1.01 0.4809 1.8434 0.6553 -0.7437
2.5592 1.3381 1.02 0.1791 1.954 1.0538 -0.313
2.9885 2.0743 1.03 -0.1189 1.9381 1.6219 0.1436
2.5917 2.3038 1.04 -0.3974 1.9076 2.1754 0.5147
2.6172 2.3144 1.05 -0.7094 1.4158 2.2646 0.7118
2.558 1.6065 1.06 -0.8907 0.8108 1.9773 0.7148
2.7202 1.0268 1.07 -0.8982 0.3228 1.3736 0.4099
2.5051 0.4516 1.08 -1.0183 0.0746 0.8339 -0.0444
2.2015 0.5206 1.09 -0.9408 0.1746 0.3478 -0.48
2.4807 1.1195 1.1 -0.7246 0.4771 -0.0085 -1.0363
2.3474 1.8934 1.11 -0.3909 1.0805 -0.0704 -1.1165
1.8202 2.2034 1.12 -0.0203 1.4906 0.1827 -1.257
2.0014 2.114 1.13 0.3323 2.0579 0.5627 -1.0066
1.7871 1.5532 1.14 0.6905 1.8797 1.2052 -0.7164
1.6441 0.7164 1.15 1.0155 1.5099 1.498 -0.1975
1.2762 0.2556 1.16 1.2077 1.2699 1.677 0.2983
1.1908 0.3994 1.17 1.1357 0.6455 1.7538 0.6228
1.0532 1.0827 1.18 1.1046 0.1037 1.2513 0.8857
0.8937 1.7274 1.19 1.0665 -0.1608 0.6312 0.709
0.6962 2.094 1.2 0.7956 -0.0953 0.1357 0.4692
0.6582 1.7209 1.21 0.5176 0.2201 -0.2672 0.017
0.5087 1.0969 1.22 0.2155 0.7957 -0.4392 -0.4504
0.3605 0.3484 1.23 -0.0846 1.1882 -0.3098 -0.8468
