# label : secret experiment #5504
# x : time signal
#time y4 y1 y2 y3
0.01 0.1683 0.204 0.408 0.3272
0.02 0.3463 0.4039 0.7316 0.5792
0.03 0.5579 0.5853 1.1563 0.9085
0.04 0.6752 0.8932 1.2496 0.9586
0.05 0.8669 0.9355 1.1256 1.1518
0.06 1.0648 1.0895 0.9465 1.2125
0.07 1.0549 1.2748 0.8 1.1228
0.08 1.3019 1.5095 0.4053 0.9845
0.09 1.3022 1.5211 0.0779 0.6325
0.1 1.472 1.7602 -0.1953 0.4321
0.11 1.4971 1.9642 -0.3381 0.1924
0.12 1.7765 1.9555 -0.4296 -0.0739
0.13 1.5336 2.0912 -0.2654 -0.2725
0.14 1.7952 2.0524 -0.0254 -0.4745
0.15 1.8213 2.0516 0.3627 -0.4842
0.16 1.9364 1.9917 0.8297 -0.5387
0.17 1.5851 2.0621 1.1647 -0.4254
0.18 1.75 1.8666 1.6372 -0.2482
0.19 1.8613 1.965 1.9393 0.0055
0.2 1.6206 1.6272 1.9427 0.3312
0.21 1.4647 1.6396 2.1102 0.6003
0.22 1.5086 1.6461 1.7691 1.0324
0.23 1.3474 1.5517 1.5522 1.1341
0.24 1.371 1.3534 1.2742 1.524
0.25 1.2647 1.278 0.8393 1.5475
0.26 1.0703 1.2446 0.5198 1.6359
0.27 0.9828 1.1573 0.3257 1.8579
0.28 1.0325 1.0645 0.2706 1.6782
0.29 0.7773 1.0135 0.3879 1.4632
0.3 0.6956 0.9566 0.6097 1.2361
0.31 0.6157 0.8668 0.9968 1.0554
0.32 0.5123 0.9078 1.2893 0.6986
0.33 0.4437 0.8927 1.9856 0.4533
0.34 0.4331 0.9085 2.0925 0.2637
0.35 0.327 0.8832 2.3707 0.1236
0.36 0.288 0.847 2.7165 0.0332
0.37 0.2778 0.9735 2.6452 0.037
0.38 0.2411 1.0472 2.5717 0.1431
0.39 0.2019 1.0477 1.9183 0.3214
0.4 0.1963 1.1719 1.5991 0.5524
0.41 0.2145 1.4151 1.3882 0.8626
0.42 0.2387 1.4347 1.0646 1.087
0.43 0.2459 1.7214 0.8644 1.3701
0.44 0.3039 1.742 0.8125 1.8329
0.45 0.3741 1.8112 0.8637 2.1859
0.46 0.4346 1.8622 1.1057 2.2615
0.47 0.4348 1.9246 1.2639 2.3913
0.48 0.5811 2.1107 1.702 2.1632
0.49 0.6885 2.1684 2.0163 2.1795
0.5 0.7007 2.5222 2.41 2.0377
0.51 0.814 2.6177 2.62 1.7271
0.52 0.9628 2.6373 2.8189 1.5459
0.53 1.0147 2.7254 2.6753 1.1031
0.54 1.079 2.4403 2.5552 0.9507
0.55 1.0919 2.5532 2.427 0.7307
0.56 1.2908 2.4844 2.0171 0.5205
0.57 1.1719 2.4191 1.6116 0.4193
0.58 1.4086 2.4542 1.1911 0.4108
0.59 1.3422 2.6527 0.96 0.5549
0.6 1.4318 2.2285 0.9329 0.7505
0.61 1.504 2.4324 0.9877 0.8613
0.62 1.4052 2.3207 1.1544 1.1901
0.63 1.3728 1.9207 1.5191 1.4437
0.64 1.2686 2.1082 1.8238 1.7737
0.65 1.4372 1.8029 2.3891 1.9979
0.66 1.3496 1.7282 2.4877 2.2835
0.67 1.3308 1.3314 2.6017 2.5534
0.68 1.0723 1.2648 3.1095 2.6806
0.69 1.0907 1.0328 2.7678 2.4057
0.7 0.9561 0.9016 2.5801 2.3267
0.71 0.776 0.6621 2.2926 2.267
0.72 0.7126 0.4795 1.7854 1.9218
0.73 0.5947 0.2657 1.4695 1.7828
0.74 0.5037 0.0836 1.222 1.4373
0.75 0.3436 -0.0774 0.8829 1.1642
0.76 0.1555 -0.2374 0.849 0.8579
0.77 0.0172 -0.3807 0.8024 0.7125
0.78 -0.1462 -0.494 0.9944 0.7218
0.79 -0.2821 -0.5303 1.3471 0.642
0.8 -0.4389 -0.6111 1.7188 0.692
0.81 -0.5966 -0.7404 2.012 0.8378
0.82 -0.7254 -0.8526 2.2257 1.0975
0.83 -0.8694 -0.7621 2.2851 1.5214
0.84 -0.8884 -0.778 2.7634 1.849
0.85 -1.0489 -0.8511 2.7157 2.0661
0.86 -1.1437 -0.8406 2.1635 2.3389
0.87 -1.3443 -0.7515 2.1129 2.5541
0.88 -1.3524 -0.715 1.6421 2.6695
0.89 -1.2884 -0.6484 1.1036 2.7158
0.9 -1.4899 -0.5375 0.8128 2.4576
0.91 -1.2572 -0.5016 0.4646 2.6371
0.92 -1.2358 -0.3984 0.3629 2.3194
0.93 -1.3608 -0.3398 0.3481 1.9783
0.94 -1.2013 -0.2884 0.4713 1.8824
0.95 -1.3405 -0.2218 0.7871 1.5152
0.96 -1.2777 -0.1821 1.0127 1.2904
0.97 -1.1903 -0.1283 1.4147 0.8906
0.98 -0.932 -0.0827 1.9069 0.7153
0.99 -0.9591 -0.0542 1.928 0.6936
1.0 -0.7251 -0.0416 2.2123 0.6115
1.01 -0.6581 -0.0519 1.9911 0.7148
1.02 -0.5118 -0.073 1.5891 0.7974
1.03 -0.3476 -0.0993 1.454 1.176
1.04 -0.207 -0.1439 0.9678 1.2877
1.05 -0.064 -0.2109 0.6384 1.604
1.06 0.0869 -0.3204 0.1917 1.8222
1.07 0.2411 -0.427 -0.1079 2.2816
1.08 0.4032 -0.4918 -0.2725 2.347
1.09 0.4909 -0.6384 -0.3068 2.2641
1.1 0.7119 -0.8033 -0.1721 2.5355
1.11 0.7332 -0.8818 0.0738 2.5396
1.12 0.8395 -1.0472 0.3845 2.3379
1.13 1.0111 -1.3904 0.703 1.9658
1.14 1.1315 -1.2919 1.0249 1.9117
1.15 1.1273 -1.5299 1.2884 1.5838
1.16 1.3725 -1.672 1.2833 1.3028
1.17 1.2551 -2.039 1.3592 1.016
1.18 1.454 -2.0869 1.0648 0.8128
1.19 1.4196 -2.231 0.7579 0.5706
1.2 1.3409 -2.1787 0.3455 0.4501
1.21 1.5167 -2.3957 -0.0964 0.4521
1.22 1.5076 -2.6745 -0.5389 0.5245
1.23 1.2411 -2.7938 -0.7398 0.5802
1.24 1.2507 -2.8396 -1.0132 0.9193
1.25 1.2063 -2.7342 -0.9077 1.1887
1.26 1.1761 -2.7277 -0.9165 1.3875
1.27 1.2303 -2.5604 -0.6281 1.8085
1.28 1.2224 -2.387 -0.3518 1.7326
1.29 0.9858 -2.8107 0.0186 2.3063
1.3 1.0781 -2.6913 0.3405 2.3315
1.31 0.8823 -2.4327 0.5129 2.4667
1.32 0.8322 -2.4516 0.6993 2.0534
1.33 0.7825 -1.967 0.5812 2.0002
1.34 0.7695 -2.1388 0.4085 1.7726
1.35 0.7589 -2.0444 0.0738 1.5185
1.36 0.7084 -1.8246 -0.2992 1.2961
1.37 0.6053 -1.6006 -0.7998 0.8814
1.38 0.6035 -1.4962 -1.0715 0.7031
1.39 0.5269 -1.3324 -1.3762 0.3951
1.4 0.5483 -0.9908 -1.7397 0.1944
