# y : intensity
#y4 y2 y1 y5 time y3
0.9867 0.2943 0.2494 0.9579 0.01 0.3099
1.4101 0.6556 0.5443 0.9209 0.02 0.6376
1.1716 0.8746 0.7531 0.0652 0.03 0.9662
0.5864 1.2534 1.0731 -0.7445 0.04 1.2947
0.07 1.4801 1.338 -0.6817 0.05 1.4334
0.1466 1.6494 1.5645 0.2771 0.06 1.8087
0.8387 1.701 1.5852 1.2061 0.07 1.6614
1.542 1.7559 1.7658 1.0411 0.08 1.949
2.3038 2.0068 1.8491 0.2266 0.09 1.743
1.8894 1.8962 1.9308 -0.5915 0.1 1.8579
1.2958 1.9384 2.0995 -0.4253 0.11 1.7152
0.3764 1.9443 1.8581 0.5398 0.12 1.6408
-0.1092 2.0814 1.8159 1.465 0.13 1.3302
0.0773 1.7025 2.1133 1.2 0.14 1.1968
0.7168 1.5915 2.025 0.3748 0.15 1.0396
1.2788 1.597 1.6855 -0.4061 0.16 1.0007
1.2469 1.2789 1.7002 -0.2267 0.17 0.8001
0.5212 1.0071 1.6253 0.7815 0.18 0.796
-0.4212 0.8509 1.1805 1.6762 0.19 0.8251
-1.0838 0.5343 1.1437 1.4307 0.2 0.8654
-1.2302 0.3413 0.9194 0.503 0.21 0.9315
-0.6006 0.122 0.6982 -0.2644 0.22 1.0412
0.1377 -0.0927 0.4763 0.0134 0.23 1.1522
0.5619 -0.267 0.2294 0.9662 0.24 1.3808
0.3245 -0.4782 0.0338 1.6104 0.25 1.4831
-0.2874 -0.5535 -0.1729 1.5471 0.26 1.9194
-1.0487 -0.7728 -0.351 0.5286 0.27 1.9176
-1.0594 -0.8215 -0.5722 -0.0873 0.28 2.0972
-0.4613 -0.9034 -0.66 0.2404 0.29 2.6617
0.5104 -0.9084 -0.8328 1.2676 0.3 2.3973
1.2269 -0.8975 -0.8851 2.1064 0.31 2.8167
1.5232 -0.7597 -0.9844 1.7941 0.32 2.8038
1.311 -0.7459 -1.1834 0.7035 0.33 3.0054
