# x : time signal
# y : intensity
#y1 y2 time y3
0.1593 0.2691 0.01 0.283
0.3685 0.4704 0.02 0.5569
0.5057 0.7594 0.03 0.7071
0.6787 0.9889 0.04 0.887
0.7748 1.0827 0.05 1.1962
0.9374 1.3845 0.06 1.3361
1.0397 1.3207 0.07 1.3159
1.2446 1.6069 0.08 1.6015
1.2509 1.5812 0.09 1.5265
1.3622 1.6859 0.1 1.6106
1.5196 1.5703 0.11 1.3396
1.798 1.642 0.12 1.2103
1.6043 1.537 0.13 1.2137
1.8851 1.3418 0.14 1.0067
2.0161 1.3271 0.15 0.9071
2.0397 1.2146 0.16 0.8102
2.1227 1.013 0.17 0.5636
1.8864 0.9616 0.18 0.4268
1.9585 0.753 0.19 0.3662
1.9416 0.6311 0.2 0.2394
2.1512 0.5664 0.21 0.1618
1.8839 0.4666 0.22 0.1544
1.9128 0.3985 0.23 0.1539
1.6906 0.3753 0.24 0.1771
1.716 0.3908 0.25 0.2794
1.5661 0.4484 0.26 0.3841
1.7831 0.4864 0.27 0.5736
1.5358 0.5875 0.28 0.6893
1.3738 0.751 0.29 0.8545
1.5199 0.9738 0.3 1.0285
1.2838 1.1426 0.31 1.3027
1.1957 1.2197 0.32 1.5258
1.2002 1.3824 0.33 1.7107
0.9731 1.6111 0.34 1.7983
1.0355 1.8197 0.35 2.0371
0.8653 2.2329 0.36 1.9841
0.7597 2.1082 0.37 2.2943
0.715 2.0922 0.38 2.3935
0.6112 2.5009 0.39 2.327
0.5848 2.3371 0.4 2.0694
0.5703 2.3154 0.41 2.2614
0.568 2.512 0.42 1.8878
0.4909 2.3789 0.43 1.8199
0.4195 2.225 0.44 1.6269
0.4141 2.2384 0.45 1.4088
0.4299 1.9604 0.46 1.2387
0.4208 2.1188 0.47 0.8836
0.5048 1.7347 0.48 0.7788
0.4577 1.6922 0.49 0.4741
0.552 1.3041 0.5 0.3014
0.5934 1.005 0.51 0.1607
0.5897 0.8439 0.52 0.0262
0.5999 0.727 0.53 -0.0655
0.6851 0.5168 0.54 -0.1377
0.7942 0.3137 0.55 -0.1372
0.7504 0.193 0.56 -0.1221
0.9168 0.0667 0.57 -0.0749
0.9539 -0.0083 0.58 0.0169
0.9769 -0.0577 0.59 0.1443
1.0493 -0.0643 0.6 0.2864
1.088 -0.0394 0.61 0.4031
1.1246 0.0177 0.62 0.5481
1.2648 0.0963 0.63 0.6753
1.2584 0.1922 0.64 0.8496
1.5273 0.3301 0.65 0.9277
1.5734 0.4643 0.66 1.1567
1.3208 0.5803 0.67 1.2839
1.6012 0.8277 0.68 1.2074
1.4021 0.922 0.69 1.2861
1.6634 1.0114 0.7 1.1001
1.41 1.2001 0.71 1.1817
