#Atlantis NPP, unit 6
#date;bc;ao;fha
03/05/1982;5.592;-6.749;1.332
03/06/1982;5.584;-6.739;1.332
03/07/1982;5.57;-6.732;1.33
03/08/1982;5.557;-6.726;1.33
03/09/1982;5.55;-6.719;1.328
03/10/1982;5.541;-6.714;1.327
03/11/1982;5.526;-6.707;1.326
03/12/1982;5.514;-6.701;1.325
03/13/1982;5.5;-6.697;1.325
03/14/1982;5.486;-6.689;1.324
03/15/1982;5.476;-6.686;1.322
03/16/1982;5.467;-6.681;1.322
03/17/1982;5.453;-6.675;1.321
03/18/1982;5.448;-6.669;1.32
03/19/1982;5.434;-6.663;1.318
03/20/1982;5.424;-6.66;1.317
03/21/1982;5.416;-6.656;1.316
03/22/1982;5.408;-6.651;1.315
03/23/1982;5.397;-6.647;1.314
03/24/1982;5.391;-6.641;1.312
03/25/1982;5.381;-6.635;1.312
03/26/1982;5.371;-6.63;1.311
03/27/1982;5.357;-6.625;1.31
03/28/1982;5.349;-6.623;1.308
03/29/1982;5.338;-6.619;1.307
03/30/1982;5.328;-6.617;1.306
03/31/1982;5.317;-6.614;1.305
04/01/1982;5.304;-6.612;1.305
04/02/1982;5.295;-6.608;1.304
04/03/1982;5.287;-6.603;1.303
04/04/1982;5.274;-6.6;1.302
04/05/1982;5.269;-6.594;1.3
04/06/1982;5.255;-6.591;1.299
04/07/1982;5.242;-6.589;1.298
04/08/1982;5.235;-6.587;1.296
04/09/1982;5.226;-6.582;1.296
04/10/1982;5.212;-6.58;1.294
04/11/1982;5.205;-6.575;1.293
04/12/1982;5.197;-6.571;1.293
04/13/1982;5.187;-6.569;1.291
04/14/1982;5.172;-6.566;1.29
04/15/1982;5.165;-6.562;1.289
04/16/1982;5.159;-6.56;1.288
04/17/1982;5.151;-6.556;1.287
04/18/1982;5.143;-6.554;1.285
04/19/1982;5.129;-6.552;1.284
04/20/1982;5.123;-6.548;1.283
04/21/1982;5.118;-6.545;1.283
04/22/1982;5.109;-6.54;1.282
04/23/1982;5.099;-6.537;1.28
04/24/1982;5.085;-6.533;1.279
04/25/1982;5.075;-6.529;1.279
04/26/1982;5.065;-6.524;1.277
04/27/1982;5.06;-6.522;1.277
04/28/1982;5.045;-6.52;1.276
04/29/1982;5.033;-6.517;1.274
04/30/1982;5.022;-6.515;1.273
05/01/1982;5.013;-6.514;1.271
05/02/1982;4.999;-6.511;1.27
05/03/1982;4.99;-6.509;1.269
05/04/1982;4.985;-6.506;1.269
05/05/1982;4.971;-6.504;1.267
05/06/1982;4.957;-6.5;1.267
05/07/1982;4.952;-6.499;1.265
05/08/1982;4.942;-6.497;1.265
05/09/1982;4.931;-6.495;1.264
05/10/1982;4.926;-6.491;1.262
05/11/1982;4.914;-6.488;1.262
05/12/1982;4.908;-6.486;1.261
05/13/1982;4.897;-6.482;1.259
05/14/1982;4.885;-6.478;1.258
05/15/1982;4.872;-6.477;1.257
05/16/1982;4.863;-6.474;1.255
05/17/1982;4.849;-6.47;1.254
05/18/1982;4.837;-6.468;1.253
05/19/1982;4.83;-6.465;1.252
05/20/1982;4.815;-6.463;1.251
05/21/1982;4.803;-6.459;1.251
05/22/1982;4.793;-6.456;1.25
05/23/1982;4.787;-6.453;1.249
05/24/1982;4.777;-6.45;1.249
05/25/1982;4.768;-6.449;1.248
05/26/1982;4.762;-6.447;1.247
05/27/1982;4.747;-6.443;1.246
05/28/1982;4.74;-6.441;1.245
05/29/1982;4.734;-6.437;1.244
