#CandyMountain NPP, unit 7
#date;ao;fha;bc
07/14/1999;-6.477;1.445;5.236
07/15/1999;-6.471;1.444;5.223
07/16/1999;-6.464;1.443;5.209
07/17/1999;-6.454;1.442;5.199
07/18/1999;-6.449;1.441;5.188
07/19/1999;-6.443;1.44;5.18
07/20/1999;-6.437;1.44;5.172
07/21/1999;-6.434;1.439;5.165
07/22/1999;-6.428;1.438;5.157
07/23/1999;-6.421;1.437;5.146
07/24/1999;-6.414;1.436;5.133
07/25/1999;-6.411;1.436;5.122
07/26/1999;-6.405;1.434;5.108
07/27/1999;-6.402;1.433;5.094
07/28/1999;-6.398;1.432;5.089
07/29/1999;-6.393;1.431;5.075
07/30/1999;-6.387;1.43;5.065
07/31/1999;-6.382;1.428;5.054
08/01/1999;-6.377;1.427;5.047
08/02/1999;-6.372;1.427;5.033
08/03/1999;-6.368;1.426;5.018
08/04/1999;-6.365;1.424;5.011
08/05/1999;-6.359;1.423;4.997
08/06/1999;-6.356;1.422;4.991
08/07/1999;-6.353;1.422;4.98
08/08/1999;-6.35;1.421;4.969
08/09/1999;-6.347;1.419;4.958
08/10/1999;-6.345;1.418;4.943
08/11/1999;-6.342;1.417;4.936
08/12/1999;-6.337;1.416;4.929
08/13/1999;-6.334;1.414;4.915
08/14/1999;-6.331;1.413;4.909
08/15/1999;-6.326;1.413;4.901
08/16/1999;-6.324;1.412;4.896
08/17/1999;-6.321;1.411;4.882
08/18/1999;-6.317;1.41;4.871
08/19/1999;-6.313;1.409;4.864
08/20/1999;-6.31;1.407;4.851
08/21/1999;-6.308;1.407;4.845
08/22/1999;-6.303;1.406;4.833
08/23/1999;-6.301;1.405;4.818
08/24/1999;-6.297;1.404;4.808
08/25/1999;-6.293;1.404;4.8
08/26/1999;-6.29;1.403;4.788
08/27/1999;-6.288;1.402;4.773
08/28/1999;-6.285;1.401;4.759
08/29/1999;-6.282;1.4;4.75
08/30/1999;-6.28;1.399;4.738
08/31/1999;-6.276;1.398;4.724
09/01/1999;-6.274;1.397;4.712
09/02/1999;-6.271;1.397;4.705
09/03/1999;-6.269;1.396;4.699
09/04/1999;-6.266;1.396;4.686
09/05/1999;-6.261;1.395;4.676
09/06/1999;-6.258;1.393;4.663
09/07/1999;-6.256;1.392;4.652
09/08/1999;-6.252;1.39;4.639
09/09/1999;-6.25;1.389;4.631
09/10/1999;-6.246;1.388;4.623
09/11/1999;-6.243;1.387;4.617
09/12/1999;-6.241;1.386;4.609
09/13/1999;-6.237;1.385;4.594
09/14/1999;-6.234;1.383;4.588
09/15/1999;-6.233;1.382;4.575
09/16/1999;-6.229;1.382;4.568
09/17/1999;-6.227;1.381;4.557
09/18/1999;-6.225;1.38;4.545
09/19/1999;-6.222;1.379;4.539
09/20/1999;-6.219;1.378;4.532
09/21/1999;-6.216;1.377;4.524
09/22/1999;-6.214;1.376;4.511
09/23/1999;-6.21;1.375;4.498
09/24/1999;-6.208;1.373;4.491
09/25/1999;-6.205;1.372;4.481
09/26/1999;-6.203;1.371;4.469
09/27/1999;-6.199;1.37;4.463
09/28/1999;-6.197;1.369;4.449
09/29/1999;-6.195;1.369;4.441
09/30/1999;-6.191;1.368;4.431
10/01/1999;-6.189;1.367;4.422
10/02/1999;-6.187;1.367;4.414
10/03/1999;-6.184;1.366;4.406
10/04/1999;-6.181;1.366;4.397
10/05/1999;-6.178;1.365;4.385
10/06/1999;-6.177;1.364;4.378
10/07/1999;-6.175;1.363;4.364
10/08/1999;-6.172;1.363;4.357
10/09/1999;-6.17;1.362;4.346
10/10/1999;-6.166;1.36;4.34
10/11/1999;-6.164;1.359;4.327
10/12/1999;-6.161;1.358;4.318
10/13/1999;-6.157;1.357;4.307
10/14/1999;-6.155;1.356;4.297
10/15/1999;-6.152;1.355;4.289
10/16/1999;-6.15;1.354;4.279
10/17/1999;-6.147;1.353;4.267
10/18/1999;-6.145;1.351;4.257
10/19/1999;-6.142;1.35;4.25
10/20/1999;-6.14;1.349;4.245
10/21/1999;-6.138;1.348;4.231
10/22/1999;-6.135;1.347;4.216
10/23/1999;-6.132;1.346;4.21
10/24/1999;-6.129;1.345;4.197
10/25/1999;-6.127;1.344;4.187
10/26/1999;-6.126;1.342;4.178
10/27/1999;-6.123;1.342;4.164
10/28/1999;-6.12;1.341;4.156
10/29/1999;-6.118;1.34;4.148
10/30/1999;-6.116;1.339;4.142
10/31/1999;-6.115;1.338;4.128
11/01/1999;-6.114;1.337;4.114
11/02/1999;-6.112;1.337;4.101
11/03/1999;-6.109;1.335;4.089
11/04/1999;-6.107;1.334;4.078
11/05/1999;-6.106;1.333;4.068
11/06/1999;-6.103;1.332;4.061
11/07/1999;-6.101;1.33;4.053
11/08/1999;-6.099;1.329;4.044
11/09/1999;-6.097;1.329;4.03
11/10/1999;-6.095;1.328;4.023
11/11/1999;-6.093;1.327;4.01
11/12/1999;-6.09;1.326;3.998
11/13/1999;-6.088;1.324;3.984
11/14/1999;-6.086;1.324;3.971
11/15/1999;-6.084;1.323;3.959
11/16/1999;-6.082;1.322;3.951
11/17/1999;-6.08;1.321;3.94
11/18/1999;-6.077;1.32;3.926
11/19/1999;-6.075;1.319;3.916
11/20/1999;-6.073;1.317;3.903
11/21/1999;-6.07;1.317;3.889
11/22/1999;-6.067;1.316;3.882
11/23/1999;-6.064;1.315;3.871
11/24/1999;-6.062;1.314;3.86
11/25/1999;-6.06;1.313;3.848
11/26/1999;-6.057;1.312;3.838
11/27/1999;-6.056;1.31;3.828
11/28/1999;-6.054;1.31;3.821
11/29/1999;-6.05;1.309;3.808
11/30/1999;-6.049;1.308;3.795
12/01/1999;-6.046;1.308;3.784
12/02/1999;-6.043;1.306;3.774
12/03/1999;-6.04;1.305;3.765
12/04/1999;-6.038;1.303;3.753
12/05/1999;-6.035;1.302;3.745
12/06/1999;-6.033;1.301;3.736
12/07/1999;-6.032;1.3;3.726
12/08/1999;-6.029;1.299;3.714
12/09/1999;-6.026;1.298;3.706
12/10/1999;-6.024;1.298;3.698
12/11/1999;-6.021;1.297;3.686
12/12/1999;-6.019;1.296;3.675
12/13/1999;-6.016;1.295;3.663
12/14/1999;-6.015;1.295;3.65
12/15/1999;-6.014;1.294;3.636
12/16/1999;-6.012;1.293;3.626
12/17/1999;-6.009;1.292;3.617
12/18/1999;-6.006;1.292;3.606
12/19/1999;-6.004;1.29;3.6
12/20/1999;-6.001;1.289;3.587
12/21/1999;-6.0;1.288;3.58
12/22/1999;-5.999;1.286;3.568
12/23/1999;-5.997;1.285;3.561
12/24/1999;-5.996;1.284;3.554
12/25/1999;-5.993;1.284;3.54
12/26/1999;-5.99;1.283;3.528
12/27/1999;-5.989;1.282;3.52
12/28/1999;-5.986;1.281;3.506
12/29/1999;-5.983;1.28;3.495
12/30/1999;-5.981;1.279;3.48
12/31/1999;-5.979;1.278;3.467
01/01/2000;-5.978;1.278;3.455
01/02/2000;-5.976;1.276;3.448
01/03/2000;-5.973;1.275;3.441
01/04/2000;-5.971;1.274;3.429
01/05/2000;-5.968;1.273;3.416
01/06/2000;-5.966;1.272;3.405
01/07/2000;-5.963;1.272;3.396
01/08/2000;-5.96;1.271;3.388
01/09/2000;-5.959;1.269;3.382
01/10/2000;-5.956;1.268;3.371
01/11/2000;-5.954;1.268;3.363
01/12/2000;-5.952;1.267;3.35
01/13/2000;-5.951;1.265;3.34
01/14/2000;-5.949;1.264;3.333
01/15/2000;-5.947;1.263;3.323
01/16/2000;-5.946;1.262;3.311
