#Disneyland NPP, unit 11
#date;ao;bc;fha
7.7.1989;-5.973;6.248;1.434
8.7.1989;-5.964;6.234;1.433
9.7.1989;-5.959;6.219;1.432
10.7.1989;-5.949;6.208;1.431
11.7.1989;-5.941;6.199;1.43
12.7.1989;-5.934;6.187;1.43
13.7.1989;-5.929;6.172;1.429
14.7.1989;-5.925;6.162;1.428
15.7.1989;-5.917;6.151;1.427
16.7.1989;-5.911;6.146;1.426
17.7.1989;-5.906;6.138;1.424
18.7.1989;-5.902;6.123;1.424
19.7.1989;-5.895;6.112;1.422
20.7.1989;-5.889;6.102;1.422
21.7.1989;-5.885;6.087;1.421
22.7.1989;-5.881;6.08;1.42
23.7.1989;-5.878;6.066;1.419
24.7.1989;-5.873;6.054;1.418
25.7.1989;-5.871;6.043;1.417
26.7.1989;-5.868;6.036;1.416
27.7.1989;-5.866;6.028;1.415
28.7.1989;-5.863;6.021;1.414
29.7.1989;-5.86;6.007;1.414
30.7.1989;-5.855;6.001;1.413
31.7.1989;-5.851;5.989;1.412
1.8.1989;-5.849;5.983;1.411
2.8.1989;-5.844;5.97;1.41
3.8.1989;-5.842;5.965;1.41
4.8.1989;-5.836;5.956;1.408
5.8.1989;-5.834;5.95;1.408
6.8.1989;-5.832;5.94;1.406
7.8.1989;-5.829;5.935;1.406
8.8.1989;-5.824;5.928;1.404
9.8.1989;-5.82;5.914;1.404
10.8.1989;-5.818;5.904;1.402
11.8.1989;-5.816;5.89;1.401
12.8.1989;-5.812;5.885;1.4
13.8.1989;-5.808;5.877;1.399
14.8.1989;-5.806;5.867;1.398
15.8.1989;-5.804;5.854;1.397
16.8.1989;-5.802;5.843;1.397
17.8.1989;-5.798;5.828;1.395
18.8.1989;-5.794;5.816;1.394
19.8.1989;-5.79;5.809;1.393
20.8.1989;-5.786;5.799;1.392
21.8.1989;-5.783;5.786;1.39
22.8.1989;-5.78;5.779;1.389
23.8.1989;-5.777;5.773;1.388
24.8.1989;-5.775;5.765;1.387
25.8.1989;-5.772;5.75;1.386
26.8.1989;-5.768;5.739;1.385
27.8.1989;-5.766;5.724;1.385
28.8.1989;-5.764;5.717;1.384
29.8.1989;-5.761;5.706;1.383
30.8.1989;-5.758;5.691;1.382
31.8.1989;-5.753;5.681;1.381
1.9.1989;-5.749;5.667;1.38
2.9.1989;-5.747;5.655;1.379
3.9.1989;-5.744;5.644;1.378
4.9.1989;-5.742;5.629;1.377
5.9.1989;-5.739;5.617;1.376
6.9.1989;-5.735;5.61;1.375
7.9.1989;-5.731;5.598;1.374
8.9.1989;-5.729;5.588;1.373
9.9.1989;-5.726;5.582;1.371
10.9.1989;-5.723;5.568;1.37
11.9.1989;-5.72;5.559;1.37
