#CandyMountain NPP, unit 11
#date;bc;ao;fha
1.12.1986;5.006;-6.246;1.357
2.12.1986;5.0;-6.236;1.356
3.12.1986;4.99;-6.228;1.354
4.12.1986;4.981;-6.218;1.354
5.12.1986;4.975;-6.209;1.353
6.12.1986;4.961;-6.201;1.352
7.12.1986;4.951;-6.193;1.351
8.12.1986;4.94;-6.188;1.35
9.12.1986;4.933;-6.181;1.349
10.12.1986;4.921;-6.176;1.348
11.12.1986;4.907;-6.171;1.348
12.12.1986;4.898;-6.168;1.346
13.12.1986;4.893;-6.162;1.346
14.12.1986;4.882;-6.158;1.345
15.12.1986;4.871;-6.154;1.344
16.12.1986;4.857;-6.152;1.343
17.12.1986;4.843;-6.148;1.342
18.12.1986;4.828;-6.144;1.34
19.12.1986;4.816;-6.138;1.339
20.12.1986;4.801;-6.133;1.338
21.12.1986;4.792;-6.127;1.337
22.12.1986;4.786;-6.122;1.336
23.12.1986;4.78;-6.116;1.334
24.12.1986;4.774;-6.112;1.333
25.12.1986;4.764;-6.108;1.332
26.12.1986;4.751;-6.106;1.331
27.12.1986;4.742;-6.103;1.33
28.12.1986;4.731;-6.099;1.329
29.12.1986;4.717;-6.096;1.327
30.12.1986;4.711;-6.092;1.327
31.12.1986;4.705;-6.087;1.325
1.1.1987;4.697;-6.083;1.325
2.1.1987;4.683;-6.078;1.324
3.1.1987;4.669;-6.076;1.323
4.1.1987;4.662;-6.073;1.323
5.1.1987;4.652;-6.071;1.322
6.1.1987;4.638;-6.069;1.32
7.1.1987;4.628;-6.066;1.319
8.1.1987;4.616;-6.063;1.318
9.1.1987;4.608;-6.058;1.317
10.1.1987;4.599;-6.055;1.316
11.1.1987;4.589;-6.053;1.315
12.1.1987;4.574;-6.05;1.314
13.1.1987;4.562;-6.046;1.313
14.1.1987;4.551;-6.045;1.312
15.1.1987;4.541;-6.041;1.311
16.1.1987;4.535;-6.038;1.309
17.1.1987;4.527;-6.035;1.308
18.1.1987;4.519;-6.033;1.307
19.1.1987;4.507;-6.029;1.306
20.1.1987;4.496;-6.025;1.305
21.1.1987;4.491;-6.023;1.304
22.1.1987;4.481;-6.019;1.303
23.1.1987;4.468;-6.017;1.302
24.1.1987;4.462;-6.015;1.301
25.1.1987;4.447;-6.012;1.3
26.1.1987;4.437;-6.01;1.298
27.1.1987;4.429;-6.006;1.298
28.1.1987;4.421;-6.003;1.296
29.1.1987;4.415;-6.001;1.296
30.1.1987;4.403;-5.997;1.294
31.1.1987;4.395;-5.996;1.294
