#Atlantis NPP, unit 1
#date;fha;bc;ao
9.12.1983;1.368;6.494;-7.748
10.12.1983;1.367;6.488;-7.741
11.12.1983;1.366;6.474;-7.733
12.12.1983;1.365;6.462;-7.728
13.12.1983;1.363;6.449;-7.723
14.12.1983;1.362;6.435;-7.719
15.12.1983;1.362;6.422;-7.71
16.12.1983;1.361;6.407;-7.706
17.12.1983;1.36;6.399;-7.701
18.12.1983;1.358;6.393;-7.694
19.12.1983;1.358;6.383;-7.687
20.12.1983;1.357;6.377;-7.683
21.12.1983;1.357;6.363;-7.68
22.12.1983;1.356;6.352;-7.673
23.12.1983;1.355;6.341;-7.667
24.12.1983;1.354;6.329;-7.663
25.12.1983;1.354;6.321;-7.659
26.12.1983;1.353;6.307;-7.655
27.12.1983;1.351;6.293;-7.649
28.12.1983;1.35;6.283;-7.647
29.12.1983;1.349;6.278;-7.645
30.12.1983;1.348;6.267;-7.643
31.12.1983;1.347;6.259;-7.639
1.1.1984;1.346;6.249;-7.634
2.1.1984;1.345;6.237;-7.629
3.1.1984;1.344;6.222;-7.624
4.1.1984;1.343;6.211;-7.62
5.1.1984;1.342;6.198;-7.615
6.1.1984;1.341;6.184;-7.612
7.1.1984;1.34;6.171;-7.606
8.1.1984;1.339;6.162;-7.601
9.1.1984;1.338;6.148;-7.599
10.1.1984;1.337;6.133;-7.596
11.1.1984;1.336;6.124;-7.594
12.1.1984;1.335;6.118;-7.59
13.1.1984;1.334;6.105;-7.587
14.1.1984;1.333;6.098;-7.583
15.1.1984;1.332;6.088;-7.579
16.1.1984;1.331;6.074;-7.575
17.1.1984;1.33;6.069;-7.572
18.1.1984;1.329;6.054;-7.569
19.1.1984;1.328;6.044;-7.565
20.1.1984;1.327;6.031;-7.561
21.1.1984;1.326;6.022;-7.557
22.1.1984;1.325;6.01;-7.555
23.1.1984;1.324;5.998;-7.553
24.1.1984;1.324;5.991;-7.551
25.1.1984;1.323;5.979;-7.549
26.1.1984;1.322;5.965;-7.546
27.1.1984;1.321;5.958;-7.542
28.1.1984;1.32;5.947;-7.538
29.1.1984;1.318;5.939;-7.535
30.1.1984;1.317;5.924;-7.532
31.1.1984;1.316;5.918;-7.528
1.2.1984;1.315;5.909;-7.526
2.2.1984;1.314;5.903;-7.524
3.2.1984;1.313;5.893;-7.52
4.2.1984;1.312;5.88;-7.517
5.2.1984;1.311;5.873;-7.514
6.2.1984;1.31;5.863;-7.511
7.2.1984;1.31;5.848;-7.508
8.2.1984;1.309;5.842;-7.506
9.2.1984;1.307;5.828;-7.503
10.2.1984;1.306;5.818;-7.501
11.2.1984;1.306;5.812;-7.496
12.2.1984;1.305;5.799;-7.494
13.2.1984;1.304;5.793;-7.492
14.2.1984;1.303;5.781;-7.489
