#Disneyland NPP, unit 4
#date;fha;ao;bc
1986-09-22;1.463;-6.83;5.302
1986-09-23;1.462;-6.822;5.292
1986-09-24;1.462;-6.817;5.278
1986-09-25;1.461;-6.809;5.268
1986-09-26;1.46;-6.805;5.258
1986-09-27;1.458;-6.799;5.248
1986-09-28;1.458;-6.795;5.237
1986-09-29;1.457;-6.787;5.23
1986-09-30;1.456;-6.779;5.218
1986-10-01;1.455;-6.776;5.21
1986-10-02;1.455;-6.77;5.203
1986-10-03;1.454;-6.764;5.197
1986-10-04;1.453;-6.76;5.191
1986-10-05;1.452;-6.754;5.183
1986-10-06;1.451;-6.749;5.17
1986-10-07;1.45;-6.746;5.163
1986-10-08;1.449;-6.742;5.149
1986-10-09;1.448;-6.739;5.136
1986-10-10;1.446;-6.737;5.122
1986-10-11;1.446;-6.731;5.112
1986-10-12;1.445;-6.729;5.104
1986-10-13;1.444;-6.726;5.094
1986-10-14;1.443;-6.723;5.084
1986-10-15;1.442;-6.717;5.074
1986-10-16;1.441;-6.714;5.061
1986-10-17;1.44;-6.711;5.047
1986-10-18;1.439;-6.708;5.037
1986-10-19;1.438;-6.706;5.027
1986-10-20;1.437;-6.701;5.013
1986-10-21;1.436;-6.698;5.001
1986-10-22;1.435;-6.694;4.992
1986-10-23;1.435;-6.691;4.978
1986-10-24;1.433;-6.688;4.972
1986-10-25;1.432;-6.684;4.962
1986-10-26;1.431;-6.681;4.952
1986-10-27;1.43;-6.678;4.945
1986-10-28;1.429;-6.674;4.932
1986-10-29;1.428;-6.67;4.918
1986-10-30;1.427;-6.667;4.907
1986-10-31;1.426;-6.664;4.899
1986-11-01;1.424;-6.66;4.885
1986-11-02;1.424;-6.657;4.872
1986-11-03;1.423;-6.654;4.863
1986-11-04;1.422;-6.651;4.853
1986-11-05;1.421;-6.648;4.84
1986-11-06;1.42;-6.643;4.832
1986-11-07;1.419;-6.639;4.821
1986-11-08;1.418;-6.637;4.807
1986-11-09;1.417;-6.634;4.794
1986-11-10;1.416;-6.631;4.783
1986-11-11;1.415;-6.627;4.772
1986-11-12;1.415;-6.623;4.759
1986-11-13;1.414;-6.619;4.752
1986-11-14;1.413;-6.617;4.745
1986-11-15;1.412;-6.616;4.734
1986-11-16;1.412;-6.613;4.722
1986-11-17;1.411;-6.611;4.711
1986-11-18;1.41;-6.607;4.703
1986-11-19;1.41;-6.604;4.696
1986-11-20;1.409;-6.601;4.683
1986-11-21;1.408;-6.598;4.677
1986-11-22;1.406;-6.596;4.666
1986-11-23;1.405;-6.595;4.658
1986-11-24;1.404;-6.592;4.651
1986-11-25;1.403;-6.59;4.643
1986-11-26;1.402;-6.588;4.629
1986-11-27;1.401;-6.586;4.62
1986-11-28;1.399;-6.582;4.611
1986-11-29;1.398;-6.578;4.597
1986-11-30;1.397;-6.577;4.59
1986-12-01;1.396;-6.573;4.58
1986-12-02;1.395;-6.569;4.571
1986-12-03;1.394;-6.568;4.557
1986-12-04;1.393;-6.566;4.546
1986-12-05;1.392;-6.562;4.538
1986-12-06;1.391;-6.56;4.525
1986-12-07;1.39;-6.557;4.518
1986-12-08;1.388;-6.553;4.508
1986-12-09;1.387;-6.551;4.502
1986-12-10;1.386;-6.548;4.494
1986-12-11;1.385;-6.546;4.481
1986-12-12;1.384;-6.542;4.474
1986-12-13;1.383;-6.539;4.463
1986-12-14;1.382;-6.536;4.451
1986-12-15;1.38;-6.532;4.437
1986-12-16;1.379;-6.529;4.427
1986-12-17;1.378;-6.526;4.419
1986-12-18;1.377;-6.523;4.405
1986-12-19;1.376;-6.521;4.399
1986-12-20;1.376;-6.519;4.385
1986-12-21;1.375;-6.516;4.378
1986-12-22;1.374;-6.512;4.367
1986-12-23;1.373;-6.511;4.353
1986-12-24;1.372;-6.507;4.341
1986-12-25;1.37;-6.503;4.326
1986-12-26;1.369;-6.5;4.319
1986-12-27;1.368;-6.498;4.309
1986-12-28;1.367;-6.494;4.3
1986-12-29;1.366;-6.493;4.286
1986-12-30;1.365;-6.491;4.279
1986-12-31;1.364;-6.489;4.269
1987-01-01;1.363;-6.487;4.26
1987-01-02;1.363;-6.484;4.251
1987-01-03;1.362;-6.483;4.237
1987-01-04;1.361;-6.48;4.231
1987-01-05;1.359;-6.477;4.216
1987-01-06;1.358;-6.475;4.209
1987-01-07;1.357;-6.473;4.199
1987-01-08;1.356;-6.469;4.185
1987-01-09;1.356;-6.467;4.18
1987-01-10;1.355;-6.465;4.175
1987-01-11;1.354;-6.464;4.162
1987-01-12;1.353;-6.46;4.15
1987-01-13;1.352;-6.458;4.142
1987-01-14;1.352;-6.456;4.137
1987-01-15;1.351;-6.452;4.124
1987-01-16;1.349;-6.45;4.118
1987-01-17;1.348;-6.447;4.106
1987-01-18;1.348;-6.446;4.095
1987-01-19;1.346;-6.444;4.086
1987-01-20;1.346;-6.443;4.072
1987-01-21;1.345;-6.44;4.06
1987-01-22;1.343;-6.439;4.047
1987-01-23;1.342;-6.436;4.034
1987-01-24;1.342;-6.433;4.021
1987-01-25;1.34;-6.431;4.013
1987-01-26;1.339;-6.428;4.006
1987-01-27;1.338;-6.425;3.992
1987-01-28;1.337;-6.423;3.979
1987-01-29;1.336;-6.421;3.969
1987-01-30;1.334;-6.42;3.96
1987-01-31;1.334;-6.416;3.952
1987-02-01;1.332;-6.415;3.939
1987-02-02;1.332;-6.413;3.927
1987-02-03;1.33;-6.411;3.916
1987-02-04;1.33;-6.409;3.909
1987-02-05;1.328;-6.407;3.897
1987-02-06;1.328;-6.404;3.889
1987-02-07;1.327;-6.401;3.878
1987-02-08;1.326;-6.399;3.865
1987-02-09;1.326;-6.396;3.86
1987-02-10;1.325;-6.393;3.851
1987-02-11;1.324;-6.391;3.844
1987-02-12;1.323;-6.388;3.834
1987-02-13;1.322;-6.386;3.828
1987-02-14;1.321;-6.383;3.82
1987-02-15;1.32;-6.381;3.811
