#CandyMountain NPP, unit 5
#date;bc;ao;fha
1993-01-23;6.144;-5.121;1.315
1993-01-24;6.134;-5.111;1.314
1993-01-25;6.124;-5.103;1.313
1993-01-26;6.117;-5.093;1.313
1993-01-27;6.111;-5.083;1.312
1993-01-28;6.105;-5.075;1.311
1993-01-29;6.092;-5.07;1.31
1993-01-30;6.087;-5.066;1.309
1993-01-31;6.078;-5.058;1.309
1993-02-01;6.067;-5.052;1.308
1993-02-02;6.055;-5.045;1.306
1993-02-03;6.046;-5.04;1.305
1993-02-04;6.033;-5.035;1.304
1993-02-05;6.02;-5.03;1.303
1993-02-06;6.008;-5.026;1.303
1993-02-07;5.998;-5.022;1.301
1993-02-08;5.989;-5.019;1.3
1993-02-09;5.977;-5.015;1.299
1993-02-10;5.966;-5.01;1.299
1993-02-11;5.961;-5.005;1.298
1993-02-12;5.947;-5.002;1.296
1993-02-13;5.94;-4.997;1.296
1993-02-14;5.927;-4.992;1.295
1993-02-15;5.92;-4.988;1.294
1993-02-16;5.911;-4.984;1.292
1993-02-17;5.901;-4.981;1.291
1993-02-18;5.891;-4.976;1.29
1993-02-19;5.877;-4.97;1.289
1993-02-20;5.865;-4.968;1.289
1993-02-21;5.852;-4.964;1.287
1993-02-22;5.839;-4.961;1.286
1993-02-23;5.831;-4.959;1.285
1993-02-24;5.822;-4.955;1.284
1993-02-25;5.81;-4.95;1.283
1993-02-26;5.799;-4.948;1.282
1993-02-27;5.786;-4.946;1.28
1993-02-28;5.775;-4.941;1.279
1993-03-01;5.761;-4.937;1.278
1993-03-02;5.751;-4.932;1.277
1993-03-03;5.745;-4.928;1.276
1993-03-04;5.731;-4.926;1.275
1993-03-05;5.721;-4.923;1.274
1993-03-06;5.707;-4.92;1.274
1993-03-07;5.701;-4.917;1.273
1993-03-08;5.688;-4.912;1.272
1993-03-09;5.679;-4.909;1.271
1993-03-10;5.669;-4.907;1.27
1993-03-11;5.654;-4.903;1.269
1993-03-12;5.642;-4.901;1.268
1993-03-13;5.635;-4.9;1.267
1993-03-14;5.624;-4.896;1.266
1993-03-15;5.613;-4.895;1.265
1993-03-16;5.604;-4.891;1.264
1993-03-17;5.597;-4.889;1.263
1993-03-18;5.582;-4.885;1.262
1993-03-19;5.576;-4.883;1.262
1993-03-20;5.561;-4.88;1.26
1993-03-21;5.551;-4.877;1.26
1993-03-22;5.545;-4.875;1.258
1993-03-23;5.536;-4.872;1.257
1993-03-24;5.529;-4.869;1.257
1993-03-25;5.517;-4.868;1.255
1993-03-26;5.51;-4.864;1.254
1993-03-27;5.495;-4.86;1.252
1993-03-28;5.483;-4.857;1.252
1993-03-29;5.469;-4.853;1.25
1993-03-30;5.456;-4.849;1.249
1993-03-31;5.446;-4.846;1.249
1993-04-01;5.437;-4.842;1.248
1993-04-02;5.425;-4.84;1.246
1993-04-03;5.417;-4.837;1.245
1993-04-04;5.409;-4.835;1.244
1993-04-05;5.399;-4.833;1.244
1993-04-06;5.386;-4.83;1.242
1993-04-07;5.376;-4.827;1.241
1993-04-08;5.362;-4.826;1.24
1993-04-09;5.35;-4.823;1.239
1993-04-10;5.344;-4.82;1.238
1993-04-11;5.335;-4.816;1.237
1993-04-12;5.321;-4.813;1.236
1993-04-13;5.31;-4.809;1.236
1993-04-14;5.304;-4.806;1.234
1993-04-15;5.293;-4.804;1.233
1993-04-16;5.285;-4.8;1.232
1993-04-17;5.271;-4.799;1.231
1993-04-18;5.257;-4.795;1.23
1993-04-19;5.251;-4.793;1.229
1993-04-20;5.241;-4.79;1.228
1993-04-21;5.231;-4.786;1.227
1993-04-22;5.225;-4.783;1.226
1993-04-23;5.211;-4.78;1.225
1993-04-24;5.203;-4.776;1.224
1993-04-25;5.193;-4.774;1.224
1993-04-26;5.179;-4.772;1.222
1993-04-27;5.168;-4.77;1.222
1993-04-28;5.155;-4.767;1.221
1993-04-29;5.146;-4.764;1.22
