#Atlantis NPP, unit 2
#date;ao;fha;bc
12.7.1988;-5.41;1.325;5.83
13.7.1988;-5.399;1.324;5.82
14.7.1988;-5.392;1.323;5.81
15.7.1988;-5.382;1.322;5.8
16.7.1988;-5.375;1.32;5.791
17.7.1988;-5.369;1.319;5.778
18.7.1988;-5.363;1.318;5.764
19.7.1988;-5.355;1.316;5.756
20.7.1988;-5.349;1.315;5.75
21.7.1988;-5.344;1.314;5.735
22.7.1988;-5.337;1.313;5.728
23.7.1988;-5.331;1.313;5.714
24.7.1988;-5.328;1.312;5.701
25.7.1988;-5.321;1.311;5.689
26.7.1988;-5.316;1.31;5.678
27.7.1988;-5.311;1.309;5.667
28.7.1988;-5.306;1.308;5.654
29.7.1988;-5.304;1.307;5.645
30.7.1988;-5.298;1.306;5.631
31.7.1988;-5.292;1.305;5.617
1.8.1988;-5.288;1.304;5.609
2.8.1988;-5.284;1.303;5.602
3.8.1988;-5.282;1.303;5.596
4.8.1988;-5.278;1.301;5.587
5.8.1988;-5.273;1.3;5.581
6.8.1988;-5.268;1.299;5.567
7.8.1988;-5.263;1.298;5.558
8.8.1988;-5.258;1.297;5.553
9.8.1988;-5.255;1.296;5.54
10.8.1988;-5.252;1.296;5.534
11.8.1988;-5.248;1.294;5.522
12.8.1988;-5.246;1.294;5.51
13.8.1988;-5.244;1.292;5.501
14.8.1988;-5.241;1.292;5.49
15.8.1988;-5.239;1.291;5.483
16.8.1988;-5.235;1.291;5.475
17.8.1988;-5.232;1.289;5.467
18.8.1988;-5.228;1.288;5.46
19.8.1988;-5.226;1.287;5.448
20.8.1988;-5.222;1.286;5.435
21.8.1988;-5.218;1.285;5.426
22.8.1988;-5.215;1.284;5.415
23.8.1988;-5.214;1.283;5.401
24.8.1988;-5.211;1.281;5.392
25.8.1988;-5.209;1.28;5.378
26.8.1988;-5.205;1.28;5.371
27.8.1988;-5.203;1.279;5.362
28.8.1988;-5.201;1.278;5.349
29.8.1988;-5.198;1.277;5.338
30.8.1988;-5.195;1.277;5.328
31.8.1988;-5.191;1.276;5.317
1.9.1988;-5.189;1.275;5.305
2.9.1988;-5.185;1.274;5.296
3.9.1988;-5.183;1.273;5.281
4.9.1988;-5.18;1.271;5.271
5.9.1988;-5.178;1.271;5.258
6.9.1988;-5.176;1.27;5.251
7.9.1988;-5.172;1.268;5.241
8.9.1988;-5.169;1.267;5.233
9.9.1988;-5.164;1.266;5.22
10.9.1988;-5.161;1.266;5.215
11.9.1988;-5.159;1.265;5.205
12.9.1988;-5.155;1.264;5.196
13.9.1988;-5.153;1.263;5.187
14.9.1988;-5.151;1.262;5.172
15.9.1988;-5.148;1.261;5.158
16.9.1988;-5.145;1.26;5.145
17.9.1988;-5.143;1.259;5.136
18.9.1988;-5.14;1.258;5.127
19.9.1988;-5.139;1.258;5.113
20.9.1988;-5.137;1.256;5.099
21.9.1988;-5.134;1.256;5.092
22.9.1988;-5.132;1.255;5.083
23.9.1988;-5.129;1.255;5.071
24.9.1988;-5.125;1.254;5.062
25.9.1988;-5.122;1.253;5.049
26.9.1988;-5.12;1.252;5.039
27.9.1988;-5.116;1.251;5.027
28.9.1988;-5.115;1.25;5.017
29.9.1988;-5.112;1.249;5.009
30.9.1988;-5.11;1.248;5.004
1.10.1988;-5.106;1.247;4.994
2.10.1988;-5.105;1.246;4.986
3.10.1988;-5.102;1.245;4.973
4.10.1988;-5.1;1.244;4.961
5.10.1988;-5.098;1.243;4.947
6.10.1988;-5.095;1.242;4.94
7.10.1988;-5.091;1.241;4.932
8.10.1988;-5.088;1.24;4.923
9.10.1988;-5.086;1.239;4.908
10.10.1988;-5.085;1.238;4.896
11.10.1988;-5.082;1.237;4.883
12.10.1988;-5.08;1.236;4.872
13.10.1988;-5.078;1.235;4.857
14.10.1988;-5.074;1.234;4.849
15.10.1988;-5.07;1.233;4.842
16.10.1988;-5.068;1.232;4.834
17.10.1988;-5.065;1.23;4.824
18.10.1988;-5.063;1.229;4.819
19.10.1988;-5.06;1.228;4.806
20.10.1988;-5.057;1.228;4.795
21.10.1988;-5.054;1.227;4.784
22.10.1988;-5.052;1.226;4.778
23.10.1988;-5.051;1.225;4.769
24.10.1988;-5.049;1.224;4.763
25.10.1988;-5.048;1.223;4.755
26.10.1988;-5.045;1.222;4.749
27.10.1988;-5.044;1.221;4.742
28.10.1988;-5.042;1.22;4.727
29.10.1988;-5.04;1.219;4.72
30.10.1988;-5.037;1.218;4.712
31.10.1988;-5.035;1.217;4.706
1.11.1988;-5.031;1.216;4.693
2.11.1988;-5.03;1.215;4.685
3.11.1988;-5.027;1.214;4.671
4.11.1988;-5.026;1.213;4.662
5.11.1988;-5.024;1.212;4.651
6.11.1988;-5.021;1.211;4.644
7.11.1988;-5.018;1.21;4.634
8.11.1988;-5.014;1.209;4.62
9.11.1988;-5.011;1.208;4.607
10.11.1988;-5.009;1.207;4.599
11.11.1988;-5.007;1.205;4.589
12.11.1988;-5.005;1.205;4.584
13.11.1988;-5.003;1.203;4.57
14.11.1988;-5.001;1.202;4.557
15.11.1988;-4.999;1.202;4.551
16.11.1988;-4.997;1.2;4.543
17.11.1988;-4.995;1.199;4.53
18.11.1988;-4.992;1.199;4.519
19.11.1988;-4.989;1.198;4.508
20.11.1988;-4.987;1.197;4.496
21.11.1988;-4.984;1.197;4.49
22.11.1988;-4.981;1.195;4.476
23.11.1988;-4.978;1.194;4.469
24.11.1988;-4.976;1.194;4.461
25.11.1988;-4.973;1.193;4.451
26.11.1988;-4.97;1.191;4.442
27.11.1988;-4.968;1.191;4.43
28.11.1988;-4.966;1.189;4.419
29.11.1988;-4.963;1.188;4.413
30.11.1988;-4.961;1.187;4.404
1.12.1988;-4.958;1.186;4.391
2.12.1988;-4.955;1.185;4.38
3.12.1988;-4.953;1.184;4.365
4.12.1988;-4.952;1.183;4.358
5.12.1988;-4.949;1.181;4.35
6.12.1988;-4.947;1.18;4.341
7.12.1988;-4.945;1.18;4.328
8.12.1988;-4.943;1.179;4.314
9.12.1988;-4.942;1.178;4.305
10.12.1988;-4.94;1.176;4.298
11.12.1988;-4.938;1.175;4.287
12.12.1988;-4.936;1.174;4.272
13.12.1988;-4.934;1.173;4.258
14.12.1988;-4.932;1.172;4.25
15.12.1988;-4.929;1.171;4.244
16.12.1988;-4.926;1.17;4.232
17.12.1988;-4.925;1.17;4.225
18.12.1988;-4.923;1.168;4.215
19.12.1988;-4.922;1.168;4.209
20.12.1988;-4.919;1.167;4.201
21.12.1988;-4.917;1.166;4.19
22.12.1988;-4.915;1.165;4.182
23.12.1988;-4.914;1.164;4.172
24.12.1988;-4.91;1.163;4.158
25.12.1988;-4.909;1.162;4.147
26.12.1988;-4.908;1.161;4.137
27.12.1988;-4.905;1.159;4.123
28.12.1988;-4.903;1.159;4.117
29.12.1988;-4.901;1.158;4.106
30.12.1988;-4.899;1.157;4.096
31.12.1988;-4.897;1.156;4.087
1.1.1989;-4.895;1.155;4.08
2.1.1989;-4.892;1.155;4.069
3.1.1989;-4.891;1.153;4.056
4.1.1989;-4.888;1.152;4.05
5.1.1989;-4.886;1.152;4.042
6.1.1989;-4.884;1.151;4.032
7.1.1989;-4.882;1.15;4.019
8.1.1989;-4.88;1.149;4.012
9.1.1989;-4.879;1.148;3.998
10.1.1989;-4.877;1.147;3.992
11.1.1989;-4.875;1.146;3.98
12.1.1989;-4.872;1.145;3.968
13.1.1989;-4.87;1.144;3.96
14.1.1989;-4.869;1.143;3.951
15.1.1989;-4.868;1.142;3.937
16.1.1989;-4.866;1.141;3.925
17.1.1989;-4.864;1.141;3.913
18.1.1989;-4.862;1.14;3.905
19.1.1989;-4.859;1.138;3.89
20.1.1989;-4.858;1.138;3.88
21.1.1989;-4.856;1.136;3.866
22.1.1989;-4.854;1.135;3.856
23.1.1989;-4.853;1.135;3.845
24.1.1989;-4.85;1.133;3.833
25.1.1989;-4.848;1.132;3.824
26.1.1989;-4.846;1.132;3.816
27.1.1989;-4.843;1.131;3.807
28.1.1989;-4.841;1.13;3.801
29.1.1989;-4.839;1.128;3.786
30.1.1989;-4.837;1.128;3.773
31.1.1989;-4.836;1.127;3.761
1.2.1989;-4.835;1.126;3.755
2.2.1989;-4.832;1.126;3.747
3.2.1989;-4.83;1.125;3.74
4.2.1989;-4.827;1.124;3.733
5.2.1989;-4.825;1.122;3.72
6.2.1989;-4.823;1.121;3.709
7.2.1989;-4.821;1.12;3.696
8.2.1989;-4.819;1.119;3.689
9.2.1989;-4.817;1.118;3.675
10.2.1989;-4.814;1.117;3.663
11.2.1989;-4.812;1.116;3.654
12.2.1989;-4.811;1.115;3.643
13.2.1989;-4.808;1.114;3.637
14.2.1989;-4.807;1.113;3.63
15.2.1989;-4.806;1.111;3.62
16.2.1989;-4.803;1.11;3.609
17.2.1989;-4.801;1.11;3.602
18.2.1989;-4.8;1.109;3.588
19.2.1989;-4.797;1.108;3.582
20.2.1989;-4.794;1.107;3.569
21.2.1989;-4.791;1.106;3.556
22.2.1989;-4.788;1.104;3.545
23.2.1989;-4.787;1.103;3.54
24.2.1989;-4.784;1.102;3.534
25.2.1989;-4.783;1.101;3.523
26.2.1989;-4.781;1.1;3.515
27.2.1989;-4.779;1.099;3.505
28.2.1989;-4.778;1.098;3.495
1.3.1989;-4.776;1.097;3.481
2.3.1989;-4.774;1.097;3.469
3.3.1989;-4.772;1.095;3.462
4.3.1989;-4.769;1.094;3.453
5.3.1989;-4.768;1.093;3.446
6.3.1989;-4.766;1.092;3.441
7.3.1989;-4.763;1.091;3.434
8.3.1989;-4.761;1.09;3.429
9.3.1989;-4.759;1.089;3.419
10.3.1989;-4.757;1.088;3.413
11.3.1989;-4.754;1.087;3.407
12.3.1989;-4.753;1.086;3.397
13.3.1989;-4.751;1.085;3.391
14.3.1989;-4.749;1.084;3.384
