#Atlantis NPP, unit 8
#date;fha;ao;bc
09/24/1991;1.359;-6.463;6.355
09/25/1991;1.357;-6.456;6.344
09/26/1991;1.357;-6.444;6.336
09/27/1991;1.355;-6.434;6.328
09/28/1991;1.354;-6.429;6.321
09/29/1991;1.353;-6.423;6.311
09/30/1991;1.352;-6.415;6.298
10/01/1991;1.351;-6.412;6.291
10/02/1991;1.35;-6.408;6.286
10/03/1991;1.349;-6.402;6.28
10/04/1991;1.348;-6.398;6.27
10/05/1991;1.347;-6.394;6.26
10/06/1991;1.346;-6.389;6.245
10/07/1991;1.345;-6.387;6.234
10/08/1991;1.344;-6.384;6.226
10/09/1991;1.343;-6.381;6.219
10/10/1991;1.342;-6.378;6.207
10/11/1991;1.341;-6.374;6.194
10/12/1991;1.341;-6.37;6.188
10/13/1991;1.339;-6.367;6.182
10/14/1991;1.339;-6.363;6.167
10/15/1991;1.338;-6.359;6.155
10/16/1991;1.337;-6.357;6.147
10/17/1991;1.335;-6.353;6.133
10/18/1991;1.335;-6.35;6.125
10/19/1991;1.334;-6.347;6.114
10/20/1991;1.332;-6.342;6.106
10/21/1991;1.331;-6.337;6.094
10/22/1991;1.33;-6.334;6.083
10/23/1991;1.329;-6.328;6.069
10/24/1991;1.328;-6.323;6.063
10/25/1991;1.327;-6.319;6.052
10/26/1991;1.325;-6.314;6.04
10/27/1991;1.324;-6.309;6.031
10/28/1991;1.323;-6.306;6.025
10/29/1991;1.322;-6.302;6.016
10/30/1991;1.321;-6.299;6.002
10/31/1991;1.32;-6.296;5.989
11/01/1991;1.319;-6.292;5.984
11/02/1991;1.318;-6.287;5.971
11/03/1991;1.317;-6.284;5.965
11/04/1991;1.316;-6.281;5.95
11/05/1991;1.315;-6.278;5.939
11/06/1991;1.315;-6.275;5.927
11/07/1991;1.314;-6.27;5.919
11/08/1991;1.313;-6.266;5.906
11/09/1991;1.312;-6.262;5.9
11/10/1991;1.311;-6.259;5.891
11/11/1991;1.31;-6.257;5.883
11/12/1991;1.309;-6.254;5.869
11/13/1991;1.308;-6.25;5.862
11/14/1991;1.307;-6.247;5.85
11/15/1991;1.306;-6.243;5.836
11/16/1991;1.305;-6.24;5.822
11/17/1991;1.304;-6.237;5.809
11/18/1991;1.302;-6.236;5.803
11/19/1991;1.301;-6.232;5.793
11/20/1991;1.3;-6.229;5.782
11/21/1991;1.299;-6.227;5.773
11/22/1991;1.298;-6.224;5.765
11/23/1991;1.298;-6.222;5.755
11/24/1991;1.297;-6.22;5.744
11/25/1991;1.296;-6.216;5.736
11/26/1991;1.296;-6.213;5.729
11/27/1991;1.295;-6.21;5.723
11/28/1991;1.294;-6.207;5.711
11/29/1991;1.293;-6.203;5.698
11/30/1991;1.292;-6.201;5.69
12/01/1991;1.291;-6.199;5.681
12/02/1991;1.29;-6.195;5.676
12/03/1991;1.289;-6.192;5.665
12/04/1991;1.288;-6.19;5.651
12/05/1991;1.287;-6.187;5.644
12/06/1991;1.286;-6.185;5.631
12/07/1991;1.284;-6.181;5.621
12/08/1991;1.284;-6.179;5.613
12/09/1991;1.283;-6.177;5.602
12/10/1991;1.282;-6.174;5.588
12/11/1991;1.281;-6.173;5.578
12/12/1991;1.28;-6.169;5.571
12/13/1991;1.279;-6.165;5.561
12/14/1991;1.277;-6.163;5.547
12/15/1991;1.276;-6.161;5.536
12/16/1991;1.275;-6.157;5.526
12/17/1991;1.275;-6.153;5.52
12/18/1991;1.273;-6.151;5.514
12/19/1991;1.273;-6.149;5.501
12/20/1991;1.272;-6.147;5.492
12/21/1991;1.27;-6.143;5.481
12/22/1991;1.269;-6.14;5.475
12/23/1991;1.268;-6.138;5.462
12/24/1991;1.267;-6.134;5.456
12/25/1991;1.265;-6.133;5.447
12/26/1991;1.264;-6.129;5.44
12/27/1991;1.263;-6.128;5.432
12/28/1991;1.262;-6.125;5.423
12/29/1991;1.261;-6.121;5.415
12/30/1991;1.259;-6.118;5.405
12/31/1991;1.258;-6.116;5.395
01/01/1992;1.257;-6.113;5.387
01/02/1992;1.256;-6.109;5.38
01/03/1992;1.255;-6.107;5.367
01/04/1992;1.254;-6.104;5.354
01/05/1992;1.253;-6.101;5.343
01/06/1992;1.253;-6.099;5.337
01/07/1992;1.251;-6.096;5.329
01/08/1992;1.251;-6.095;5.323
01/09/1992;1.25;-6.092;5.312
01/10/1992;1.249;-6.09;5.304
01/11/1992;1.247;-6.088;5.295
01/12/1992;1.246;-6.085;5.285
01/13/1992;1.245;-6.082;5.271
01/14/1992;1.244;-6.079;5.259
01/15/1992;1.242;-6.078;5.246
01/16/1992;1.241;-6.076;5.236
01/17/1992;1.24;-6.074;5.227
01/18/1992;1.24;-6.071;5.217
01/19/1992;1.239;-6.069;5.211
01/20/1992;1.238;-6.066;5.203
01/21/1992;1.237;-6.063;5.193
01/22/1992;1.237;-6.061;5.185
01/23/1992;1.236;-6.059;5.179
01/24/1992;1.235;-6.056;5.174
01/25/1992;1.234;-6.055;5.166
01/26/1992;1.233;-6.052;5.154
01/27/1992;1.231;-6.05;5.148
01/28/1992;1.23;-6.048;5.138
01/29/1992;1.229;-6.045;5.129
01/30/1992;1.227;-6.044;5.116
01/31/1992;1.226;-6.041;5.103
02/01/1992;1.225;-6.037;5.095
02/02/1992;1.224;-6.035;5.087
02/03/1992;1.223;-6.032;5.075
02/04/1992;1.222;-6.03;5.069
02/05/1992;1.221;-6.026;5.057
02/06/1992;1.22;-6.024;5.052
02/07/1992;1.219;-6.021;5.044
02/08/1992;1.218;-6.019;5.037
02/09/1992;1.217;-6.018;5.022
02/10/1992;1.215;-6.016;5.009
02/11/1992;1.215;-6.013;5.002
02/12/1992;1.214;-6.012;4.996
02/13/1992;1.213;-6.009;4.987
02/14/1992;1.211;-6.008;4.976
02/15/1992;1.21;-6.006;4.966
02/16/1992;1.209;-6.003;4.959
02/17/1992;1.208;-6.001;4.949
02/18/1992;1.207;-6.0;4.943
02/19/1992;1.206;-5.997;4.929
02/20/1992;1.205;-5.995;4.918
02/21/1992;1.204;-5.993;4.908
02/22/1992;1.203;-5.991;4.898
02/23/1992;1.201;-5.989;4.889
02/24/1992;1.2;-5.987;4.882
02/25/1992;1.199;-5.986;4.871
02/26/1992;1.198;-5.984;4.866
02/27/1992;1.197;-5.982;4.853
02/28/1992;1.196;-5.98;4.846
02/29/1992;1.195;-5.978;4.836
03/01/1992;1.194;-5.977;4.827
03/02/1992;1.193;-5.974;4.817
03/03/1992;1.192;-5.972;4.805
03/04/1992;1.191;-5.97;4.799
03/05/1992;1.189;-5.968;4.787
03/06/1992;1.188;-5.966;4.774
03/07/1992;1.187;-5.963;4.762
03/08/1992;1.185;-5.96;4.756
03/09/1992;1.185;-5.958;4.744
03/10/1992;1.184;-5.956;4.738
03/11/1992;1.183;-5.955;4.729
03/12/1992;1.182;-5.952;4.719
03/13/1992;1.18;-5.949;4.712
