#Atlantis NPP, unit 12
#date;bc;fha;ao
19.4.1992;5.988;1.367;-7.383
20.4.1992;5.983;1.366;-7.37
21.4.1992;5.974;1.365;-7.363
22.4.1992;5.96;1.364;-7.353
23.4.1992;5.953;1.363;-7.346
24.4.1992;5.942;1.362;-7.337
25.4.1992;5.931;1.361;-7.333
26.4.1992;5.917;1.36;-7.327
27.4.1992;5.909;1.359;-7.323
28.4.1992;5.899;1.358;-7.316
29.4.1992;5.894;1.357;-7.309
30.4.1992;5.881;1.356;-7.304
1.5.1992;5.868;1.355;-7.3
2.5.1992;5.856;1.355;-7.296
3.5.1992;5.841;1.354;-7.291
4.5.1992;5.827;1.353;-7.287
5.5.1992;5.821;1.352;-7.283
6.5.1992;5.809;1.352;-7.279
7.5.1992;5.798;1.351;-7.274
8.5.1992;5.785;1.349;-7.27
9.5.1992;5.777;1.348;-7.265
10.5.1992;5.77;1.347;-7.262
11.5.1992;5.761;1.346;-7.258
12.5.1992;5.753;1.345;-7.254
13.5.1992;5.743;1.344;-7.251
14.5.1992;5.735;1.343;-7.249
15.5.1992;5.72;1.342;-7.244
16.5.1992;5.708;1.341;-7.239
17.5.1992;5.693;1.34;-7.237
18.5.1992;5.682;1.34;-7.234
19.5.1992;5.669;1.339;-7.23
20.5.1992;5.66;1.338;-7.226
21.5.1992;5.648;1.337;-7.224
22.5.1992;5.638;1.336;-7.222
23.5.1992;5.625;1.334;-7.219
24.5.1992;5.615;1.334;-7.217
25.5.1992;5.603;1.333;-7.213
26.5.1992;5.589;1.332;-7.21
27.5.1992;5.579;1.331;-7.206
28.5.1992;5.573;1.33;-7.204
29.5.1992;5.563;1.329;-7.2
30.5.1992;5.553;1.328;-7.197
31.5.1992;5.538;1.327;-7.195
1.6.1992;5.529;1.326;-7.191
2.6.1992;5.517;1.325;-7.188
3.6.1992;5.503;1.324;-7.183
4.6.1992;5.488;1.323;-7.179
5.6.1992;5.474;1.322;-7.174
6.6.1992;5.459;1.321;-7.171
7.6.1992;5.454;1.32;-7.167
8.6.1992;5.444;1.319;-7.165
9.6.1992;5.435;1.318;-7.161
10.6.1992;5.424;1.316;-7.157
11.6.1992;5.415;1.315;-7.153
12.6.1992;5.409;1.314;-7.15
13.6.1992;5.401;1.313;-7.146
14.6.1992;5.388;1.312;-7.144
15.6.1992;5.374;1.311;-7.139
16.6.1992;5.369;1.31;-7.138
17.6.1992;5.361;1.309;-7.135
18.6.1992;5.349;1.308;-7.133
19.6.1992;5.335;1.307;-7.131
20.6.1992;5.324;1.307;-7.129
21.6.1992;5.317;1.306;-7.127
22.6.1992;5.303;1.305;-7.124
23.6.1992;5.297;1.304;-7.122
24.6.1992;5.291;1.303;-7.121
25.6.1992;5.279;1.302;-7.119
26.6.1992;5.273;1.301;-7.116
27.6.1992;5.259;1.3;-7.113
28.6.1992;5.252;1.299;-7.109
29.6.1992;5.238;1.298;-7.105
30.6.1992;5.227;1.297;-7.102
1.7.1992;5.222;1.296;-7.098
2.7.1992;5.214;1.295;-7.094
3.7.1992;5.201;1.294;-7.091
4.7.1992;5.187;1.292;-7.087
5.7.1992;5.173;1.292;-7.085
6.7.1992;5.167;1.291;-7.081
7.7.1992;5.159;1.291;-7.078
8.7.1992;5.145;1.289;-7.075
9.7.1992;5.134;1.289;-7.073
10.7.1992;5.121;1.288;-7.071
11.7.1992;5.111;1.287;-7.069
12.7.1992;5.106;1.286;-7.065
13.7.1992;5.094;1.285;-7.062
14.7.1992;5.082;1.284;-7.059
15.7.1992;5.067;1.282;-7.057
16.7.1992;5.062;1.281;-7.055
17.7.1992;5.047;1.28;-7.053
18.7.1992;5.034;1.279;-7.05
19.7.1992;5.022;1.278;-7.048
20.7.1992;5.011;1.277;-7.045
21.7.1992;4.997;1.276;-7.042
22.7.1992;4.986;1.274;-7.038
23.7.1992;4.978;1.273;-7.035
24.7.1992;4.966;1.272;-7.032
25.7.1992;4.959;1.271;-7.03
26.7.1992;4.95;1.27;-7.028
27.7.1992;4.943;1.269;-7.026
28.7.1992;4.935;1.268;-7.022
29.7.1992;4.923;1.267;-7.019
30.7.1992;4.914;1.266;-7.017
31.7.1992;4.902;1.265;-7.014
1.8.1992;4.897;1.264;-7.01
2.8.1992;4.89;1.263;-7.008
3.8.1992;4.881;1.262;-7.004
4.8.1992;4.872;1.261;-7.001
5.8.1992;4.858;1.26;-7.0
6.8.1992;4.845;1.259;-6.998
7.8.1992;4.832;1.258;-6.995
8.8.1992;4.823;1.257;-6.993
9.8.1992;4.81;1.256;-6.99
10.8.1992;4.798;1.255;-6.988
11.8.1992;4.788;1.253;-6.985
12.8.1992;4.779;1.252;-6.983
13.8.1992;4.765;1.252;-6.981
14.8.1992;4.753;1.25;-6.979
15.8.1992;4.746;1.25;-6.976
16.8.1992;4.738;1.248;-6.973
17.8.1992;4.723;1.247;-6.971
18.8.1992;4.713;1.246;-6.968
19.8.1992;4.699;1.245;-6.966
20.8.1992;4.687;1.244;-6.962
21.8.1992;4.673;1.242;-6.96
22.8.1992;4.661;1.241;-6.957
23.8.1992;4.648;1.24;-6.955
24.8.1992;4.641;1.239;-6.954
25.8.1992;4.632;1.238;-6.951
26.8.1992;4.62;1.237;-6.949
27.8.1992;4.607;1.236;-6.945
28.8.1992;4.596;1.235;-6.942
29.8.1992;4.586;1.234;-6.938
30.8.1992;4.576;1.234;-6.936
31.8.1992;4.569;1.233;-6.933
1.9.1992;4.564;1.232;-6.931
2.9.1992;4.552;1.231;-6.928
3.9.1992;4.546;1.23;-6.927
4.9.1992;4.534;1.229;-6.924
5.9.1992;4.527;1.228;-6.922
6.9.1992;4.515;1.227;-6.92
7.9.1992;4.506;1.226;-6.917
8.9.1992;4.497;1.225;-6.915
9.9.1992;4.484;1.224;-6.912
10.9.1992;4.477;1.223;-6.909
11.9.1992;4.466;1.222;-6.906
12.9.1992;4.46;1.221;-6.904
13.9.1992;4.448;1.22;-6.903
14.9.1992;4.438;1.219;-6.9
15.9.1992;4.423;1.217;-6.897
16.9.1992;4.412;1.216;-6.896
17.9.1992;4.398;1.215;-6.895
18.9.1992;4.386;1.213;-6.893
19.9.1992;4.372;1.213;-6.89
20.9.1992;4.357;1.212;-6.888
21.9.1992;4.35;1.211;-6.885
22.9.1992;4.344;1.209;-6.883
23.9.1992;4.338;1.209;-6.881
24.9.1992;4.331;1.208;-6.88
25.9.1992;4.318;1.207;-6.877
26.9.1992;4.311;1.206;-6.874
27.9.1992;4.301;1.205;-6.872
28.9.1992;4.289;1.204;-6.869
29.9.1992;4.282;1.202;-6.867
30.9.1992;4.272;1.201;-6.865
1.10.1992;4.259;1.2;-6.863
2.10.1992;4.252;1.199;-6.861
3.10.1992;4.246;1.198;-6.858
4.10.1992;4.232;1.197;-6.856
5.10.1992;4.225;1.196;-6.854
6.10.1992;4.219;1.195;-6.852
7.10.1992;4.211;1.194;-6.851
8.10.1992;4.201;1.193;-6.848
9.10.1992;4.194;1.191;-6.846
10.10.1992;4.186;1.19;-6.844
11.10.1992;4.174;1.19;-6.842
12.10.1992;4.166;1.188;-6.839
13.10.1992;4.151;1.188;-6.837
14.10.1992;4.144;1.187;-6.836
15.10.1992;4.131;1.186;-6.833
16.10.1992;4.119;1.185;-6.832
17.10.1992;4.109;1.184;-6.83
18.10.1992;4.1;1.183;-6.829
19.10.1992;4.09;1.182;-6.828
20.10.1992;4.083;1.181;-6.824
21.10.1992;4.069;1.18;-6.823
22.10.1992;4.057;1.179;-6.821
23.10.1992;4.049;1.178;-6.819
24.10.1992;4.037;1.177;-6.817
25.10.1992;4.031;1.176;-6.814
26.10.1992;4.024;1.175;-6.813
27.10.1992;4.017;1.174;-6.81
28.10.1992;4.004;1.173;-6.808
29.10.1992;3.991;1.172;-6.806
30.10.1992;3.98;1.171;-6.804
31.10.1992;3.975;1.17;-6.802
1.11.1992;3.967;1.169;-6.799
2.11.1992;3.96;1.169;-6.796
3.11.1992;3.952;1.167;-6.794
4.11.1992;3.943;1.166;-6.793
5.11.1992;3.937;1.165;-6.791
6.11.1992;3.926;1.164;-6.788
7.11.1992;3.912;1.163;-6.786
8.11.1992;3.9;1.162;-6.784
9.11.1992;3.889;1.161;-6.783
10.11.1992;3.881;1.16;-6.781
11.11.1992;3.871;1.159;-6.779
12.11.1992;3.859;1.158;-6.777
13.11.1992;3.844;1.157;-6.774
14.11.1992;3.831;1.156;-6.772
15.11.1992;3.822;1.155;-6.77
16.11.1992;3.811;1.155;-6.769
17.11.1992;3.8;1.154;-6.767
18.11.1992;3.791;1.152;-6.765
19.11.1992;3.776;1.152;-6.763
20.11.1992;3.771;1.15;-6.761
21.11.1992;3.762;1.149;-6.758
22.11.1992;3.749;1.148;-6.756
23.11.1992;3.743;1.148;-6.754
24.11.1992;3.733;1.146;-6.753
25.11.1992;3.727;1.145;-6.75
26.11.1992;3.716;1.144;-6.748
27.11.1992;3.707;1.142;-6.745
28.11.1992;3.699;1.141;-6.744
29.11.1992;3.689;1.14;-6.743
30.11.1992;3.68;1.139;-6.741
1.12.1992;3.667;1.138;-6.739
2.12.1992;3.662;1.137;-6.736
3.12.1992;3.649;1.136;-6.735
4.12.1992;3.637;1.135;-6.732
5.12.1992;3.627;1.134;-6.729
6.12.1992;3.612;1.133;-6.727
7.12.1992;3.606;1.131;-6.725
8.12.1992;3.597;1.13;-6.723
9.12.1992;3.592;1.129;-6.72
10.12.1992;3.578;1.128;-6.718
11.12.1992;3.568;1.127;-6.716
12.12.1992;3.556;1.126;-6.714
13.12.1992;3.541;1.124;-6.711
14.12.1992;3.535;1.124;-6.709
15.12.1992;3.524;1.122;-6.708
16.12.1992;3.512;1.121;-6.706
17.12.1992;3.501;1.12;-6.704
18.12.1992;3.49;1.119;-6.703
19.12.1992;3.482;1.118;-6.7
20.12.1992;3.469;1.117;-6.698
21.12.1992;3.456;1.116;-6.695
22.12.1992;3.447;1.115;-6.694
23.12.1992;3.436;1.114;-6.692
24.12.1992;3.429;1.113;-6.689
25.12.1992;3.423;1.113;-6.687
26.12.1992;3.413;1.112;-6.685
27.12.1992;3.407;1.111;-6.683
28.12.1992;3.396;1.11;-6.682
29.12.1992;3.383;1.109;-6.679
30.12.1992;3.369;1.108;-6.677
31.12.1992;3.356;1.108;-6.675
1.1.1993;3.35;1.107;-6.673
2.1.1993;3.338;1.105;-6.672
3.1.1993;3.326;1.104;-6.671
4.1.1993;3.317;1.102;-6.67
5.1.1993;3.303;1.101;-6.667
6.1.1993;3.291;1.1;-6.666
7.1.1993;3.28;1.099;-6.664
8.1.1993;3.269;1.098;-6.661
9.1.1993;3.258;1.097;-6.66
10.1.1993;3.244;1.097;-6.658
11.1.1993;3.231;1.095;-6.656
12.1.1993;3.224;1.095;-6.653
13.1.1993;3.211;1.094;-6.652
14.1.1993;3.197;1.093;-6.649
15.1.1993;3.186;1.092;-6.647
16.1.1993;3.175;1.091;-6.646
17.1.1993;3.163;1.091;-6.644
18.1.1993;3.155;1.09;-6.643
19.1.1993;3.144;1.089;-6.641
20.1.1993;3.137;1.088;-6.64
21.1.1993;3.122;1.087;-6.637
22.1.1993;3.108;1.086;-6.636
23.1.1993;3.1;1.086;-6.635
24.1.1993;3.088;1.085;-6.633
25.1.1993;3.076;1.084;-6.631
26.1.1993;3.07;1.083;-6.629
27.1.1993;3.062;1.082;-6.627
28.1.1993;3.049;1.081;-6.626
29.1.1993;3.044;1.08;-6.623
30.1.1993;3.029;1.079;-6.622
31.1.1993;3.023;1.078;-6.62
1.2.1993;3.01;1.077;-6.619
2.2.1993;3.004;1.077;-6.618
3.2.1993;2.996;1.076;-6.617
4.2.1993;2.982;1.075;-6.615
5.2.1993;2.971;1.074;-6.614
6.2.1993;2.959;1.073;-6.613
7.2.1993;2.949;1.072;-6.611
8.2.1993;2.935;1.071;-6.609
9.2.1993;2.925;1.07;-6.608
10.2.1993;2.918;1.069;-6.606
11.2.1993;2.905;1.068;-6.604
12.2.1993;2.892;1.067;-6.602
13.2.1993;2.883;1.066;-6.601
14.2.1993;2.877;1.065;-6.598
15.2.1993;2.868;1.064;-6.597
16.2.1993;2.858;1.063;-6.596
17.2.1993;2.845;1.062;-6.594
18.2.1993;2.831;1.061;-6.592
19.2.1993;2.816;1.061;-6.589
20.2.1993;2.803;1.06;-6.588
21.2.1993;2.791;1.059;-6.586
22.2.1993;2.779;1.058;-6.585
23.2.1993;2.766;1.057;-6.584
24.2.1993;2.756;1.056;-6.583
25.2.1993;2.748;1.056;-6.581
26.2.1993;2.734;1.055;-6.579
27.2.1993;2.728;1.053;-6.577
28.2.1993;2.714;1.052;-6.576
1.3.1993;2.702;1.051;-6.574
2.3.1993;2.69;1.05;-6.572
3.3.1993;2.681;1.049;-6.57
4.3.1993;2.666;1.048;-6.569
5.3.1993;2.661;1.047;-6.567
6.3.1993;2.649;1.046;-6.565
7.3.1993;2.636;1.045;-6.562
8.3.1993;2.624;1.043;-6.56
9.3.1993;2.612;1.043;-6.559
10.3.1993;2.602;1.042;-6.558
11.3.1993;2.59;1.04;-6.557
12.3.1993;2.579;1.04;-6.555
13.3.1993;2.572;1.038;-6.552
14.3.1993;2.558;1.038;-6.55
15.3.1993;2.55;1.037;-6.548
16.3.1993;2.536;1.035;-6.546
17.3.1993;2.529;1.034;-6.544
18.3.1993;2.52;1.033;-6.543
19.3.1993;2.507;1.032;-6.541
20.3.1993;2.496;1.03;-6.539
21.3.1993;2.487;1.029;-6.537
22.3.1993;2.476;1.028;-6.535
23.3.1993;2.462;1.027;-6.532
24.3.1993;2.455;1.025;-6.531
25.3.1993;2.441;1.024;-6.528
26.3.1993;2.429;1.023;-6.526
27.3.1993;2.422;1.023;-6.524
28.3.1993;2.408;1.022;-6.522
29.3.1993;2.396;1.02;-6.52
30.3.1993;2.39;1.019;-6.518
31.3.1993;2.38;1.018;-6.517
1.4.1993;2.371;1.018;-6.516
2.4.1993;2.363;1.016;-6.514
3.4.1993;2.353;1.016;-6.513
4.4.1993;2.338;1.014;-6.512
5.4.1993;2.325;1.014;-6.511
6.4.1993;2.31;1.013;-6.51
7.4.1993;2.303;1.012;-6.509
8.4.1993;2.292;1.011;-6.507
9.4.1993;2.279;1.01;-6.505
10.4.1993;2.265;1.009;-6.504
11.4.1993;2.251;1.009;-6.501
12.4.1993;2.244;1.007;-6.5
13.4.1993;2.233;1.006;-6.498
14.4.1993;2.22;1.005;-6.497
15.4.1993;2.206;1.003;-6.495
16.4.1993;2.199;1.002;-6.492
17.4.1993;2.186;1.001;-6.49
18.4.1993;2.173;1.0;-6.489
19.4.1993;2.158;1.0;-6.486
20.4.1993;2.146;0.999;-6.484
21.4.1993;2.135;0.998;-6.482
22.4.1993;2.13;0.997;-6.481
23.4.1993;2.12;0.996;-6.479
24.4.1993;2.114;0.995;-6.477
25.4.1993;2.107;0.994;-6.475
26.4.1993;2.1;0.993;-6.474
27.4.1993;2.094;0.992;-6.473
28.4.1993;2.085;0.991;-6.471
29.4.1993;2.075;0.99;-6.47
30.4.1993;2.069;0.989;-6.468
1.5.1993;2.063;0.988;-6.466
2.5.1993;2.049;0.988;-6.464
3.5.1993;2.039;0.987;-6.463
4.5.1993;2.034;0.986;-6.46
5.5.1993;2.026;0.985;-6.459
6.5.1993;2.02;0.983;-6.458
7.5.1993;2.013;0.982;-6.456
8.5.1993;2.001;0.981;-6.453
9.5.1993;1.987;0.981;-6.451
10.5.1993;1.981;0.98;-6.449
11.5.1993;1.966;0.98;-6.447
12.5.1993;1.952;0.979;-6.446
13.5.1993;1.939;0.978;-6.445
14.5.1993;1.932;0.977;-6.444
15.5.1993;1.924;0.976;-6.442
16.5.1993;1.912;0.974;-6.44
17.5.1993;1.903;0.973;-6.439
18.5.1993;1.894;0.973;-6.438
19.5.1993;1.886;0.972;-6.436
20.5.1993;1.873;0.971;-6.435
21.5.1993;1.859;0.97;-6.433
22.5.1993;1.845;0.969;-6.432
23.5.1993;1.838;0.968;-6.43
24.5.1993;1.823;0.967;-6.428
25.5.1993;1.813;0.966;-6.426
26.5.1993;1.806;0.965;-6.424
27.5.1993;1.793;0.964;-6.422
28.5.1993;1.784;0.963;-6.42
29.5.1993;1.778;0.962;-6.418
30.5.1993;1.764;0.961;-6.417
31.5.1993;1.755;0.96;-6.414
1.6.1993;1.75;0.959;-6.413
2.6.1993;1.737;0.958;-6.412
3.6.1993;1.731;0.956;-6.409
4.6.1993;1.72;0.955;-6.408
5.6.1993;1.708;0.954;-6.406
6.6.1993;1.699;0.953;-6.405
7.6.1993;1.692;0.953;-6.403
8.6.1993;1.681;0.952;-6.401
9.6.1993;1.666;0.95;-6.4
10.6.1993;1.657;0.95;-6.399
11.6.1993;1.647;0.949;-6.397
12.6.1993;1.634;0.948;-6.395
13.6.1993;1.619;0.947;-6.394
14.6.1993;1.611;0.945;-6.393
15.6.1993;1.598;0.944;-6.391
16.6.1993;1.591;0.943;-6.389
17.6.1993;1.578;0.942;-6.388
18.6.1993;1.57;0.941;-6.387
19.6.1993;1.555;0.94;-6.385
20.6.1993;1.543;0.939;-6.383
21.6.1993;1.529;0.938;-6.381
22.6.1993;1.518;0.938;-6.378
23.6.1993;1.504;0.937;-6.377
24.6.1993;1.493;0.936;-6.376
25.6.1993;1.48;0.935;-6.375
26.6.1993;1.47;0.934;-6.373
27.6.1993;1.461;0.932;-6.372
28.6.1993;1.446;0.931;-6.371
29.6.1993;1.434;0.931;-6.368
30.6.1993;1.42;0.93;-6.367
1.7.1993;1.411;0.929;-6.365
2.7.1993;1.406;0.928;-6.363
3.7.1993;1.395;0.927;-6.362
4.7.1993;1.381;0.926;-6.361
5.7.1993;1.367;0.925;-6.359
6.7.1993;1.354;0.924;-6.358
7.7.1993;1.339;0.923;-6.356
8.7.1993;1.332;0.922;-6.354
9.7.1993;1.324;0.922;-6.352
10.7.1993;1.311;0.92;-6.35
11.7.1993;1.3;0.92;-6.349
12.7.1993;1.285;0.919;-6.347
13.7.1993;1.273;0.919;-6.346
14.7.1993;1.268;0.917;-6.344
15.7.1993;1.261;0.916;-6.343
16.7.1993;1.254;0.915;-6.341
17.7.1993;1.248;0.915;-6.34
18.7.1993;1.24;0.914;-6.338
19.7.1993;1.23;0.913;-6.336
20.7.1993;1.216;0.912;-6.335
21.7.1993;1.209;0.911;-6.333
22.7.1993;1.203;0.91;-6.331
23.7.1993;1.196;0.909;-6.329
24.7.1993;1.183;0.909;-6.328
25.7.1993;1.169;0.908;-6.326
26.7.1993;1.163;0.906;-6.325
27.7.1993;1.154;0.905;-6.323
28.7.1993;1.148;0.904;-6.321
29.7.1993;1.138;0.904;-6.319
30.7.1993;1.129;0.902;-6.317
31.7.1993;1.122;0.901;-6.314
1.8.1993;1.116;0.9;-6.313
2.8.1993;1.111;0.9;-6.311
3.8.1993;1.101;0.898;-6.31
4.8.1993;1.089;0.897;-6.308
