#Disneyland NPP, unit 15
#date;ao;fha;bc
08/03/1986;-6.57;1.494;6.123
08/04/1986;-6.559;1.493;6.113
08/05/1986;-6.554;1.491;6.1
08/06/1986;-6.55;1.491;6.093
08/07/1986;-6.545;1.49;6.087
08/08/1986;-6.539;1.489;6.081
08/09/1986;-6.534;1.488;6.07
08/10/1986;-6.53;1.487;6.058
08/11/1986;-6.522;1.485;6.046
08/12/1986;-6.517;1.484;6.034
08/13/1986;-6.511;1.484;6.026
08/14/1986;-6.504;1.482;6.019
08/15/1986;-6.501;1.481;6.013
08/16/1986;-6.498;1.48;5.998
08/17/1986;-6.493;1.479;5.991
08/18/1986;-6.487;1.478;5.983
08/19/1986;-6.483;1.478;5.972
08/20/1986;-6.477;1.477;5.966
08/21/1986;-6.474;1.476;5.961
08/22/1986;-6.471;1.475;5.946
08/23/1986;-6.466;1.474;5.933
08/24/1986;-6.463;1.473;5.924
08/25/1986;-6.46;1.472;5.913
08/26/1986;-6.458;1.47;5.905
08/27/1986;-6.455;1.469;5.895
08/28/1986;-6.453;1.468;5.886
08/29/1986;-6.45;1.466;5.872
08/30/1986;-6.446;1.465;5.859
08/31/1986;-6.442;1.464;5.853
09/01/1986;-6.439;1.463;5.845
09/02/1986;-6.435;1.463;5.836
09/03/1986;-6.432;1.462;5.826
09/04/1986;-6.428;1.461;5.814
09/05/1986;-6.424;1.46;5.799
09/06/1986;-6.42;1.459;5.793
09/07/1986;-6.416;1.458;5.781
09/08/1986;-6.411;1.458;5.774
09/09/1986;-6.407;1.456;5.768
09/10/1986;-6.405;1.456;5.761
09/11/1986;-6.401;1.454;5.753
09/12/1986;-6.397;1.453;5.74
09/13/1986;-6.394;1.452;5.735
09/14/1986;-6.39;1.451;5.726
09/15/1986;-6.388;1.45;5.714
09/16/1986;-6.386;1.449;5.703
09/17/1986;-6.384;1.449;5.689
09/18/1986;-6.382;1.448;5.683
09/19/1986;-6.379;1.447;5.673
09/20/1986;-6.375;1.446;5.658
09/21/1986;-6.372;1.445;5.653
09/22/1986;-6.367;1.445;5.644
09/23/1986;-6.366;1.443;5.629
09/24/1986;-6.363;1.443;5.618
09/25/1986;-6.359;1.441;5.609
09/26/1986;-6.356;1.441;5.596
09/27/1986;-6.353;1.44;5.591
09/28/1986;-6.349;1.439;5.576
09/29/1986;-6.345;1.438;5.565
09/30/1986;-6.343;1.436;5.555
10/01/1986;-6.339;1.436;5.548
10/02/1986;-6.336;1.435;5.543
10/03/1986;-6.333;1.434;5.53
10/04/1986;-6.329;1.434;5.524
10/05/1986;-6.326;1.433;5.514
10/06/1986;-6.324;1.432;5.504
10/07/1986;-6.322;1.43;5.498
10/08/1986;-6.32;1.429;5.484
10/09/1986;-6.317;1.428;5.477
10/10/1986;-6.313;1.427;5.47
10/11/1986;-6.31;1.426;5.456
10/12/1986;-6.306;1.425;5.45
10/13/1986;-6.303;1.425;5.438
10/14/1986;-6.301;1.424;5.427
10/15/1986;-6.298;1.424;5.421
10/16/1986;-6.295;1.423;5.412
10/17/1986;-6.292;1.422;5.407
10/18/1986;-6.289;1.421;5.395
10/19/1986;-6.288;1.42;5.385
10/20/1986;-6.286;1.419;5.377
10/21/1986;-6.283;1.418;5.367
10/22/1986;-6.28;1.418;5.356
10/23/1986;-6.276;1.416;5.343
10/24/1986;-6.275;1.416;5.331
10/25/1986;-6.272;1.415;5.323
10/26/1986;-6.269;1.413;5.313
10/27/1986;-6.267;1.412;5.305
10/28/1986;-6.265;1.412;5.291
10/29/1986;-6.262;1.411;5.28
10/30/1986;-6.261;1.409;5.266
10/31/1986;-6.258;1.409;5.257
11/01/1986;-6.255;1.408;5.248
11/02/1986;-6.252;1.407;5.239
11/03/1986;-6.25;1.406;5.23
11/04/1986;-6.246;1.404;5.216
11/05/1986;-6.243;1.403;5.203
11/06/1986;-6.241;1.403;5.194
11/07/1986;-6.238;1.402;5.185
11/08/1986;-6.235;1.4;5.179
11/09/1986;-6.234;1.399;5.166
11/10/1986;-6.23;1.398;5.152
11/11/1986;-6.227;1.397;5.14
11/12/1986;-6.223;1.396;5.127
11/13/1986;-6.22;1.395;5.116
11/14/1986;-6.218;1.394;5.107
11/15/1986;-6.215;1.394;5.102
11/16/1986;-6.214;1.392;5.091
11/17/1986;-6.212;1.391;5.085
11/18/1986;-6.208;1.39;5.073
11/19/1986;-6.207;1.389;5.059
11/20/1986;-6.205;1.388;5.053
11/21/1986;-6.204;1.387;5.044
11/22/1986;-6.203;1.387;5.039
11/23/1986;-6.199;1.386;5.033
11/24/1986;-6.198;1.384;5.022
11/25/1986;-6.195;1.383;5.01
11/26/1986;-6.193;1.382;5.004
11/27/1986;-6.191;1.382;4.998
11/28/1986;-6.189;1.38;4.986
11/29/1986;-6.187;1.38;4.973
11/30/1986;-6.184;1.379;4.96
12/01/1986;-6.183;1.378;4.946
12/02/1986;-6.181;1.377;4.936
12/03/1986;-6.18;1.375;4.924
12/04/1986;-6.176;1.375;4.913
12/05/1986;-6.173;1.373;4.908
12/06/1986;-6.172;1.373;4.894
12/07/1986;-6.17;1.372;4.883
12/08/1986;-6.168;1.371;4.875
12/09/1986;-6.166;1.369;4.869
