#Disneyland NPP, unit 16
#date;ao;bc;fha
23.5.1991;-6.352;5.663;1.33
24.5.1991;-6.34;5.654;1.329
25.5.1991;-6.328;5.64;1.328
26.5.1991;-6.322;5.633;1.327
27.5.1991;-6.317;5.62;1.326
28.5.1991;-6.309;5.606;1.325
29.5.1991;-6.305;5.597;1.323
30.5.1991;-6.301;5.59;1.323
31.5.1991;-6.295;5.576;1.322
1.6.1991;-6.291;5.563;1.321
2.6.1991;-6.286;5.557;1.32
3.6.1991;-6.282;5.548;1.319
4.6.1991;-6.277;5.541;1.318
5.6.1991;-6.27;5.53;1.317
6.6.1991;-6.265;5.517;1.317
7.6.1991;-6.26;5.51;1.316
8.6.1991;-6.254;5.501;1.314
9.6.1991;-6.249;5.493;1.313
10.6.1991;-6.243;5.487;1.312
11.6.1991;-6.24;5.476;1.311
12.6.1991;-6.236;5.467;1.31
13.6.1991;-6.231;5.458;1.309
14.6.1991;-6.227;5.447;1.307
15.6.1991;-6.224;5.439;1.306
16.6.1991;-6.219;5.432;1.305
17.6.1991;-6.215;5.424;1.305
18.6.1991;-6.212;5.418;1.304
19.6.1991;-6.208;5.405;1.303
20.6.1991;-6.203;5.394;1.302
21.6.1991;-6.2;5.382;1.3
22.6.1991;-6.198;5.369;1.299
23.6.1991;-6.194;5.36;1.299
24.6.1991;-6.19;5.345;1.298
25.6.1991;-6.187;5.34;1.297
26.6.1991;-6.183;5.33;1.296
27.6.1991;-6.181;5.325;1.296
28.6.1991;-6.179;5.315;1.295
29.6.1991;-6.176;5.306;1.294
30.6.1991;-6.174;5.3;1.293
1.7.1991;-6.171;5.286;1.291
2.7.1991;-6.166;5.28;1.29
3.7.1991;-6.163;5.274;1.289
4.7.1991;-6.16;5.26;1.287
5.7.1991;-6.158;5.252;1.286
6.7.1991;-6.154;5.243;1.285
7.7.1991;-6.152;5.237;1.284
8.7.1991;-6.148;5.231;1.283
9.7.1991;-6.144;5.224;1.282
10.7.1991;-6.14;5.211;1.281
11.7.1991;-6.135;5.204;1.28
12.7.1991;-6.131;5.194;1.279
13.7.1991;-6.129;5.184;1.278
14.7.1991;-6.125;5.173;1.277
15.7.1991;-6.123;5.159;1.277
16.7.1991;-6.119;5.148;1.276
17.7.1991;-6.116;5.136;1.275
18.7.1991;-6.114;5.13;1.274
19.7.1991;-6.111;5.123;1.273
20.7.1991;-6.107;5.11;1.272
21.7.1991;-6.104;5.095;1.271
22.7.1991;-6.102;5.082;1.269
23.7.1991;-6.101;5.069;1.268
24.7.1991;-6.096;5.062;1.267
25.7.1991;-6.093;5.051;1.266
26.7.1991;-6.089;5.045;1.265
27.7.1991;-6.088;5.037;1.264
28.7.1991;-6.084;5.022;1.263
29.7.1991;-6.082;5.01;1.262
30.7.1991;-6.078;4.998;1.262
31.7.1991;-6.075;4.985;1.261
1.8.1991;-6.072;4.978;1.26
2.8.1991;-6.07;4.97;1.258
3.8.1991;-6.067;4.962;1.257
4.8.1991;-6.064;4.955;1.257
5.8.1991;-6.061;4.942;1.255
6.8.1991;-6.06;4.931;1.255
7.8.1991;-6.057;4.922;1.253
8.8.1991;-6.054;4.908;1.253
9.8.1991;-6.051;4.895;1.252
10.8.1991;-6.049;4.884;1.251
11.8.1991;-6.047;4.875;1.25
12.8.1991;-6.046;4.866;1.249
13.8.1991;-6.043;4.859;1.248
14.8.1991;-6.041;4.846;1.247
15.8.1991;-6.039;4.832;1.246
16.8.1991;-6.036;4.818;1.245
17.8.1991;-6.033;4.809;1.245
18.8.1991;-6.03;4.797;1.243
19.8.1991;-6.026;4.788;1.242
20.8.1991;-6.023;4.775;1.241
21.8.1991;-6.019;4.766;1.24
22.8.1991;-6.017;4.752;1.239
23.8.1991;-6.013;4.747;1.238
24.8.1991;-6.01;4.741;1.237
25.8.1991;-6.007;4.728;1.235
26.8.1991;-6.004;4.717;1.235
27.8.1991;-6.001;4.704;1.234
28.8.1991;-5.999;4.69;1.232
29.8.1991;-5.997;4.681;1.232
30.8.1991;-5.994;4.667;1.231
31.8.1991;-5.993;4.659;1.23
1.9.1991;-5.991;4.65;1.229
2.9.1991;-5.989;4.644;1.227
3.9.1991;-5.986;4.634;1.227
4.9.1991;-5.984;4.623;1.226
5.9.1991;-5.98;4.614;1.225
6.9.1991;-5.979;4.605;1.224
7.9.1991;-5.977;4.592;1.223
8.9.1991;-5.973;4.581;1.223
9.9.1991;-5.971;4.567;1.222
10.9.1991;-5.969;4.552;1.221
11.9.1991;-5.966;4.541;1.22
12.9.1991;-5.963;4.526;1.219
13.9.1991;-5.96;4.518;1.219
14.9.1991;-5.958;4.508;1.217
15.9.1991;-5.957;4.5;1.216
16.9.1991;-5.954;4.486;1.215
17.9.1991;-5.952;4.48;1.215
18.9.1991;-5.949;4.474;1.214
19.9.1991;-5.946;4.466;1.214
20.9.1991;-5.945;4.454;1.213
21.9.1991;-5.942;4.44;1.212
22.9.1991;-5.941;4.431;1.21
23.9.1991;-5.938;4.424;1.21
24.9.1991;-5.935;4.417;1.208
25.9.1991;-5.932;4.41;1.207
26.9.1991;-5.93;4.403;1.206
27.9.1991;-5.928;4.393;1.205
28.9.1991;-5.925;4.378;1.204
29.9.1991;-5.923;4.367;1.202
30.9.1991;-5.921;4.362;1.202
1.10.1991;-5.919;4.351;1.201
2.10.1991;-5.917;4.345;1.2
3.10.1991;-5.915;4.334;1.199
4.10.1991;-5.912;4.326;1.199
5.10.1991;-5.909;4.318;1.197
6.10.1991;-5.906;4.306;1.196
7.10.1991;-5.905;4.292;1.195
8.10.1991;-5.903;4.286;1.194
9.10.1991;-5.902;4.275;1.193
10.10.1991;-5.9;4.26;1.192
11.10.1991;-5.898;4.246;1.191
12.10.1991;-5.897;4.237;1.19
13.10.1991;-5.894;4.228;1.189
14.10.1991;-5.892;4.22;1.188
15.10.1991;-5.889;4.212;1.188
16.10.1991;-5.887;4.203;1.187
17.10.1991;-5.886;4.191;1.185
18.10.1991;-5.884;4.178;1.185
19.10.1991;-5.881;4.169;1.184
20.10.1991;-5.877;4.158;1.182
21.10.1991;-5.875;4.152;1.181
22.10.1991;-5.874;4.141;1.18
23.10.1991;-5.873;4.131;1.179
24.10.1991;-5.87;4.118;1.178
25.10.1991;-5.867;4.11;1.177
26.10.1991;-5.865;4.1;1.176
27.10.1991;-5.863;4.094;1.175
28.10.1991;-5.861;4.081;1.174
29.10.1991;-5.859;4.074;1.173
30.10.1991;-5.857;4.065;1.172
31.10.1991;-5.855;4.053;1.171
1.11.1991;-5.852;4.041;1.17
2.11.1991;-5.851;4.032;1.169
3.11.1991;-5.847;4.023;1.168
4.11.1991;-5.845;4.017;1.167
5.11.1991;-5.842;4.009;1.165
6.11.1991;-5.839;3.996;1.164
7.11.1991;-5.838;3.982;1.163
8.11.1991;-5.836;3.971;1.162
9.11.1991;-5.835;3.965;1.161
10.11.1991;-5.832;3.958;1.16
11.11.1991;-5.831;3.95;1.159
12.11.1991;-5.828;3.944;1.158
13.11.1991;-5.827;3.929;1.157
14.11.1991;-5.825;3.923;1.157
15.11.1991;-5.824;3.91;1.156
16.11.1991;-5.821;3.896;1.155
17.11.1991;-5.819;3.886;1.154
18.11.1991;-5.816;3.879;1.153
19.11.1991;-5.814;3.873;1.152
20.11.1991;-5.811;3.866;1.151
21.11.1991;-5.81;3.859;1.15
22.11.1991;-5.807;3.853;1.148
23.11.1991;-5.805;3.843;1.147
24.11.1991;-5.804;3.835;1.146
25.11.1991;-5.801;3.829;1.145
26.11.1991;-5.798;3.814;1.144
27.11.1991;-5.796;3.802;1.142
28.11.1991;-5.793;3.788;1.142
29.11.1991;-5.79;3.776;1.141
30.11.1991;-5.788;3.766;1.14
1.12.1991;-5.787;3.759;1.139
2.12.1991;-5.785;3.748;1.137
3.12.1991;-5.782;3.736;1.137
4.12.1991;-5.78;3.721;1.135
5.12.1991;-5.778;3.709;1.135
6.12.1991;-5.777;3.697;1.134
7.12.1991;-5.775;3.684;1.133
8.12.1991;-5.773;3.673;1.132
9.12.1991;-5.771;3.66;1.131
10.12.1991;-5.768;3.652;1.13
11.12.1991;-5.767;3.641;1.129
12.12.1991;-5.765;3.633;1.127
13.12.1991;-5.763;3.625;1.126
14.12.1991;-5.762;3.613;1.125
15.12.1991;-5.759;3.601;1.124
16.12.1991;-5.758;3.595;1.124
17.12.1991;-5.755;3.587;1.123
18.12.1991;-5.753;3.582;1.122
19.12.1991;-5.75;3.577;1.121
20.12.1991;-5.748;3.567;1.12
21.12.1991;-5.746;3.554;1.119
22.12.1991;-5.743;3.544;1.118
23.12.1991;-5.742;3.533;1.117
24.12.1991;-5.739;3.519;1.116
25.12.1991;-5.737;3.513;1.114
26.12.1991;-5.735;3.503;1.113
27.12.1991;-5.734;3.491;1.112
28.12.1991;-5.732;3.482;1.111
29.12.1991;-5.73;3.467;1.11
30.12.1991;-5.728;3.453;1.109
31.12.1991;-5.726;3.439;1.108
1.1.1992;-5.723;3.43;1.107
2.1.1992;-5.72;3.42;1.105
3.1.1992;-5.718;3.405;1.105
4.1.1992;-5.715;3.392;1.104
5.1.1992;-5.714;3.379;1.103
6.1.1992;-5.713;3.374;1.102
7.1.1992;-5.711;3.368;1.1
8.1.1992;-5.709;3.362;1.099
9.1.1992;-5.708;3.349;1.098
10.1.1992;-5.706;3.341;1.097
11.1.1992;-5.704;3.328;1.096
12.1.1992;-5.701;3.321;1.095
13.1.1992;-5.699;3.309;1.095
14.1.1992;-5.698;3.296;1.094
15.1.1992;-5.697;3.288;1.093
16.1.1992;-5.696;3.28;1.093
17.1.1992;-5.694;3.27;1.092
18.1.1992;-5.692;3.256;1.091
