# label : secret experiment #1001
# x : time signal
#y3 y2 time y4 y1
0.2837 0.3518 0.01 0.3692 0.2811
0.5711 0.6568 0.02 0.8273 -0.4257
0.8609 0.9402 0.03 0.9758 0.784
1.1239 1.3097 0.04 1.1623 -0.6371
1.4223 1.4147 0.05 1.2924 1.1145
1.5941 1.5703 0.06 1.1868 -0.7862
1.787 1.9489 0.07 1.2025 1.1405
1.8065 1.8315 0.08 0.8678 -0.5978
2.173 1.933 0.09 0.6337 1.0345
2.0127 2.0086 0.1 0.4247 -0.178
2.3449 1.8736 0.11 0.1599 0.7072
2.2503 1.7892 0.12 -0.0219 0.43
2.0964 1.5463 0.13 -0.0953 0.3047
2.1456 1.4733 0.14 -0.0561 0.9378
1.9029 1.3065 0.15 0.0912 -0.0889
1.7975 1.025 0.16 0.3754 1.4995
1.5623 0.7637 0.17 0.6746 -0.2747
1.4956 0.456 0.18 1.142 1.7689
1.0866 0.1832 0.19 1.345 -0.2791
0.835 -0.1192 0.2 1.7376 1.5622
0.6397 -0.3445 0.21 1.946 -0.0079
0.39 -0.6333 0.22 2.1028 1.3368
0.1131 -0.8726 0.23 2.2055 0.4315
-0.1622 -1.146 0.24 2.4003 1.0475
-0.3787 -1.0931 0.25 2.3212 1.0041
-0.5666 -1.4339 0.26 1.8155 0.5775
-0.8879 -1.4305 0.27 1.6872 1.4183
-1.057 -1.446 0.28 1.4714 0.2096
-1.0957 -1.3061 0.29 0.9857 1.9956
-1.3752 -1.4119 0.3 0.8336 0.0624
-1.2571 -1.0774 0.31 0.7841 1.9561
-1.3299 -1.1033 0.32 0.6452 0.1565
-1.3916 -0.963 0.33 0.8467 1.8132
-1.466 -0.7262 0.34 0.9325 0.5359
-1.3996 -0.4312 0.35 1.2428 1.668
-1.2609 -0.2253 0.36 1.5011 0.9971
-1.0309 -0.0183 0.37 2.1222 1.2787
-0.8077 0.2097 0.38 2.4542 1.4778
-0.7247 0.4136 0.39 2.7984 0.7557
-0.4741 0.6643 0.4 2.6482 2.1273
-0.204 0.732 0.41 2.5891 0.4515
0.0594 0.8697 0.42 2.8429 2.239
0.3203 1.1089 0.43 2.3554 0.4052
0.5414 1.0879 0.44 2.2686 2.3705
0.8957 1.32 0.45 2.1049 0.585
1.0835 1.1566 0.46 1.4848 2.0168
1.4068 1.2639 0.47 1.1941 0.9688
1.7199 1.1876 0.48 1.0651 1.7255
1.9735 1.1984 0.49 0.8328 1.5838
2.1206 1.0789 0.5 0.7082 1.2461
2.1447 0.9488 0.51 0.6376 2.0023
2.2666 0.9735 0.52 0.8672 0.7666
2.2399 0.8397 0.53 1.0815 2.5857
2.4414 0.7875 0.54 1.3161 0.5764
2.3201 0.6135 0.55 1.752 2.5149
2.3091 0.535 0.56 1.7804 0.5753
2.399 0.4092 0.57 2.0179 2.5093
2.4328 0.3406 0.58 2.5012 0.8381
2.295 0.2873 0.59 2.1589 2.3059
