# label : secret experiment #5171
# x : time signal
#time y4 y2 y3 y5 y1
0.01 0.3508 0.2515 0.3752 0.2733 0.7721
0.02 0.6972 -0.2877 0.6929 0.5537 -0.814
0.03 0.9723 0.671 0.9026 0.8685 0.8283
0.04 1.1332 -0.5602 1.114 1.1121 0.7253
0.05 1.3095 0.9593 1.0591 1.211 -0.5245
0.06 1.2217 -0.68 1.0287 1.3307 1.3704
0.07 1.1929 1.3996 0.8295 1.499 0.4171
0.08 1.0404 -0.6337 0.4267 1.7853 0.0248
0.09 0.9329 1.4207 0.1274 1.6212 1.6787
0.1 0.6674 -0.5007 -0.1841 1.683 0.1432
0.11 0.3994 1.1585 -0.4101 1.6786 0.6705
0.12 0.1899 -0.2179 -0.5637 1.7883 1.7599
0.13 -0.0194 1.0872 -0.6543 1.6458 0.0623
0.14 -0.1743 0.2018 -0.5245 1.5896 1.3053
0.15 -0.2326 0.843 -0.3391 1.7177 1.6366
0.16 -0.1975 0.6598 -0.039 1.5006 0.1957
0.17 -0.1243 0.4853 0.3172 1.4046 1.861
0.18 0.0613 1.0308 0.6871 1.151 1.2828
0.19 0.2961 0.1928 1.1599 1.2095 0.5853
0.2 0.6711 1.535 1.2985 0.9626 2.4751
0.21 0.8733 -0.0155 1.6412 0.8239 0.9052
0.22 1.1751 1.9034 1.6879 0.7634 1.1036
0.23 1.6296 -0.1006 1.471 0.7396 2.2126
0.24 2.043 1.9887 1.291 0.6618 0.6036
0.25 1.946 -0.0247 1.1134 0.7225 1.6236
0.26 1.9798 1.8151 0.7335 0.6765 2.0309
0.27 2.4053 0.1753 0.3512 0.7888 0.4135
0.28 2.1542 1.6633 0.0804 0.8497 2.0132
0.29 1.9903 0.5568 -0.1333 0.8965 1.6288
0.3 1.8621 1.4229 -0.209 1.024 0.5956
0.31 1.453 0.9488 -0.1677 1.1172 2.4794
0.32 1.1947 1.1867 -0.0029 1.3452 1.0849
0.33 0.9087 1.4595 0.2785 1.676 0.9638
0.34 0.7064 0.7474 0.6597 1.6709 2.1307
0.35 0.6381 1.621 0.9376 1.9859 0.5219
0.36 0.4729 0.4762 1.2702 1.9923 1.4093
0.37 0.4582 2.2749 1.7994 2.1315 2.0786
0.38 0.5633 0.3327 1.8414 2.199 0.1906
0.39 0.6808 2.4533 2.0539 2.4594 1.8139
0.4 0.8121 0.2661 2.0343 2.3679 1.309
0.41 1.1195 2.279 1.7947 2.609 0.1491
0.42 1.5606 0.4233 1.4941 2.5098 1.9242
0.43 1.8728 1.9271 1.2932 2.6868 0.7314
0.44 2.2046 0.6391 0.8167 2.4825 0.2867
0.45 2.2728 1.9531 0.5848 2.3678 1.8634
0.46 2.7129 0.9372 0.2762 2.0135 0.1056
0.47 2.6014 1.6 0.1834 1.983 0.6084
0.48 2.8155 1.4459 0.149 1.669 1.6552
0.49 2.286 0.9983 0.263 1.5975 -0.3113
0.5 2.1261 1.6129 0.5603 1.3779 0.8997
0.51 2.2443 0.7621 0.8404 1.1813 1.0024
0.52 1.6928 2.2643 1.2215 0.888 -0.5435
0.53 1.3983 0.4515 1.7304 0.5903 1.2053
0.54 1.2438 2.4249 1.8053 0.3856 0.2856
0.55 0.9823 0.3417 1.9572 0.165 -0.4291
0.56 0.7462 2.3734 2.2747 -0.0339 1.2095
0.57 0.5991 0.3302 2.4512 -0.2051 -0.2966
0.58 0.5211 2.1289 2.3413 -0.3254 -0.0829
0.59 0.5166 0.4657 1.9424 -0.4699 1.0161
0.6 0.5925 2.0444 1.6439 -0.4876 -0.71
0.61 0.9147 0.7131 1.2753 -0.5233 0.3246
0.62 1.0487 1.6145 0.9856 -0.5938 0.6312
0.63 1.3117 1.0375 0.6935 -0.5005 -0.8779
0.64 1.6408 1.1016 0.4454 -0.4698 0.6832
0.65 1.7763 1.5933 0.3954 -0.4123 0.0835
0.66 2.1678 0.8049 0.4326 -0.2958 -0.8021
0.67 2.3972 1.64 0.6145 -0.1563 0.94
0.68 2.1909 0.4071 0.8842 -0.0308 -0.4362
0.69 2.3429 1.8962 1.3909 0.1004 -0.4966
0.7 2.2132 0.1645 1.78 0.2478 0.9313
0.71 1.9258 2.2185 2.0383 0.389 -0.8427
0.72 1.6873 0.0784 2.1038 0.4899 0.0651
0.73 1.4646 2.0508 2.4362 0.5827 0.7185
0.74 1.2165 0.1208 2.3013 0.6416 -0.9512
0.75 0.7592 1.7933 2.3824 0.6409 0.5798
0.76 0.5063 0.2969 2.037 0.7695 0.3442
0.77 0.3181 1.55 1.8599 0.7219 -0.8121
0.78 0.1196 0.6196 1.5965 0.7063 1.0547
0.79 0.0402 0.9611 1.1473 0.5681 -0.0858
0.8 0.0358 1.0274 0.9252 0.5079 -0.371
0.81 0.1127 0.5659 0.6272 0.36 1.1315
0.82 0.2513 1.1461 0.5418 0.2487 -0.4154
0.83 0.5061 0.1671 0.5393 0.0798 0.2558
0.84 0.7772 1.5793 0.6462 -0.0988 1.2627
0.85 0.9957 -0.1416 0.9554 -0.2937 -0.4682
0.86 1.321 1.7149 1.1931 -0.4484 0.8841
0.87 1.3617 -0.3267 1.7404 -0.5831 0.9409
0.88 1.5009 1.6663 2.0492 -0.8539 -0.2977
0.89 1.7888 -0.3486 2.1637 -0.8648 1.6702
0.9 1.6961 1.4875 2.3105 -1.1024 0.6096
0.91 1.5805 -0.2153 2.6438 -1.0934 0.1277
0.92 1.5461 1.2764 2.7196 -1.1538 2.0296
0.93 1.0575 0.0184 2.4712 -1.2688 0.3472
0.94 0.7944 0.7177 2.0304 -1.249 0.8586
0.95 0.5099 0.3331 1.6003 -1.3247 2.0041
0.96 0.2221 0.3308 1.3195 -1.1811 0.2546
0.97 -0.0823 0.6881 0.9032 -1.098 1.4898
0.98 -0.3525 -0.1268 0.7095 -0.8615 1.9641
0.99 -0.5435 0.8935 0.5931 -0.7695 0.3169
1.0 -0.5736 -0.5068 0.512 -0.5124 2.0712
1.01 -0.5781 1.2568 0.6407 -0.352 1.4558
1.02 -0.583 -0.7381 0.8844 -0.1512 0.696
1.03 -0.4095 1.1357 1.0876 0.0691 2.4141
1.04 -0.1729 -0.7663 1.494 0.278 1.159
1.05 0.0808 1.0137 1.9606 0.4911 1.2652
1.06 0.3688 -0.7597 1.9855 0.6714 2.6224
1.07 0.6251 0.8894 2.2965 0.9186 0.8886
1.08 0.8561 -0.554 2.3158 1.0393 1.7727
1.09 1.1045 0.509 2.4584 1.1342 2.4856
1.1 1.1844 -0.231 2.4509 1.1779 0.7158
1.11 1.0636 0.1158 2.2315 1.1652 2.1805
1.12 1.0575 0.1254 1.814 1.2766 1.936
1.13 0.9557 -0.3241 1.3356 1.319 1.0418
1.14 0.7054 0.494 1.024 1.183 2.5228
1.15 0.433 -0.6384 0.6304 1.0452 1.422
1.16 0.0914 0.6968 0.5377 0.9598 1.2953
1.17 -0.2245 -0.9864 0.3923 0.7534 3.0148
1.18 -0.4892 0.8025 0.4748 0.6188 1.0932
1.19 -0.7831 -1.0928 0.6109 0.4781 1.8993
1.2 -0.8375 0.936 0.8579 0.2996 2.7643
1.21 -0.9485 -1.0939 1.1823 0.1477 0.6983
