# label : secret experiment #5480
# y : intensity
#y5 y3 y2 time y4 y1
0.3072 1.0633 0.397 0.01 0.1872 0.1885
0.6164 0.5989 0.805 0.02 0.3412 0.3677
0.9497 -0.5781 1.0134 0.03 0.5628 0.5153
1.0542 -0.3443 1.4437 0.04 0.6519 0.69
1.4384 1.146 1.688 0.05 0.9018 0.8241
1.385 1.5955 2.0036 0.06 0.8828 0.9647
1.5831 0.4357 1.9236 0.07 1.034 1.0656
1.5971 -0.258 1.9903 0.08 1.2178 1.3744
1.8772 0.6423 2.3082 0.09 1.3196 1.4394
1.7165 1.8281 2.0042 0.1 1.3398 1.495
1.611 1.5481 1.984 0.11 1.4996 1.5711
1.7383 0.2913 1.6879 0.12 1.5107 1.5122
1.5687 0.3508 1.5692 0.13 1.4658 1.4806
1.3776 1.5242 1.5303 0.14 1.5279 1.5258
1.143 2.0933 1.3464 0.15 1.4423 1.4452
0.9957 1.3812 0.9975 0.16 1.626 1.4658
0.8036 0.3882 0.7654 0.17 1.5414 1.5008
0.5993 1.1923 0.5482 0.18 1.4771 1.3941
0.4544 2.5462 0.3843 0.19 1.4681 1.3836
0.3004 2.086 0.2433 0.2 1.2926 1.308
0.1708 0.8714 0.1376 0.21 1.2346 1.2104
0.0597 0.6131 0.0749 0.22 1.1223 1.2638
-0.0054 1.9014 0.0502 0.23 1.1147 0.9664
-0.0405 2.3642 0.0583 0.24 0.8651 0.8856
-0.04 1.6869 0.1122 0.25 0.9068 0.7988
-0.0094 0.7154 0.1877 0.26 0.7636 0.7531
0.0517 1.1419 0.3409 0.27 0.7063 0.647
0.1281 2.2139 0.3946 0.28 0.6165 0.6439
0.2252 2.1663 0.5904 0.29 0.5127 0.4765
0.3452 1.0794 0.6762 0.3 0.3631 0.4301
0.4792 0.6813 0.7482 0.31 0.3588 0.3988
0.5659 1.7893 0.8345 0.32 0.293 0.3642
0.7598 2.3702 0.9313 0.33 0.2308 0.3683
0.7071 1.7731 0.8936 0.34 0.2294 0.3613
0.8849 0.5538 1.0132 0.35 0.1984 0.376
0.8062 0.7567 0.9195 0.36 0.2281 0.405
0.8769 2.1971 0.8678 0.37 0.2338 0.4229
0.8089 2.2201 0.8483 0.38 0.2662 0.4754
0.8414 0.9243 0.7049 0.39 0.3044 0.6015
0.6468 0.2472 0.5208 0.4 0.4428 0.6091
0.5513 1.2099 0.335 0.41 0.4822 0.7052
0.3589 2.0847 0.2134 0.42 0.5887 0.945
0.1381 1.5072 0.0681 0.43 0.6587 0.8936
-0.0661 0.2049 -0.0389 0.44 0.7548 1.0458
-0.2931 0.2553 -0.1225 0.45 0.9196 1.2448
-0.5253 1.5093 -0.1816 0.46 1.0541 1.4017
-0.7683 1.7799 -0.1874 0.47 1.0799 1.5771
-0.921 0.6174 -0.1162 0.48 1.3057 1.6474
-1.2217 -0.2643 -0.0255 0.49 1.4341 1.6782
-1.3045 0.4115 0.1247 0.5 1.4669 1.8907
-1.3743 1.5019 0.2819 0.51 1.6622 2.0688
-1.6976 1.1146 0.4952 0.52 1.7979 2.0349
-1.6384 -0.1876 0.8576 0.53 1.7346 2.0145
-1.6031 -0.3833 1.0225 0.54 1.8019 2.1088
-1.6186 0.8042 1.3379 0.55 2.226 2.4086
-1.2958 1.3964 1.6106 0.56 2.0608 2.3319
