# x : time signal
# y : signal strength
#time y5 y4 y2 y6 y1 y3
0.01 0.2539 0.3596 0.2051 0.5211 0.2201 0.3893
0.02 0.4476 0.7025 0.3847 0.8978 0.4306 0.795
0.03 0.6963 0.9406 0.5939 1.1178 0.6071 1.0125
0.04 0.8511 1.2941 0.7049 1.2867 0.7361 1.4002
0.05 1.1873 1.5712 0.8107 1.0561 1.0517 1.4852
0.06 1.1813 1.61 1.1139 0.6706 1.0998 1.7907
0.07 1.318 1.9097 1.2126 0.2658 1.2305 1.725
0.08 1.3968 1.8325 1.3646 -0.1128 1.3295 1.7724
0.09 1.6308 2.3037 1.2556 -0.3665 1.3549 1.8885
0.1 1.5146 2.2123 1.3842 -0.3504 1.526 1.6655
0.11 1.6545 2.1807 1.4261 -0.1627 1.4164 1.476
0.12 1.6639 2.0333 1.532 0.2179 1.4119 1.1847
0.13 1.5317 1.9508 1.5414 0.793 1.3676 1.0515
0.14 1.6035 1.7968 1.5341 1.2394 1.2792 0.6754
0.15 1.5269 1.3556 1.4905 1.6853 1.1323 0.4188
0.16 1.2395 1.0689 1.5352 1.9158 1.0153 0.1723
0.17 1.1706 0.9818 1.4156 1.8019 0.967 -0.0665
0.18 1.0558 0.6153 1.4762 1.7147 0.8421 -0.2831
0.19 0.9141 0.3741 1.3961 1.4254 0.7328 -0.4579
0.2 0.7723 0.093 1.2769 0.9773 0.596 -0.5137
0.21 0.6704 -0.1925 0.9879 0.566 0.527 -0.5897
0.22 0.5045 -0.4167 0.9619 0.276 0.3508 -0.5931
0.23 0.3877 -0.5892 0.82 0.173 0.2988 -0.5478
0.24 0.3654 -0.7415 0.7961 0.3052 0.1999 -0.5043
0.25 0.2826 -0.8773 0.7065 0.6634 0.1608 -0.3638
0.26 0.3059 -1.1112 0.6155 1.2125 0.1572 -0.2352
0.27 0.332 -1.1112 0.5411 1.6173 0.1413 -0.088
0.28 0.3738 -1.153 0.4678 1.9583 0.19 0.0293
0.29 0.426 -1.1581 0.4377 2.4383 0.2196 0.135
0.3 0.514 -0.9569 0.3782 2.427 0.319 0.2157
0.31 0.5724 -0.8359 0.3277 1.9699 0.4146 0.2592
0.32 0.8235 -0.7447 0.3474 1.4795 0.5889 0.2325
0.33 0.8904 -0.5422 0.3753 1.0989 0.6922 0.1991
0.34 1.0495 -0.3645 0.4402 0.7471 0.8944 0.1599
0.35 1.0964 -0.1599 0.4681 0.3897 1.0642 0.0382
0.36 1.3895 0.0796 0.5944 0.2231 1.2407 -0.0898
0.37 1.5174 0.2921 0.6666 0.3098 1.5056 -0.2437
0.38 1.7955 0.4871 0.7083 0.5259 1.7234 -0.4175
0.39 1.6052 0.7509 0.8411 1.0266 1.9762 -0.5512
0.4 1.8389 0.9839 1.0222 1.3427 2.1412 -0.6902
0.41 2.0726 1.1432 1.2917 1.6562 2.2437 -0.7766
0.42 2.074 1.3573 1.3966 1.9621 2.1865 -0.8347
0.43 2.1853 1.3358 1.4203 2.0102 2.5821 -0.7084
0.44 1.8846 1.3419 1.6831 1.8968 2.6469 -0.741
0.45 2.0271 1.4638 1.7524 1.4854 2.5957 -0.5948
0.46 1.968 1.7229 2.1256 0.8934 2.3984 -0.3826
0.47 1.6403 1.5256 2.2882 0.3654 2.8674 -0.1169
0.48 1.526 1.6916 2.3382 -0.0261 2.415 0.173
0.49 1.4409 1.4242 2.6104 -0.2212 2.4236 0.4815
0.5 1.1176 1.2996 2.3269 -0.1663 2.42 0.8256
0.51 0.8926 1.2371 2.3989 0.0587 2.4164 1.1996
0.52 0.7686 1.3563 2.4271 0.4501 2.1825 1.3553
0.53 0.5454 1.2162 2.8916 0.9215 2.2185 1.8868
0.54 0.2526 1.1113 2.8678 1.1958 1.821 2.0265
0.55 0.0504 0.9907 2.6654 1.5736 1.7753 2.3144
0.56 -0.1471 0.9953 2.7373 1.4708 1.6446 2.3745
0.57 -0.3213 0.8956 2.5638 1.1167 1.5355 2.4365
0.58 -0.5025 0.8668 2.7879 0.8784 1.3439 2.2949
0.59 -0.6814 0.7103 2.4312 0.3157 1.1383 2.4626
0.6 -0.8042 0.6979 2.599 -0.2135 1.0627 1.9052
0.61 -0.8256 0.7646 2.2442 -0.6612 0.8648 1.6601
0.62 -0.9112 0.7293 2.3391 -0.9007 0.8156 1.6347
0.63 -0.9672 0.7282 2.2599 -0.825 0.7561 1.0729
0.64 -0.927 0.7583 1.7965 -0.5509 0.7082 0.7973
0.65 -0.7624 0.7842 1.7727 -0.2149 0.6446 0.4232
0.66 -0.8271 0.9132 1.803 0.2225 0.6485 0.0684
0.67 -0.6041 0.9476 1.4192 0.5961 0.7962 -0.2486
0.68 -0.4959 1.0531 1.4642 0.9048 0.8763 -0.5626
0.69 -0.4181 1.1272 1.2411 0.8346 0.9959 -0.8245
0.7 -0.2412 1.0445 1.0507 0.6347 1.0257 -0.9203
0.71 -0.0722 1.1954 0.9902 0.3218 1.118 -1.1694
0.72 0.0868 1.1129 0.7923 -0.17 1.3195 -1.134
0.73 0.2198 1.0214 0.688 -0.6472 1.5807 -1.1559
0.74 0.3441 1.1514 0.6363 -1.0144 1.4897 -0.9955
0.75 0.5229 1.0097 0.5637 -1.2745 1.6051 -0.7733
0.76 0.6668 1.0233 0.6013 -1.2469 1.9121 -0.6683
0.77 0.6925 0.8582 0.5406 -0.9315 1.9112 -0.4121
0.78 0.7117 0.8273 0.4796 -0.6235 2.2335 -0.1314
0.79 0.8079 0.7908 0.5142 -0.149 2.1102 0.1217
0.8 0.7228 0.6586 0.6177 0.3131 2.5643 0.3817
0.81 0.6809 0.5313 0.6075 0.613 2.3065 0.5706
0.82 0.6508 0.3853 0.6536 0.6525 2.2278 0.6788
0.83 0.6698 0.2894 0.8182 0.5247 2.4525 0.8997
0.84 0.5005 0.209 0.8242 0.2752 2.1978 1.0415
0.85 0.429 0.137 0.9697 -0.1806 2.2938 0.9684
0.86 0.2954 0.0718 1.0942 -0.5821 2.2762 1.0292
0.87 0.1437 0.0433 1.243 -1.0738 2.0612 1.0843
0.88 -0.0024 0.0367 1.3379 -1.2065 2.0265 0.8838
0.89 -0.1315 0.0657 1.515 -1.0797 1.773 0.9275
0.9 -0.2847 0.1243 1.4863 -0.866 1.4478 0.7119
0.91 -0.4159 0.2133 1.7793 -0.5056 1.4238 0.59
0.92 -0.5138 0.3361 1.7775 0.0201 1.1497 0.5859
0.93 -0.6168 0.4635 1.9011 0.5396 0.9966 0.5058
0.94 -0.6463 0.6241 1.8351 0.8764 0.8122 0.517
0.95 -0.6912 0.8731 2.0089 0.9362 0.5885 0.5019
0.96 -0.6233 0.9802 2.1226 1.0322 0.4337 0.5744
0.97 -0.5624 1.2672 2.0316 0.6495 0.2907 0.6586
0.98 -0.4455 1.4619 1.878 0.2797 0.1353 0.8041
0.99 -0.4091 1.7893 1.8977 -0.1207 0.028 0.996
