# y : intensity
# x : time signal
#y3 y1 y4 y2 y5 time
0.1582 0.3581 1.0791 0.1677 1.5437 0.01
0.3043 0.657 1.1831 0.3327 0.6053 0.02
0.4788 0.9904 0.4958 0.5212 0.2327 0.03
0.6255 1.0371 -0.2266 0.6598 1.6499 0.04
0.7945 1.2358 -0.2656 0.8521 0.9974 0.05
0.8539 1.2005 0.6129 0.857 -1.0247 0.06
0.9874 1.0595 1.4804 1.0934 -0.7395 0.07
1.0729 0.8704 2.0866 1.1769 0.1843 0.08
1.2588 0.5798 1.2619 1.2458 -0.8397 0.09
1.359 0.2774 0.3649 1.3618 -1.2897 0.1
1.5014 -0.0103 0.1117 1.2669 0.8585 0.11
1.3736 -0.2554 0.7106 1.466 1.5727 0.12
1.6908 -0.4155 1.7256 1.3869 0.3255 0.13
1.5663 -0.56 1.9524 1.3694 0.9011 0.14
1.7183 -0.5319 1.4119 1.3741 2.2743 0.15
1.6484 -0.4781 0.392 1.5893 0.6447 0.16
1.7379 -0.2513 -0.1517 1.3987 -0.8884 0.17
1.5434 -0.0 0.2641 1.2988 0.1113 0.18
1.5542 0.3356 1.0519 1.3725 0.2411 0.19
1.7285 0.7167 1.6452 1.1762 -1.3051 0.2
1.6809 1.0794 1.008 1.064 -0.6321 0.21
1.5311 1.1835 -0.0958 1.1845 1.391 0.22
1.5741 1.4242 -0.87 0.9524 1.2093 0.23
1.5032 1.569 -0.6136 0.9001 0.4615 0.24
1.4275 1.7243 0.223 0.7787 1.9266 0.25
1.2681 1.7779 0.7736 0.6734 2.2931 0.26
1.2345 1.6268 0.3549 0.5897 0.3236 0.27
1.1442 1.3938 -0.6399 0.5243 -0.2626 0.28
1.0781 0.9987 -1.5193 0.4333 0.7798 0.29
0.8873 0.7275 -1.2267 0.3972 -0.0255 0.3
0.9177 0.517 -0.5545 0.3455 -1.3113 0.31
0.7361 0.2344 0.2561 0.2484 0.1937 0.32
0.6459 0.0708 0.1179 0.214 1.5302 0.33
0.5919 -0.02 -0.7333 0.2053 0.7884 0.34
0.5256 -0.0107 -1.6306 0.2205 0.8163 0.35
0.4573 0.0895 -1.6569 0.2187 2.3135 0.36
0.4494 0.3007 -0.6229 0.2474 2.2331 0.37
0.4118 0.5713 0.3203 0.2667 0.1765 0.38
0.3249 0.8293 0.4488 0.3163 0.4872 0.39
0.3183 1.3139 -0.1769 0.4116 0.9859 0.4
0.2933 1.5353 -0.9641 0.4572 -0.4378 0.41
0.3019 1.9578 -1.0942 0.6033 -0.9542 0.42
0.2845 2.0635 -0.1564 0.7407 0.9791 0.43
0.2941 1.9774 0.9044 0.893 1.3678 0.44
0.3181 1.9767 1.3581 0.9897 0.4616 0.45
0.3794 2.2938 0.8638 1.0218 1.4126 0.46
0.4147 1.8371 0.0014 1.1402 2.8545 0.47
0.453 1.8477 -0.1833 1.5343 1.464 0.48
0.5327 1.5352 0.5798 1.5646 0.3028 0.49
0.558 1.1117 1.4702 1.8262 1.2433 0.5
0.6756 0.8431 2.171 1.6709 1.0759 0.51
0.7809 0.5615 1.8623 2.1121 -0.7516 0.52
0.8875 0.4444 0.7683 2.142 -0.4202 0.53
1.034 0.3248 0.4026 2.345 1.2678 0.54
1.0376 0.3802 0.867 2.5486 0.9943 0.55
1.0544 0.472 2.0306 2.306 0.4543 0.56
1.3276 0.6605 2.3375 2.3678 1.9634 0.57
1.3501 0.9803 1.9304 2.5826 2.9044 0.58
1.39 1.3318 1.1669 2.6277 1.1434 0.59
1.5117 1.5443 0.4342 2.6577 0.8658 0.6
1.6449 2.0863 0.7022 2.8561 1.8297 0.61
1.5973 2.2441 1.5466 2.4807 0.5254 0.62
1.7618 2.3987 2.1791 2.6625 -0.962 0.63
1.8009 2.4613 1.8756 2.6362 0.2211 0.64
1.8335 2.473 0.7238 2.4127 1.3149 0.65
1.7235 2.3278 -0.1021 2.3474 0.3243 0.66
1.7734 1.9826 -0.113 2.289 0.7903 0.67
2.0777 1.9708 0.5832 2.1733 2.455 0.68
1.8115 1.5155 1.4244 2.0684 2.2135 0.69
1.8206 1.1878 1.1155 2.0507 0.8765 0.7
2.0686 0.9211 0.1842 2.1223 1.4393 0.71
1.9284 0.8112 -0.7797 1.787 1.7549 0.72
1.7756 0.553 -0.9594 1.6455 -0.0563 0.73
1.7262 0.5426 -0.2189 1.7954 -0.8333 0.74
1.8134 0.5158 0.5561 1.572 0.7918 0.75
1.5538 0.6719 0.6591 1.3573 0.8637 0.76
1.488 0.9641 -0.1512 1.418 -0.0897 0.77
1.5222 1.2344 -1.1551 1.3056 1.11 0.78
1.2614 1.6095 -1.3852 1.1161 2.8428 0.79
1.1637 1.9253 -0.5783 1.0371 1.8417 0.8
1.0245 2.2093 0.4092 0.9371 0.8217 0.81
0.982 2.5057 0.7793 0.7998 2.1152 0.82
0.8401 2.5795 0.1524 0.8881 1.4776 0.83
0.7658 2.4618 -0.6844 0.7812 -0.6285 0.84
0.5395 2.3029 -0.9844 0.6909 -0.3713 0.85
0.4555 2.4462 -0.314 0.7174 0.9065 0.86
0.2825 1.9159 0.7623 0.8479 0.1677 0.87
0.1705 1.8919 1.4366 0.7329 -0.2363 0.88
0.029 1.6647 0.9961 0.9288 1.856 0.89
-0.1113 1.1044 0.2024 0.9761 2.7189 0.9
-0.2058 0.9138 -0.1862 1.0209 0.9904 0.91
-0.3733 0.65 0.3648 1.0153 1.2897 0.92
-0.4696 0.5258 1.6159 1.0651 2.1213 0.93
-0.5397 0.5024 2.1683 1.1549 0.842 0.94
-0.6189 0.4826 2.1418 1.2395 -0.9061 0.95
-0.6928 0.6287 1.1735 1.4855 0.0908 0.96
-0.835 0.8931 0.611 1.4584 0.67 0.97
-0.8681 1.0662 0.8338 1.726 -0.5977 0.98
-0.8244 1.3399 2.0062 1.8615 -0.1061 0.99
-0.9531 1.8823 2.8448 1.8541 1.903 1.0
-0.9254 1.9601 2.4082 2.0429 1.7017 1.01
-0.8907 2.4187 1.6524 2.1254 0.6729 1.02
-0.9353 2.5369 0.9198 2.0947 1.7702 1.03
-0.8964 2.2388 1.0052 2.2946 2.2052 1.04
-0.8224 2.4055 1.8574 2.2679 0.0629 1.05
-0.8175 2.1746 2.5219 2.4741 -0.8296 1.06
-0.8408 1.762 2.2776 2.6244 0.4434 1.07
-0.6746 1.7468 1.5031 2.4205 0.0703 1.08
-0.6667 1.1785 0.5171 2.2968 -1.0834 1.09
-0.4983 1.0198 0.3308 2.3387 0.2368 1.1
-0.4801 0.6391 0.9144 2.5825 1.7469 1.11
-0.3647 0.4438 1.8372 2.3429 1.034 1.12
-0.2587 0.3131 1.7924 2.3797 0.6168 1.13
-0.169 0.2535 1.0327 2.0812 1.8792 1.14
-0.0767 0.3213 -0.1126 2.0816 1.5375 1.15
0.0159 0.4582 -0.5194 1.9851 -0.5891 1.16
0.1121 0.6295 0.0497 1.8549 -0.5154 1.17
0.2227 0.9971 0.8185 1.781 0.434 1.18
0.3195 1.2615 1.2088 1.7502 -0.6942 1.19
0.3598 1.461 0.4262 1.5852 -1.2993 1.2
0.5028 1.6865 -0.5795 1.3876 0.5445 1.21
0.5171 1.8205 -1.0623 1.1539 1.4614 1.22
0.6194 2.232 -0.5899 0.93 0.2504 1.23
0.6668 1.892 0.4137 0.7931 0.7714 1.24
0.7116 2.1432 0.9304 0.6601 1.8647 1.25
0.7101 1.8812 0.4944 0.6022 0.6959 1.26
0.8203 1.5543 -0.4974 0.4469 -0.8075 1.27
0.7618 1.12 -0.9613 0.3281 -0.1089 1.28
0.7426 0.9123 -0.4981 0.2086 0.0321 1.29
0.7029 0.5769 0.5783 0.0992 -1.4439 1.3
0.7994 0.2939 1.3473 0.0253 -1.1354 1.31
