# x : time signal
# y : intensity
# label : secret experiment #5834
#y2 time y3 y1
0.1571 0.01 0.717 0.171
0.3384 0.02 1.1721 0.3582
0.48 0.03 0.8381 0.5059
0.6375 0.04 0.2264 0.6792
0.7488 0.05 -0.3838 0.7838
1.0196 0.06 -0.5466 0.878
1.0849 0.07 -0.0983 0.9825
1.2946 0.08 0.7782 1.2694
1.2491 0.09 1.5869 1.3183
1.4474 0.1 1.8124 1.5189
1.4704 0.11 1.1798 1.3533
1.6991 0.12 0.6274 1.4301
1.7264 0.13 0.0053 1.6195
1.832 0.14 -0.0554 1.7272
1.6071 0.15 0.5194 1.7113
1.6142 0.16 1.2457 1.6752
1.8147 0.17 2.0449 1.7713
1.6625 0.18 2.0427 1.5604
1.7605 0.19 1.5416 1.5779
1.5638 0.2 0.6861 1.4798
1.5291 0.21 0.2083 1.5347
1.3826 0.22 0.2223 1.3293
1.5389 0.23 0.8098 1.2694
1.4761 0.24 1.6376 1.213
1.1872 0.25 2.1041 1.1702
1.2591 0.26 1.9833 1.1996
1.0231 0.27 1.5356 1.0007
0.9893 0.28 0.6757 0.9061
0.9106 0.29 0.1699 0.855
0.8878 0.3 0.2742 0.7045
0.8179 0.31 0.9344 0.7404
0.7065 0.32 1.5459 0.6609
0.6373 0.33 2.1382 0.5605
0.6249 0.34 1.7982 0.5777
0.5387 0.35 1.0415 0.4968
0.4875 0.36 0.3106 0.5245
0.4608 0.37 -0.1168 0.5191
0.4694 0.38 0.0852 0.5671
0.5577 0.39 0.6791 0.6123
0.5032 0.4 1.3674 0.5661
0.5789 0.41 1.5748 0.7121
0.6137 0.42 1.462 0.7969
0.7069 0.43 0.5796 0.8068
0.7541 0.44 -0.2048 0.9927
0.7836 0.45 -0.5057 1.0387
0.9277 0.46 -0.2631 1.0552
1.0326 0.47 0.4441 1.316
1.1792 0.48 1.0106 1.2754
1.2293 0.49 1.2632 1.4048
1.2735 0.5 0.6759 1.5189
1.3325 0.51 -0.0721 1.6376
1.6012 0.52 -0.7934 2.0741
1.587 0.53 -0.9045 2.2162
1.7393 0.54 -0.6603 2.226
1.7885 0.55 0.1142 2.1306
1.9613 0.56 0.6507 2.6582
2.097 0.57 0.7646 2.3786
2.0768 0.58 0.1834 2.7278
2.2511 0.59 -0.6732 2.8956
2.3591 0.6 -1.3107 2.7343
2.191 0.61 -1.3103 2.5985
2.2012 0.62 -0.7931 2.6043
2.4188 0.63 -0.0436 3.0327
2.2132 0.64 0.4788 2.7427
2.3817 0.65 0.4363 3.0421
2.6171 0.66 -0.1584 2.728
2.5784 0.67 -0.8639 2.822
2.197 0.68 -1.3844 2.9908
2.2585 0.69 -1.3901 2.8666
2.3959 0.7 -0.8171 2.7532
2.0274 0.71 0.0257 2.6689
2.0152 0.72 0.4894 2.4973
1.901 0.73 0.337 2.1303
1.8623 0.74 -0.2429 2.2257
1.553 0.75 -1.1006 1.955
1.4383 0.76 -1.4162 1.7966
1.2877 0.77 -1.0952 1.7485
1.2893 0.78 -0.4661 1.4587
1.1423 0.79 0.3387 1.3337
0.9595 0.8 0.72 1.3965
0.7021 0.81 0.5467 1.0998
0.5602 0.82 -0.0955 1.1568
0.5032 0.83 -0.7817 1.021
0.3721 0.84 -1.0439 0.8377
0.1949 0.85 -0.697 0.6966
0.1 0.86 0.1482 0.7038
-0.0003 0.87 0.9323 0.655
-0.0864 0.88 1.1964 0.5479
-0.1614 0.89 0.8514 0.4839
-0.2329 0.9 0.2389 0.4926
-0.2746 0.91 -0.3311 0.4322
-0.3163 0.92 -0.4504 0.4627
-0.3488 0.93 0.0191 0.4595
-0.3587 0.94 0.8277 0.4785
-0.3561 0.95 1.4902 0.6055
-0.3441 0.96 1.6971 0.6472
-0.2986 0.97 1.5325 0.6748
-0.2258 0.98 0.7271 0.7692
-0.1784 0.99 0.152 0.8813
-0.1127 1.0 0.1246 0.9499
-0.0416 1.01 0.6962 1.0542
0.047 1.02 1.616 1.0102
0.1256 1.03 2.2383 1.1154
0.2045 1.04 2.4895 1.2594
0.3385 1.05 1.9335 1.3685
0.4235 1.06 1.0053 1.3532
0.4771 1.07 0.514 1.5564
0.5864 1.08 0.6437 1.6233
0.7229 1.09 1.2114 1.595
0.6899 1.1 1.9622 1.6824
0.7714 1.11 2.5731 1.5451
0.9361 1.12 2.3087 1.7982
1.0063 1.13 1.8431 1.7185
0.8995 1.14 1.1512 1.6507
1.1132 1.15 0.7038 1.741
1.1111 1.16 0.9829 1.7196
1.0826 1.17 1.5641 1.4702
1.1191 1.18 2.5344 1.4988
0.9683 1.19 2.913 1.4108
1.0736 1.2 2.5978 1.197
1.0104 1.21 1.9081 1.1319
0.8378 1.22 1.0787 0.9503
0.7502 1.23 0.7732 0.8135
0.8137 1.24 0.9035 0.7189
0.6728 1.25 1.7306 0.62
0.5848 1.26 2.2962 0.4186
0.4297 1.27 2.4455 0.2819
0.3213 1.28 2.1983 0.0898
0.237 1.29 1.5008 -0.0582
0.1022 1.3 0.6955 -0.2073
-0.0041 1.31 0.4026 -0.3499
-0.1238 1.32 0.7836 -0.4999
-0.2333 1.33 1.5667 -0.6109
-0.3248 1.34 1.9589 -0.7681
-0.4864 1.35 2.0662 -0.9656
-0.5047 1.36 1.6489 -1.0154
-0.5855 1.37 0.8735 -1.0409
-0.6416 1.38 0.1688 -1.2571
-0.7233 1.39 -0.0077 -1.2761
-0.9042 1.4 0.4249 -1.2643
-0.8228 1.41 1.0822 -1.4272
-0.9156 1.42 1.5536 -1.2888
-0.8683 1.43 1.6809 -1.4949
-0.8073 1.44 0.9793 -1.415
-0.9436 1.45 0.2385 -1.4121
