# label : secret experiment #2528
#y5 y3 y1 y2 time y4
0.2302 0.2434 -1.041 0.3357 0.01 0.649
0.4028 0.5506 0.3244 0.6623 0.02 1.1598
0.6742 0.7146 1.0981 0.8641 0.03 1.685
0.7464 1.0428 -0.4139 1.2581 0.04 1.7661
1.0689 1.2568 -0.594 1.4504 0.05 1.9576
1.0935 1.3252 0.9922 1.3886 0.06 2.0677
1.1948 1.4571 0.7956 1.7583 0.07 1.6902
1.5102 1.6055 -0.6332 1.8434 0.08 1.0933
1.4343 1.8577 -0.0674 1.8006 0.09 0.6274
1.5747 1.8038 1.2555 1.5307 0.1 0.1054
1.7237 2.0651 0.4379 1.651 0.11 -0.466
1.8851 2.2589 -0.6393 1.6005 0.12 -0.9754
1.7539 2.0272 0.5585 1.4136 0.13 -1.1532
1.7795 2.1749 1.2649 1.0564 0.14 -1.4814
1.876 2.0279 0.0264 1.0541 0.15 -1.523
1.8592 2.0342 -0.3617 0.8562 0.16 -1.4417
1.5881 1.6515 1.0909 0.6704 0.17 -1.0635
1.5336 1.7815 1.1072 0.5297 0.18 -0.7539
1.4348 1.5977 -0.2606 0.4479 0.19 -0.2348
1.503 1.1585 0.1812 0.3887 0.2 0.1777
1.4839 1.1145 1.6799 0.3579 0.21 0.6307
1.1538 0.8331 0.8356 0.3391 0.22 0.9143
1.0817 0.6551 -0.2802 0.4481 0.23 1.1524
1.0149 0.4494 0.8558 0.5307 0.24 1.3037
0.9842 0.1711 1.7695 0.7262 0.25 1.3772
0.8753 -0.0463 0.451 0.9296 0.26 1.1637
0.7487 -0.2902 -0.0868 1.0726 0.27 0.9469
0.7309 -0.4976 1.4476 1.3151 0.28 0.7098
0.6167 -0.676 1.6409 1.4227 0.29 0.5007
0.6684 -0.9359 0.0829 1.5689 0.3 0.2941
0.627 -1.0804 0.401 1.6899 0.31 0.1301
0.5322 -1.0552 1.8616 1.8399 0.32 0.0257
0.5686 -1.3687 1.2368 2.0517 0.33 -0.0037
0.6472 -1.35 -0.0252 2.0082 0.34 0.0266
0.722 -1.519 0.9328 2.0408 0.35 0.1063
0.7487 -1.5952 2.1786 1.7703 0.36 0.1886
0.7823 -1.5407 0.7729 1.5991 0.37 0.2741
0.9378 -1.5671 0.1384 1.407 0.38 0.38
0.9845 -1.5061 1.7097 1.3037 0.39 0.378
1.2113 -1.2987 1.7855 0.989 0.4 0.3992
