# label : secret experiment #3450
# x : time signal
# y : intensity
#y3 time y1 y2 y4 y5
0.3703 0.01 0.2642 0.1463 0.255 0.3635
0.6076 0.02 0.5245 0.2455 0.5721 0.7586
0.8696 0.03 0.714 0.3768 0.8404 1.0562
1.2408 0.04 0.982 0.493 1.0111 1.2321
1.3553 0.05 1.1814 0.64 1.2127 1.7127
1.3361 0.06 1.266 0.7794 1.247 1.8544
1.5695 0.07 1.3023 0.9406 1.1969 2.0318
1.2987 0.08 1.1586 1.0893 1.2241 2.1759
1.2399 0.09 1.2696 1.0956 1.2872 2.2962
1.0467 0.1 1.1805 1.3031 1.0876 2.44
0.9122 0.11 1.0674 1.2403 0.9202 2.3934
0.6777 0.12 0.8442 1.3934 0.7393 2.2691
0.5011 0.13 0.6645 1.4631 0.5869 2.1214
0.3677 0.14 0.4695 1.5496 0.3986 2.124
0.205 0.15 0.3182 1.4783 0.2139 1.8905
0.1343 0.16 0.1374 1.5405 0.0334 1.5924
0.1256 0.17 -0.0106 1.5691 -0.0896 1.1698
0.1787 0.18 -0.1381 1.4447 -0.1701 1.0401
0.2971 0.19 -0.2233 1.5099 -0.2028 0.7599
0.5041 0.2 -0.2331 1.5202 -0.2 0.4373
0.735 0.21 -0.226 1.6423 -0.1095 0.115
1.0445 0.22 -0.1432 1.3533 0.0217 -0.1572
1.3234 0.23 -0.0183 1.5479 0.1802 -0.4237
1.5838 0.24 0.1352 1.35 0.4067 -0.6997
1.9184 0.25 0.3227 1.1962 0.7161 -0.8976
2.2404 0.26 0.604 1.1759 0.8792 -0.9957
2.6343 0.27 0.876 1.1738 1.1201 -1.1219
2.5711 0.28 0.9896 1.1062 1.3195 -1.1205
2.3717 0.29 1.3939 1.0896 1.7438 -1.1997
2.7424 0.3 1.5364 0.8866 1.7866 -1.1617
2.6456 0.31 1.8378 0.8173 2.0246 -1.1324
2.5178 0.32 2.0277 0.8797 1.9807 -0.8689
2.2906 0.33 2.2541 0.6773 1.9797 -0.8166
1.7875 0.34 2.3378 0.6494 2.2916 -0.4967
1.7626 0.35 2.2467 0.588 1.9999 -0.2899
1.4483 0.36 2.0847 0.5277 1.8023 -0.0085
1.2535 0.37 2.029 0.5118 1.6533 0.2939
0.9236 0.38 2.0649 0.4092 1.6939 0.6118
0.8536 0.39 1.7092 0.3636 1.3667 0.9949
0.7191 0.4 1.5214 0.3445 1.0521 1.3808
0.7806 0.41 1.301 0.3205 0.909 1.5105
0.7729 0.42 1.2375 0.2636 0.7012 1.8219
0.8981 0.43 1.0267 0.2461 0.5134 1.9248
1.0527 0.44 0.7928 0.2478 0.4349 2.4076
1.34 0.45 0.7253 0.2637 0.3033 2.3946
1.5964 0.46 0.5551 0.2874 0.2712 2.6517
1.6597 0.47 0.4296 0.298 0.3111 2.7638
2.2063 0.48 0.4735 0.3632 0.4326 2.8042
2.2823 0.49 0.4228 0.4239 0.4965 2.912
2.4247 0.5 0.5181 0.4786 0.7525 2.5953
2.5338 0.51 0.6723 0.5616 0.8587 2.8715
2.2632 0.52 0.7325 0.5951 1.0551 2.7745
2.3524 0.53 1.057 0.7523 1.5177 2.4813
2.1555 0.54 1.0878 0.7752 1.6633 2.3682
2.0252 0.55 1.5198 0.8276 1.9904 2.1089
1.7584 0.56 1.497 0.9839 1.9929 1.5976
